,서울,경기
2021년 07월,100.604,101.522
2021년 08월,101.292,103.226
2021년 09월,102.016,104.827
2021년 10월,102.743,106.217
2021년 11월,103.313,107.132
2021년 12월,103.584,107.495
2022년 01월,103.626,107.549
2022년 02월,103.583,107.511
2022년 03월,103.574,107.445
2022년 04월,103.614,107.474
2022년 05월,103.658,107.409
2022년 06월,103.654,107.356
2022년 07월,103.565,107.187
2022년 08월,103.314,106.701
2022년 09월,102.831,105.94
2022년 10월,102.004,104.774
2022년 11월,100.64,102.771
2022년 12월,98.664,99.808
2023년 01월,97.432,97.547
2023년 02월,96.652,95.769
2023년 03월,96.124,94.671
2023년 04월,95.795,94.074
2023년 05월,95.694,93.849
2023년 06월,95.74,93.859
2023년 07월,95.88,94.007
2023년 08월,96.161,94.311
2023년 09월,96.471,94.819
2023년 10월,96.713,95.216
2023년 11월,96.806,95.31
2023년 12월,96.739,95.185
2024년 01월,96.625,94.964
2024년 02월,96.539,94.769
2024년 03월,96.537,94.591
2024년 04월,96.622,94.525
2024년 05월,96.755,94.449
