,서울,경기
2021년 07월,100.492,100.953
2021년 08월,101.047,101.991
2021년 09월,101.593,102.965
2021년 10월,102.085,103.904
2021년 11월,102.482,104.543
2021년 12월,102.73,104.798
2022년 01월,102.769,104.791
2022년 02월,102.706,104.746
2022년 03월,102.646,104.683
2022년 04월,102.61,104.674
2022년 05월,102.603,104.676
2022년 06월,102.586,104.676
2022년 07월,102.51,104.551
2022년 08월,102.349,104.067
2022년 09월,101.892,103.254
2022년 10월,100.91,101.816
2022년 11월,99.056,99.417
2022년 12월,96.002,95.864
2023년 01월,93.168,92.497
2023년 02월,91.154,89.895
2023년 03월,89.982,88.495
2023년 04월,89.425,87.757
2023년 05월,89.237,87.53
2023년 06월,89.183,87.481
2023년 07월,89.288,87.598
2023년 08월,89.569,87.936
2023년 09월,89.973,88.614
2023년 10월,90.338,89.408
2023년 11월,90.728,89.933
2023년 12월,90.958,90.195
2024년 01월,91.104,90.315
2024년 02월,91.215,90.425
2024년 03월,91.386,90.547
2024년 04월,91.546,90.731
2024년 05월,91.782,90.961
