Unnamed: 0,인구_서울,인구_경기,매매가_서울,매매가_경기,전세가_서울,전세가_경기,매매가지수_서울,매매가지수_경기,전세가지수_서울,전세가지수_경기,거래량_서울,거래량_경기
2017년 04월,9922745,12763961,5557,3113,3614,2294,85.402,81.85,93.144,93.282,22378,34052
2017년 05월,9919016,12775175,5580,3118,3625,2298,85.702,81.957,93.365,93.417,25705,37531
2017년 06월,9914381,12783741,5631,3124,3639,2301,86.269,82.105,93.636,93.525,31062,45933
2017년 07월,9908612,12795378,5655,3133,3648,2303,86.622,82.3,93.841,93.632,30550,54327
2017년 08월,9902072,12810014,5685,3147,3656,2308,87.014,82.582,94.028,93.773,34758,54489
2017년 09월,9891448,12827633,5687,3155,3661,2310,87.076,82.733,94.154,93.871,24836,50528
2017년 10월,9882810,12841321,5704,3161,3667,2313,87.278,82.872,94.288,93.951,16345,45620
2017년 11월,9870167,12858161,5729,3168,3676,2316,87.596,83.023,94.49,94.025,19606,46887
2017년 12월,9857426,12873895,6688,3450,4424,2590,88.115,83.074,94.65,93.91,25654,45694
2018년 01월,9851767,12890445,6784,3459,4436,2587,88.872,83.139,94.837,93.713,25583,47280
2018년 02월,9845336,12908010,6877,3474,4445,2579,89.708,83.299,94.999,93.436,23538,44657
2018년 03월,9838892,12925761,6922,3486,4437,2573,90.199,83.444,94.92,93.225,33600,53987
2018년 04월,9830452,12941604,6941,3495,4424,2566,90.48,83.555,94.725,92.993,18594,41713
2018년 05월,9820971,12958648,6951,3499,4408,2554,90.674,83.588,94.5,92.641,20538,40856
2018년 06월,9814049,12975176,6960,3501,4398,2544,90.884,83.592,94.369,92.311,16275,41658
2018년 07월,9806538,12993165,6973,3503,4398,2534,91.174,83.588,94.421,91.985,22238,49163
2018년 08월,9799075,13012486,7027,3507,4409,2526,91.75,83.633,94.609,91.697,21273,48510
2018년 09월,9793003,13027338,7131,3536,4427,2524,92.894,84.027,94.851,91.598,26088,50778
2018년 10월,9784112,13045223,7164,3559,4433,2525,93.367,84.376,95.015,91.585,27127,58143
2018년 11월,9774088,13061074,7167,3572,4432,2524,93.558,84.597,95.012,91.47,15821,41741
2018년 12월,9765623,13077153,7161,3572,4424,2516,93.594,84.623,94.888,91.223,13603,32643
2019년 01월,9766288,13090648,7886,3761,4547,2558,93.403,84.513,94.582,90.971,13452,35999
2019년 02월,9770638,13104696,7860,3753,4522,2550,93.23,84.417,94.178,90.749,9027,31455
2019년 03월,9770216,13116579,7833,3744,4499,2540,93.026,84.266,93.812,90.464,12206,37580
2019년 04월,9766886,13129508,7815,3726,4489,2524,92.861,83.999,93.615,90.03,12897,36187
2019년 05월,9762062,13145482,7805,3714,4484,2515,92.763,83.788,93.52,89.752,13581,34209
2019년 06월,9757144,13159178,7803,3706,4482,2507,92.728,83.644,93.471,89.506,17434,33225
2019년 07월,9751415,13176011,7813,3706,4484,2503,92.792,83.585,93.468,89.298,20486,41993
2019년 08월,9744888,13193943,7826,3710,4489,2503,92.921,83.596,93.548,89.257,20565,43030
2019년 09월,9740398,13207219,7840,3719,4496,2509,93.078,83.689,93.643,89.342,17419,38336
2019년 10월,9736289,13218912,7883,3731,4508,2520,93.491,83.842,93.861,89.604,21670,50983
2019년 11월,9732577,13228177,7933,3749,4523,2532,93.954,84.079,94.111,89.911,23188,49002
2019년 12월,9729107,13239666,8034,3779,4546,2547,94.764,84.498,94.464,90.266,28973,49474
2020년 01월,9733509,13250368,8611,3975,4831,2652,95.083,84.906,94.87,90.619,25962,46352
2020년 02월,9736962,13265377,8615,4019,4841,2667,95.224,85.569,95.023,91.001,25188,62668
2020년 03월,9733655,13288975,8619,4086,4848,2679,95.35,86.693,95.135,91.296,24483,53167
2020년 04월,9726787,13311254,8606,4124,4854,2684,95.331,87.346,95.198,91.436,14963,34805
2020년 05월,9724496,13324041,8589,4143,4858,2690,95.249,87.697,95.243,91.609,17361,36848
2020년 06월,9720846,13338020,8601,4175,4868,2706,95.373,88.295,95.382,92.048,25543,64451
2020년 07월,9715429,13351891,8676,4225,4885,2727,96.053,89.141,95.659,92.566,37221,65058
2020년 08월,9708247,13370714,8715,4263,4911,2753,96.46,89.746,96.074,93.223,22099,38893
2020년 09월,9699232,13388485,8738,4297,4934,2785,96.723,90.282,96.463,94.016,20820,38704
2020년 10월,9689159,13400615,8749,4314,4953,2812,96.878,90.654,96.797,94.65,18036,46062
2020년 11월,9679771,13413459,8762,4353,4986,2840,97.04,91.324,97.306,95.362,18051,42424
2020년 12월,9668465,13427014,8788,4404,5025,2876,97.294,92.225,97.918,96.311,24168,61550
2021년 01월,9657969,13449499,8828,4464,5055,2905,97.679,93.247,98.414,97.044,22088,44157
2021년 02월,9648606,13471758,8882,4553,5080,2933,98.175,94.77,98.829,97.888,17700,41518
2021년 03월,9598484,13465837,8916,4620,5099,2951,98.549,95.979,99.115,98.44,17132,41852
2021년 04월,9588711,13479798,8952,4681,5109,2961,98.895,97.101,99.309,98.8,22519,43343
2021년 05월,9575355,13488910,8997,4736,5116,2972,99.286,98.116,99.485,99.175,19519,42027
2021년 06월,9565990,13500688,9082,4835,5152,2997,100.0,100.0,100.0,100.0,17117,38191
2021년 07월,9558153,13512867,10799,5826,6242,3693,100.604,101.522,100.492,100.953,15921,39146
2021년 08월,9550227,13530519,10787,5924,6238,3731,101.292,103.226,101.047,101.991,14101,36154
2021년 09월,9542256,13542284,10877,6016,6277,3768,102.016,104.827,101.593,102.965,12808,33662
