,서울특별시,경기도,인천광역시
2021년 12월,9509458,13565450,2948375
2022년 01월,9505926,13571450,2949150
2022년 02월,9508451,13574369,2950978
2022년 03월,9506778,13575936,2952699
2022년 04월,9500480,13577808,2953260
2022년 05월,9496887,13581496,2955167
2022년 06월,9494807,13585967,2957066
2022년 07월,9493211,13589362,2960580
2022년 08월,9488454,13590056,2963117
2022년 09월,9450768,13574353,2960097
2022년 10월,9443722,13579508,2962388
2022년 11월,9436836,13583238,2964820
2022년 12월,9428372,13589432,2967314
2023년 01월,9424873,13596091,2969502
2023년 02월,9427583,13600800,2971788
2023년 03월,9426404,13603546,2974481
2023년 04월,9422710,13607919,2976338
2023년 05월,9418885,13612597,2978089
2023년 06월,9414093,13618969,2978749
2023년 07월,9411260,13623055,2981553
2023년 08월,9409466,13624964,2985152
2023년 09월,9407540,13626339,2987918
2023년 10월,9400249,13627840,2990276
2023년 11월,9390925,13628135,2993492
2023년 12월,9386034,13630821,2997410
2024년 01월,9384325,13635250,3000454
2024년 02월,9386705,13639616,3003150
2024년 03월,9384739,13642451,3006045
2024년 04월,9378269,13648156,3008484
2024년 05월,9371930,13654710,3009873
2024년 06월,9366283,13661438,3011073
