"시도별(1)","규모별(1)","시점",공장수 (개사)
"부산광역시","대기업","2015.1/2",1
"부산광역시","대기업","2015.2/2",1
"부산광역시","대기업","2016.1/2",0
"부산광역시","대기업","2016.2/2",-1
"부산광역시","대기업","2017.1/2",1
"부산광역시","중기업","2006.1/2",
"부산광역시","중기업","2006.2/2",16
"부산광역시","중기업","2007.1/2",12
"부산광역시","중기업","2007.2/2",-13
"부산광역시","중기업","2008.2/2",
"부산광역시","중기업","2009.1/2",9
"부산광역시","중기업","2009.2/2",-6
"부산광역시","중기업","2010.1/2",2
"부산광역시","중기업","2010.2/2",8
"부산광역시","중기업","2011.1/2",0
"부산광역시","중기업","2011.2/2",10
"부산광역시","중기업","2012.1/2",3
"부산광역시","중기업","2012.2/2",11
"부산광역시","중기업","2013.1/2",4
"부산광역시","중기업","2013.2/2",18
"부산광역시","중기업","2014.1/2",11
"부산광역시","중기업","2014.2/2",5
"부산광역시","중기업","2015.1/2",0
"부산광역시","중기업","2015.2/2",3
"부산광역시","중기업","2016.1/2",0
"부산광역시","중기업","2016.2/2",11
"부산광역시","중기업","2017.1/2",-10
"부산광역시","소기업","2006.1/2",
"부산광역시","소기업","2006.2/2",111
"부산광역시","소기업","2007.1/2",212
"부산광역시","소기업","2007.2/2",27
"부산광역시","소기업","2008.2/2",
"부산광역시","소기업","2009.1/2",186
"부산광역시","소기업","2009.2/2",2
"부산광역시","소기업","2010.1/2",80
"부산광역시","소기업","2010.2/2",328
"부산광역시","소기업","2011.1/2",0
"부산광역시","소기업","2011.2/2",173
"부산광역시","소기업","2012.1/2",239
"부산광역시","소기업","2012.2/2",-41
"부산광역시","소기업","2013.1/2",251
"부산광역시","소기업","2013.2/2",330
"부산광역시","소기업","2014.1/2",215
"부산광역시","소기업","2014.2/2",302
"부산광역시","소기업","2015.1/2",222
"부산광역시","소기업","2015.2/2",397
"부산광역시","소기업","2016.1/2",147
"부산광역시","소기업","2016.2/2",112
"부산광역시","소기업","2017.1/2",-160
"대구광역시","대기업","2006.1/2",
"대구광역시","대기업","2006.2/2",-4
"대구광역시","대기업","2007.1/2",1
"대구광역시","대기업","2007.2/2",3
"대구광역시","대기업","2008.2/2",
"대구광역시","대기업","2009.1/2",5
"대구광역시","대기업","2009.2/2",4
"대구광역시","대기업","2010.1/2",6
"대구광역시","대기업","2010.2/2",-1
"대구광역시","대기업","2011.1/2",0
"대구광역시","대기업","2011.2/2",-2
"대구광역시","대기업","2012.1/2",2
"대구광역시","대기업","2012.2/2",-6
"대구광역시","대기업","2013.1/2",-6
"대구광역시","대기업","2013.2/2",0
"대구광역시","대기업","2014.1/2",0
"대구광역시","대기업","2014.2/2",-1
"대구광역시","대기업","2015.1/2",-1
"대구광역시","대기업","2015.2/2",0
"대구광역시","대기업","2016.1/2",0
"대구광역시","대기업","2016.2/2",0
"대구광역시","대기업","2017.1/2",1
"대구광역시","중기업","2006.1/2",
"대구광역시","중기업","2006.2/2",9
"대구광역시","중기업","2007.1/2",-21
"대구광역시","중기업","2007.2/2",-12
"대구광역시","중기업","2008.2/2",
"대구광역시","중기업","2009.1/2",-7
