city,year,month,pop_sum,pop_0_9,pop_10_19,pop_20_29,pop_30_39,pop_40_49,pop_50_59,pop_60_69,pop_70_79,pop_80_89,pop_90_99,pop_100_
경상북도,2008,04,2676548,261505,340555,361817,410819,439644,345545,261467,187362,60655,7031,148
경상남도,2008,04,3200268,352124,451380,432994,539859,557074,383212,253818,172449,52393,4846,119
제주특별자치도,2008,04,559407,68251,81344,74110,94456,93377,61457,46163,28877,9445,1867,60
전국,2008,05,49380296,5186832,6820923,7274163,8598111,8592561,5955585,3899734,2268853,699823,81483,2228
서울특별시,2008,05,10204867,947468,1282176,1720553,1914661,1717415,1313632,811360,368756,114279,14163,404
부산광역시,2008,05,3577179,303594,471170,556412,560261,629770,531257,320247,156331,43879,4151,107
대구광역시,2008,05,2492893,249396,369103,367420,417092,452762,314018,188355,103127,28583,2964,73
인천광역시,2008,05,2681953,287482,396724,402242,476684,508438,306890,174627,95123,30196,3457,90
광주광역시,2008,05,1416751,169135,227312,217577,247540,237492,150808,96606,51588,16569,2066,58
대전광역시,2008,05,1477420,168108,222747,229024,263919,258014,169290,95233,52348,16692,1995,50
울산광역시,2008,05,1105655,125776,177077,160226,196282,215449,130000,60703,29651,9424,1049,18
경기도,2008,05,11182935,1344902,1620849,1584647,2141833,2050702,1172036,720964,407861,124282,14480,379
강원도,2008,05,1504619,151653,198015,197985,229203,257842,191116,151089,92791,30818,3992,115
충청북도,2008,05,1512361,161071,211205,212058,242071,255232,179359,130314,90062,27554,3356,79
충청남도,2008,05,2005692,215522,260744,274117,319225,321223,238192,185486,142785,43066,5198,134
전라북도,2008,05,1855354,191449,257499,247672,278619,294862,228358,182422,128101,41339,4854,179
전라남도,2008,05,1924075,191049,252260,236556,267419,302164,237981,219892,160433,50163,5942,216
경상북도,2008,05,2675949,260752,340547,360972,409631,440184,346184,261644,187935,60878,7075,147
경상남도,2008,05,3203053,351402,452011,432827,539335,557571,384778,254576,172929,52648,4855,121
제주특별자치도,2008,05,559540,68073,81484,73875,94336,93441,61686,46216,29032,9453,1886,58
전국,2008,06,49387462,5172746,6825656,7265719,8587927,8594957,5970999,3909948,2274730,700960,81594,2226
서울특별시,2008,06,10196863,944302,1281219,1717555,1911250,1715790,1314797,813408,369595,114376,14168,403
부산광역시,2008,06,3573520,302277,470724,554884,559045,628755,531885,321054,156648,43981,4157,110
대구광역시,2008,06,2491589,248471,369276,366670,415837,452940,314417,188908,103368,28648,2981,73
인천광역시,2008,06,2684524,286980,397004,402271,476714,508588,308327,175309,95460,30325,3458,88
광주광역시,2008,06,1417096,168527,227615,217395,247221,237688,151280,96912,51777,16562,2060,59
대전광역시,2008,06,1477153,167602,222883,228652,263470,258010,169710,95520,52549,16728,1979,50
울산광역시,2008,06,1106051,125482,177242,160214,195897,215507,130532,60950,29741,9433,1036,17
경기도,2008,06,11194861,1342363,1623563,1584180,2140696,2053322,1177574,723948,409532,124740,14571,372
강원도,2008,06,1505842,151177,198273,198247,229004,257908,191889,151213,93158,30867,3986,120
충청북도,2008,06,1513231,160681,211415,211961,241933,255386,179997,130576,90236,27602,3362,82
충청남도,2008,06,2007950,215245,261104,273893,319563,321859,238956,185758,143083,43149,5205,135
전라북도,2008,06,1854855,190883,257649,247163,278112,294972,228624,182707,128314,41403,4856,172
전라남도,2008,06,1923423,190394,252499,236103,266923,301986,238400,220085,160708,50149,5953,223
경상북도,2008,06,2675176,259829,340768,360117,408803,440696,346745,261966,188184,60831,7090,147
경상남도,2008,06,3205606,350655,452846,432661,539228,558010,386020,255285,173227,52728,4829,117
제주특별자치도,2008,06,559722,67878,81576,73753,94231,93540,61846,46349,29150,9438,1903,58
전국,2008,07,49416162,5160630,6829651,7258980,8559686,8625285,5989150,3920128,2285007,703548,81860,2237
서울특별시,2008,07,10196644,941873,1280899,1715142,1905552,1719676,1317288,815325,371504,114751,14234,400
부산광역시,2008,07,3572177,301184,470319,553665,556898,629617,532474,322226,157291,44215,4175,113
대구광역시,2008,07,2492048,247690,369314,366206,414112,454575,314983,189492,103802,28804,2996,74
인천광역시,2008,07,2687508,286278,397034,402451,475211,510330,309792,176293,96117,30424,3486,92
광주광역시,2008,07,1418387,168076,227891,217465,245949,239014,151891,97296,52058,16607,2079,61
대전광역시,2008,07,1478285,167316,223096,228412,262821,258946,170200,95832,52855,16795,1961,51
울산광역시,2008,07,1107260,125304,177357,160234,195222,216353,131085,61280,29901,9478,1031,15
경기도,2008,07,11212042,1340498,1626211,1583733,2134869,2063090,1184389,726865,411976,125414,14618,379
강원도,2008,07,1506425,150734,198374,197828,228203,258655,192713,151190,93676,30957,3977,118
충청북도,2008,07,1514134,160259,211498,211809,241316,256177,180680,130693,90587,27643,3388,84
충청남도,2008,07,2009511,214760,261475,273658,318857,323029,239478,186087,143508,43334,5197,128
전라북도,2008,07,1854811,190134,257728,246923,276708,296224,228931,182711,128851,41572,4862,167
전라남도,2008,07,1922628,189733,252554,235706,265151,303140,238745,220044,161118,50234,5978,225
경상북도,2008,07,2674890,259041,340817,359368,407052,442232,347315,262302,188620,60873,7119,151
경상남도,2008,07,3209146,350035,453384,432628,538158,560023,387122,256106,173735,52979,4857,119
제주특별자치도,2008,07,560266,67715,81700,73752,93607,94204,62064,46386,29408,9468,1902,60
전국,2008,08,49441742,5147263,6830263,7253130,8539360,8630501,6022709,3931572,2293990,708256,82419,2279
서울특별시,2008,08,10197320,938874,1280226,1713957,1900786,1719332,1322589,818189,373216,115445,14305,401
부산광역시,2008,08,3571113,300103,469665,552588,555280,628561,534317,323779,157942,44555,4209,114
대구광역시,2008,08,2492697,246922,369305,365698,412889,455057,316375,190105,104165,29075,3025,81
인천광역시,2008,08,2688542,285305,396930,402272,473843,510305,312116,177061,96429,30683,3510,88
광주광역시,2008,08,1419651,167591,228117,217432,245331,239378,152962,97646,52348,16695,2086,65
