"행정구역","2008년05월_계_총인구수","2008년05월_계_연령구간인구수","2008년05월_계_0~9세","2008년05월_계_10~19세","2008년05월_계_20~29세","2008년05월_계_30~39세","2008년05월_계_40~49세","2008년05월_계_50~59세","2008년05월_계_60~69세","2008년05월_계_70~79세","2008년05월_계_80~89세","2008년05월_계_90~99세","2008년05월_계_100세 이상"
"전국  (0000000000)","49,380,296","49,380,296","5,186,832","6,820,923","7,274,163","8,598,111","8,592,561","5,955,585","3,899,734","2,268,853","699,823","81,483","2,228"
"서울특별시  (1100000000)","10,204,867","10,204,867","947,468","1,282,176","1,720,553","1,914,661","1,717,415","1,313,632","811,360","368,756","114,279","14,163","404"
"부산광역시  (2600000000)","3,577,179","3,577,179","303,594","471,170","556,412","560,261","629,770","531,257","320,247","156,331","43,879","4,151","107"
"대구광역시  (2700000000)","2,492,893","2,492,893","249,396","369,103","367,420","417,092","452,762","314,018","188,355","103,127","28,583","2,964","73"
"인천광역시  (2800000000)","2,681,953","2,681,953","287,482","396,724","402,242","476,684","508,438","306,890","174,627","95,123","30,196","3,457","90"
"광주광역시  (2900000000)","1,416,751","1,416,751","169,135","227,312","217,577","247,540","237,492","150,808","96,606","51,588","16,569","2,066","58"
"대전광역시  (3000000000)","1,477,420","1,477,420","168,108","222,747","229,024","263,919","258,014","169,290","95,233","52,348","16,692","1,995","50"
"울산광역시  (3100000000)","1,105,655","1,105,655","125,776","177,077","160,226","196,282","215,449","130,000","60,703","29,651","9,424","1,049","18"
"경기도  (4100000000)","11,182,935","11,182,935","1,344,902","1,620,849","1,584,647","2,141,833","2,050,702","1,172,036","720,964","407,861","124,282","14,480","379"
"강원도  (4200000000)","1,504,619","1,504,619","151,653","198,015","197,985","229,203","257,842","191,116","151,089","92,791","30,818","3,992","115"
"충청북도  (4300000000)","1,512,361","1,512,361","161,071","211,205","212,058","242,071","255,232","179,359","130,314","90,062","27,554","3,356","79"
"충청남도  (4400000000)","2,005,692","2,005,692","215,522","260,744","274,117","319,225","321,223","238,192","185,486","142,785","43,066","5,198","134"
"전라북도  (4500000000)","1,855,354","1,855,354","191,449","257,499","247,672","278,619","294,862","228,358","182,422","128,101","41,339","4,854","179"
"전라남도  (4600000000)","1,924,075","1,924,075","191,049","252,260","236,556","267,419","302,164","237,981","219,892","160,433","50,163","5,942","216"
"경상북도  (4700000000)","2,675,949","2,675,949","260,752","340,547","360,972","409,631","440,184","346,184","261,644","187,935","60,878","7,075","147"
"경상남도  (4800000000)","3,203,053","3,203,053","351,402","452,011","432,827","539,335","557,571","384,778","254,576","172,929","52,648","4,855","121"
"제주특별자치도  (5000000000)","559,540","559,540","68,073","81,484","73,875","94,336","93,441","61,686","46,216","29,032","9,453","1,886","58"
