"행정구역","2024년06월_계_총인구수","2024년06월_계_연령구간인구수","2024년06월_계_0~9세","2024년06월_계_10~19세","2024년06월_계_20~29세","2024년06월_계_30~39세","2024년06월_계_40~49세","2024년06월_계_50~59세","2024년06월_계_60~69세","2024년06월_계_70~79세","2024년06월_계_80~89세","2024년06월_계_90~99세","2024년06월_계_100세 이상"
"전국  (0000000000)","51,271,480","51,271,480","3,228,509","4,631,337","6,072,415","6,593,312","7,811,493","8,730,169","7,731,876","4,064,001","2,083,779","315,867","8,722"
"서울특별시  (1100000000)","9,366,283","9,366,283","497,454","727,843","1,336,114","1,433,771","1,399,847","1,495,711","1,323,214","754,353","348,931","47,534","1,511"
"부산광역시  (2600000000)","3,280,749","3,280,749","187,878","262,880","368,026","389,910","477,554","540,284","562,040","327,970","145,592","18,176","439"
"대구광역시  (2700000000)","2,367,183","2,367,183","145,905","212,678","274,202","281,187","349,887","419,711","370,966","199,617","99,531","13,239","260"
"인천광역시  (2800000000)","3,011,073","3,011,073","198,737","271,779","357,519","418,365","477,857","518,149","451,247","204,429","96,898","15,601","492"
"광주광역시  (2900000000)","1,413,606","1,413,606","95,958","146,228","186,157","173,673","223,567","242,982","187,681","100,869","49,060","7,230","201"
"대전광역시  (3000000000)","1,440,558","1,440,558","93,829","136,682","196,552","189,064","216,253","244,589","203,950","102,153","49,755","7,513","218"
"울산광역시  (3100000000)","1,100,304","1,100,304","75,863","109,078","119,468","136,569","175,492","204,259","172,554","74,383","28,660","3,889","89"
"세종특별자치시  (3600000000)","387,940","387,940","42,373","51,369","37,155","59,083","77,115","55,862","37,895","17,070","8,403","1,576","39"
"경기도  (4100000000)","13,661,438","13,661,438","962,417","1,319,439","1,652,472","1,890,552","2,232,336","2,355,387","1,873,141","873,549","433,550","66,650","1,945"
"강원특별자치도  (5100000000)","1,522,542","1,522,542","88,159","127,628","159,566","158,252","203,956","262,461","278,023","145,104","85,781","13,192","420"
"충청북도  (4300000000)","1,591,485","1,591,485","100,090","143,573","177,592","187,882","227,469","273,956","260,531","132,026","76,260","11,825","281"
"충청남도  (4400000000)","2,134,817","2,134,817","139,378","201,846","222,968","251,512","321,067","353,816","329,905","182,468","111,629","19,727","501"
"전북특별자치도  (5200000000)","1,745,885","1,745,885","98,590","162,201","185,488","172,353","239,286","303,366","286,765","175,086","104,559","17,713","478"
"전라남도  (4600000000)","1,794,967","1,794,967","104,141","156,990","172,960","168,662","236,501","310,948","308,689","191,834","123,415","20,254","573"
"경상북도  (4700000000)","2,544,174","2,544,174","145,679","216,639","241,777","257,468","349,863","444,594","453,801","258,287","151,534","23,955","577"
"경상남도  (4800000000)","3,236,224","3,236,224","202,581","314,380","312,738","347,215","496,775","584,370","535,975","276,161","143,027","22,567","435"
"제주특별자치도  (5000000000)","672,252","672,252","49,477","70,104","71,661","77,794","106,668","119,724","95,499","48,642","27,194","5,226","263"
