"행정구역","2015년03월_계_총인구수","2015년03월_계_연령구간인구수","2015년03월_계_0~9세","2015년03월_계_10~19세","2015년03월_계_20~29세","2015년03월_계_30~39세","2015년03월_계_40~49세","2015년03월_계_50~59세","2015년03월_계_60~69세","2015년03월_계_70~79세","2015년03월_계_80~89세","2015년03월_계_90~99세","2015년03월_계_100세 이상"
"전국  (0000000000)","51,378,174","51,378,174","4,588,222","5,910,480","6,642,432","7,767,952","8,920,649","8,223,977","4,832,964","3,159,313","1,157,983","158,842","15,360"
"서울특별시  (1100000000)","10,100,987","10,100,987","789,870","1,029,856","1,458,262","1,704,082","1,726,866","1,596,751","1,004,442","574,545","182,603","28,905","4,805"
"부산광역시  (2600000000)","3,515,839","3,515,839","264,229","361,392","455,084","500,498","574,632","625,139","411,945","237,621","74,845","9,020","1,434"
"대구광역시  (2700000000)","2,491,897","2,491,897","208,329","302,079","324,033","349,943","444,326","415,904","241,642","149,164","50,233","5,726","518"
"인천광역시  (2800000000)","2,908,418","2,908,418","270,332","335,006","398,993","459,018","520,050","484,735","240,989","139,766","51,267","7,611","651"
"광주광역시  (2900000000)","1,477,504","1,477,504","144,747","204,827","197,903","226,778","261,031","213,300","122,558","75,375","26,968","3,710","307"
"대전광역시  (3000000000)","1,528,090","1,528,090","147,297","192,868","210,171","235,106","270,227","237,672","127,903","75,355","27,486","3,744","261"
"울산광역시  (3100000000)","1,168,692","1,168,692","115,334","145,465","156,566","182,052","215,495","197,305","93,806","45,332","15,257","1,951","129"
"세종특별자치시  (3600000000)","174,920","174,920","23,377","19,873","18,983","31,827","30,718","22,165","13,230","9,873","4,262","580","32"
"경기도  (4100000000)","12,392,297","12,392,297","1,243,606","1,516,717","1,614,095","1,981,395","2,303,817","1,909,421","967,322","604,478","217,411","31,199","2,836"
"강원도  (4200000000)","1,543,187","1,543,187","123,880","176,706","181,565","192,408","252,022","266,654","164,439","130,728","47,031","7,185","569"
"충청북도  (4300000000)","1,578,748","1,578,748","142,255","186,136","193,698","219,058","264,590","256,068","150,592","115,201","45,096","5,652","402"
"충청남도  (4400000000)","2,064,229","2,064,229","196,157","234,463","240,944","299,929","332,725","315,254","201,663","162,839","70,593","9,035","627"
"전라북도  (4500000000)","1,869,966","1,869,966","160,720","225,326","216,791","237,526","302,813","292,360","202,587","156,331","66,335","8,568","609"
"전라남도  (4600000000)","1,902,274","1,902,274","156,979","217,295","202,740","226,734","295,751","303,456","217,700","191,423","78,825","10,653","718"
"경상북도  (4700000000)","2,697,302","2,697,302","222,441","286,643","310,308","352,709","432,734","451,004","299,427","234,085","95,181","12,070","700"
"경상남도  (4800000000)","3,352,780","3,352,780","316,611","397,052","391,075","483,896","583,996","544,353","318,068","218,619","88,422","10,130","558"
"제주특별자치도  (5000000000)","611,044","611,044","62,058","78,776","71,221","84,993","108,856","92,436","54,651","38,578","16,168","3,103","204"
