"행정구역","2021년09월_계_총인구수","2021년09월_계_연령구간인구수","2021년09월_계_0~9세","2021년09월_계_10~19세","2021년09월_계_20~29세","2021년09월_계_30~39세","2021년09월_계_40~49세","2021년09월_계_50~59세","2021년09월_계_60~69세","2021년09월_계_70~79세","2021년09월_계_80~89세","2021년09월_계_90~99세","2021년09월_계_100세 이상"
"전국  (0000000000)","51,667,688","51,667,688","3,809,849","4,727,626","6,708,734","6,745,531","8,182,067","8,610,979","7,097,818","3,705,737","1,808,689","259,635","11,023"
"서울특별시  (1100000000)","9,542,256","9,542,256","593,167","761,868","1,436,423","1,444,106","1,490,032","1,506,315","1,280,475","696,015","290,067","41,236","2,552"
"부산광역시  (2600000000)","3,358,763","3,358,763","222,742","267,044","420,631","408,295","503,507","555,964","546,976","296,080","121,655","15,114","755"
"대구광역시  (2700000000)","2,392,787","2,392,787","170,270","219,795","313,516","286,608","374,414","419,587","340,112","176,747","81,471","9,884","383"
"인천광역시  (2800000000)","2,941,795","2,941,795","219,612","271,502","392,901","401,098","480,375","509,323","393,500","178,622","81,545","12,758","559"
"광주광역시  (2900000000)","1,442,827","1,442,827","115,090","153,327","207,931","182,107","236,716","234,723","170,513","94,232","41,926","6,024","238"
"대전광역시  (3000000000)","1,455,058","1,455,058","108,994","143,141","211,021","190,288","232,111","239,841","188,867","91,998","42,541","6,044","212"
"울산광역시  (3100000000)","1,123,236","1,123,236","93,408","110,255","139,144","146,202","184,256","206,803","153,994","62,185","23,734","3,169","86"
"세종특별자치시  (3600000000)","366,560","366,560","46,960","44,826","38,131","61,187","71,533","47,566","32,942","14,652","7,442","1,283","38"
"경기도  (4100000000)","13,542,284","13,542,284","1,111,291","1,325,381","1,808,560","1,899,120","2,294,174","2,260,916","1,646,357","771,593","368,251","54,291","2,350"
"강원도  (4200000000)","1,536,765","1,536,765","102,024","134,545","175,972","162,827","219,798","264,279","256,747","133,190","75,428","11,488","467"
"충청북도  (4300000000)","1,596,765","1,596,765","118,430","146,872","195,670","191,514","237,294","270,258","238,847","119,718","68,404","9,438","320"
"충청남도  (4400000000)","2,118,098","2,118,098","165,314","201,008","239,126","260,929","325,499","338,834","296,974","171,751","103,055","15,088","520"
"전라북도  (4500000000)","1,791,110","1,791,110","121,707","171,106","208,407","183,643","261,232","298,271","266,473","170,869","94,400","14,476","526"
"전라남도  (4600000000)","1,835,690","1,835,690","125,935","163,747","194,942","179,879","253,304","312,093","282,701","191,055","114,399","17,021","614"
"경상북도  (4700000000)","2,628,344","2,628,344","181,187","222,671","277,982","281,964","377,596","454,112","429,611","242,890","139,808","19,854","669"
"경상남도  (4800000000)","3,319,271","3,319,271","254,979","320,218","366,966","384,588","528,767","577,705","489,069","248,498","129,637","18,324","520"
"제주특별자치도  (5000000000)","676,079","676,079","58,739","70,320","81,411","81,176","111,459","114,389","83,660","45,642","24,926","4,143","214"
