"행정구역","2015년06월_계_총인구수","2015년06월_계_연령구간인구수","2015년06월_계_0~9세","2015년06월_계_10~19세","2015년06월_계_20~29세","2015년06월_계_30~39세","2015년06월_계_40~49세","2015년06월_계_50~59세","2015년06월_계_60~69세","2015년06월_계_70~79세","2015년06월_계_80~89세","2015년06월_계_90~99세","2015년06월_계_100세 이상"
"전국  (0000000000)","51,431,100","51,431,100","4,596,014","5,853,773","6,666,507","7,726,898","8,908,312","8,247,937","4,894,478","3,185,222","1,176,083","160,247","15,629"
"서울특별시  (1100000000)","10,078,850","10,078,850","789,372","1,015,514","1,457,315","1,691,048","1,721,003","1,592,373","1,012,593","580,608","185,049","29,083","4,892"
"부산광역시  (2600000000)","3,517,491","3,517,491","265,504","356,680","456,347","498,604","573,651","623,045","417,140","239,962","75,987","9,125","1,446"
"대구광역시  (2700000000)","2,491,137","2,491,137","208,510","298,238","325,243","347,671","442,636","416,491","244,882","150,100","51,063","5,783","520"
"인천광역시  (2800000000)","2,914,271","2,914,271","271,122","331,548","400,379","457,612","519,032","487,375","245,185","141,435","52,216","7,700","667"
"광주광역시  (2900000000)","1,476,974","1,476,974","144,464","202,463","198,827","224,919","260,828","214,218","123,556","76,253","27,415","3,718","313"
"대전광역시  (3000000000)","1,525,656","1,525,656","146,764","190,575","210,794","232,979","268,938","237,855","129,664","76,180","27,895","3,745","267"
"울산광역시  (3100000000)","1,169,768","1,169,768","115,747","143,610","157,268","181,364","214,503","198,298","95,662","45,784","15,434","1,964","134"
"세종특별자치시  (3600000000)","185,212","185,212","25,178","20,774","20,225","34,047","32,580","23,376","13,932","10,062","4,414","591","33"
"경기도  (4100000000)","12,432,063","12,432,063","1,245,684","1,508,316","1,624,110","1,972,685","2,305,101","1,924,017","983,989","612,123","221,555","31,597","2,886"
"강원도  (4200000000)","1,547,166","1,547,166","123,858","175,442","183,579","191,425","252,033","267,379","165,933","131,943","47,714","7,280","580"
"충청북도  (4300000000)","1,582,181","1,582,181","142,450","184,283","194,860","218,446","264,306","257,541","152,445","115,822","45,854","5,759","415"
"충청남도  (4400000000)","2,068,444","2,068,444","196,772","232,917","242,003","298,577","332,116","316,893","204,632","163,040","71,783","9,069","642"
"전라북도  (4500000000)","1,869,668","1,869,668","160,540","223,090","217,265","235,651","302,327","292,854","204,703","156,583","67,464","8,573","618"
"전라남도  (4600000000)","1,902,638","1,902,638","157,471","215,022","203,029","225,458","294,767","304,551","218,781","192,270","79,908","10,650","731"
"경상북도  (4700000000)","2,697,791","2,697,791","222,838","283,738","310,327","350,119","431,626","452,423","302,930","234,340","96,562","12,178","710"
"경상남도  (4800000000)","3,356,540","3,356,540","317,367","393,236","392,883","481,167","583,053","545,982","322,915","219,670","89,359","10,343","565"
"제주특별자치도  (5000000000)","615,250","615,250","62,373","78,327","72,053","85,126","109,812","93,266","55,536","39,047","16,411","3,089","210"
