"행정구역","2019년09월_계_총인구수","2019년09월_계_연령구간인구수","2019년09월_계_0~9세","2019년09월_계_10~19세","2019년09월_계_20~29세","2019년09월_계_30~39세","2019년09월_계_40~49세","2019년09월_계_50~59세","2019년09월_계_60~69세","2019년09월_계_70~79세","2019년09월_계_80~89세","2019년09월_계_90~99세","2019년09월_계_100세 이상"
"전국  (0000000000)","51,849,253","51,849,253","4,199,284","5,004,763","6,818,079","7,125,409","8,388,036","8,686,177","6,196,034","3,578,701","1,606,133","226,761","19,876"
"서울특별시  (1100000000)","9,740,398","9,740,398","668,079","828,578","1,460,342","1,518,576","1,564,097","1,546,916","1,174,455","679,773","254,475","38,932","6,175"
"부산광역시  (2600000000)","3,421,502","3,421,502","245,192","286,824","439,117","440,876","518,944","586,966","500,948","281,859","105,234","13,789","1,753"
"대구광역시  (2700000000)","2,445,270","2,445,270","189,711","240,448","326,354","309,810","395,207","430,950","302,663","169,460","71,536","8,464","667"
"인천광역시  (2800000000)","2,956,804","2,956,804","244,682","285,209","408,450","424,448","489,594","518,148","332,142","170,080","72,059","11,107","885"
"광주광역시  (2900000000)","1,459,632","1,459,632","127,543","166,222","208,468","195,338","245,199","233,429","151,035","89,805","37,053","5,146","394"
"대전광역시  (3000000000)","1,479,641","1,479,641","123,505","154,930","213,637","202,781","243,621","244,840","165,473","87,023","38,167","5,331","333"
"울산광역시  (3100000000)","1,149,873","1,149,873","105,366","117,763","150,065","161,859","191,119","211,809","131,754","56,333","20,795","2,852","158"
"세종특별자치시  (3600000000)","333,757","333,757","46,453","39,240","35,637","60,831","62,774","41,571","26,308","13,271","6,579","1,040","53"
"경기도  (4100000000)","13,207,219","13,207,219","1,191,758","1,367,004","1,766,694","1,934,070","2,284,546","2,194,642","1,366,998","732,240","318,900","46,533","3,834"
"강원도  (4200000000)","1,540,721","1,540,721","110,255","145,259","180,312","171,826","229,041","272,522","217,924","136,626","66,037","10,135","784"
"충청북도  (4300000000)","1,599,339","1,599,339","130,319","155,795","200,215","201,256","243,885","274,848","203,269","119,007","61,914","8,292","539"
"충청남도  (4400000000)","2,124,855","2,124,855","183,937","209,451","245,967","282,161","328,235","342,390","256,744","166,327","95,873","12,938","832"
"전라북도  (4500000000)","1,822,883","1,822,883","138,664","184,326","214,457","200,489","275,782","305,063","239,398","164,341","87,345","12,227","791"
"전라남도  (4600000000)","1,865,915","1,865,915","140,668","176,582","202,903","196,748","266,367","318,288","253,633","192,156","103,838","13,931","801"
"경상북도  (4700000000)","2,666,795","2,666,795","202,175","237,926","294,895","310,252","392,527","468,065","377,856","237,891","127,190","17,106","912"
"경상남도  (4800000000)","3,364,039","3,364,039","288,094","336,857","388,483","428,431","543,794","585,215","422,386","238,033","116,690","15,352","704"
"제주특별자치도  (5000000000)","670,610","670,610","62,883","72,349","82,083","85,657","113,304","110,515","73,048","44,476","22,448","3,586","261"
