"행정구역","2010년04월_계_총인구수","2010년04월_계_연령구간인구수","2010년04월_계_0~9세","2010년04월_계_10~19세","2010년04월_계_20~29세","2010년04월_계_30~39세","2010년04월_계_40~49세","2010년04월_계_50~59세","2010년04월_계_60~69세","2010년04월_계_70~79세","2010년04월_계_80~89세","2010년04월_계_90~99세","2010년04월_계_100세 이상"
"전국  (0000000000)","49,889,125","49,889,125","4,845,959","6,807,092","6,959,063","8,360,997","8,737,495","6,663,838","4,080,340","2,529,584","807,116","94,928","2,713"
"서울특별시  (1100000000)","10,203,549","10,203,549","880,532","1,252,523","1,621,182","1,871,580","1,724,046","1,421,427","863,422","421,039","130,666","16,633","499"
"부산광역시  (2600000000)","3,537,482","3,537,482","277,074","451,333","513,908","540,597","609,714","569,493","341,891","177,293","51,262","4,787","130"
"대구광역시  (2700000000)","2,489,935","2,489,935","228,847","362,128","347,380","396,585","455,429","345,967","200,556","116,492","33,021","3,437","93"
"인천광역시  (2800000000)","2,720,738","2,720,738","269,121","391,267","392,705","463,745","513,165","357,455","187,343","106,391","35,264","4,162","120"
"광주광역시  (2900000000)","1,436,374","1,436,374","157,678","231,357","207,240","243,740","244,908","168,623","103,414","57,613","19,348","2,375","78"
"대전광역시  (3000000000)","1,487,266","1,487,266","156,585","222,109","217,755","254,333","263,156","190,804","102,381","58,723","19,058","2,293","69"
"울산광역시  (3100000000)","1,115,174","1,115,174","116,240","174,964","154,302","187,593","218,887","150,181","67,436","33,642","10,710","1,195","24"
"경기도  (4100000000)","11,551,813","11,551,813","1,282,440","1,661,302","1,565,540","2,103,662","2,153,127","1,388,384","769,282","463,541","146,441","17,606","488"
"강원도  (4200000000)","1,512,825","1,512,825","139,390","199,306","187,909","219,114","255,875","219,325","148,121","104,228","34,811","4,605","141"
"충청북도  (4300000000)","1,530,032","1,530,032","151,089","211,663","202,937","234,141","261,265","203,963","130,706","98,922","31,412","3,830","104"
"충청남도  (4400000000)","2,047,375","2,047,375","206,731","266,992","263,523","317,866","330,087","262,968","188,693","154,715","49,667","5,967","166"
"전라북도  (4500000000)","1,855,279","1,855,279","176,055","256,863","234,616","268,015","296,789","247,078","185,016","138,598","46,531","5,535","183"
"전라남도  (4600000000)","1,911,415","1,911,415","172,606","251,796","221,391","255,180","301,267","256,488","214,952","172,085","58,658","6,767","225"
"경상북도  (4700000000)","2,668,871","2,668,871","237,451","335,282","340,549","389,220","440,311","379,420","264,713","205,805","67,812","8,132","176"
"경상남도  (4800000000)","3,257,189","3,257,189","331,268","454,634","418,454","526,281","572,306","433,478","265,263","188,148","61,622","5,600","135"
"제주특별자치도  (5000000000)","563,808","563,808","62,852","83,573","69,672","89,345","97,163","68,784","47,151","32,349","10,833","2,004","82"
