"행정구역","2023년07월_계_총인구수","2023년07월_계_연령구간인구수","2023년07월_계_0~9세","2023년07월_계_10~19세","2023년07월_계_20~29세","2023년07월_계_30~39세","2023년07월_계_40~49세","2023년07월_계_50~59세","2023년07월_계_60~69세","2023년07월_계_70~79세","2023년07월_계_80~89세","2023년07월_계_90~99세","2023년07월_계_100세 이상"
"전국  (0000000000)","51,387,133","51,387,133","3,415,119","4,674,885","6,284,235","6,588,036","7,988,791","8,631,299","7,571,631","3,907,575","2,025,747","290,813","9,002"
"서울특별시  (1100000000)","9,411,260","9,411,260","526,144","741,199","1,373,020","1,427,554","1,431,557","1,490,423","1,313,880","728,424","333,491","44,070","1,498"
"부산광역시  (2600000000)","3,305,052","3,305,052","199,654","264,559","385,177","393,281","489,183","539,658","561,300","315,330","139,650","16,806","454"
"대구광역시  (2700000000)","2,379,086","2,379,086","153,424","215,696","287,579","279,895","360,315","418,247","363,150","192,899","95,664","11,954","263"
"인천광역시  (2800000000)","2,981,553","2,981,553","204,597","272,081","368,090","408,639","480,586","511,094","434,957","193,770","92,799","14,419","521"
"광주광역시  (2900000000)","1,424,305","1,424,305","102,694","148,607","194,085","175,029","230,115","239,077","182,493","97,504","47,899","6,583","219"
"대전광역시  (3000000000)","1,444,898","1,444,898","99,181","138,836","201,460","187,985","223,181","240,762","200,916","97,507","48,005","6,852","213"
"울산광역시  (3100000000)","1,105,326","1,105,326","81,513","109,461","124,481","138,111","179,361","203,961","167,609","69,636","27,529","3,588","76"
"세종특별자치시  (3600000000)","386,192","386,192","44,799","50,085","37,875","60,177","77,356","53,162","36,903","16,169","8,177","1,441","48"
"경기도  (4100000000)","13,623,055","13,623,055","1,011,869","1,326,853","1,704,009","1,879,114","2,270,297","2,311,572","1,807,547","832,069","416,806","60,963","1,956"
"강원특별자치도  (5100000000)","1,532,050","1,532,050","93,027","130,311","166,053","159,093","211,908","261,138","273,988","140,359","83,381","12,388","404"
"충청북도  (4300000000)","1,594,240","1,594,240","105,629","144,924","184,433","187,102","233,241","269,403","256,845","126,438","75,189","10,742","294"
"충청남도  (4400000000)","2,126,640","2,126,640","147,071","201,955","227,805","251,231","325,509","344,715","322,253","176,886","110,672","18,024","519"
"전라북도  (4500000000)","1,761,169","1,761,169","105,658","165,291","193,708","174,000","249,006","299,066","282,967","170,112","104,392","16,448","521"
"전라남도  (4600000000)","1,810,071","1,810,071","110,626","159,701","180,604","170,570","243,967","310,455","301,710","188,429","124,518","18,860","631"
"경상북도  (4700000000)","2,564,065","2,564,065","157,114","218,279","252,032","262,491","361,872","443,363","446,653","249,810","149,753","22,092","606"
"경상남도  (4800000000)","3,261,361","3,261,361","219,246","316,587","328,366","355,101","511,339","577,192","526,298","264,758","141,194","20,824","456"
"제주특별자치도  (5000000000)","676,810","676,810","52,873","70,460","75,458","78,663","109,998","118,011","92,162","47,475","26,628","4,759","323"
