"행정구역","2012년05월_계_총인구수","2012년05월_계_연령구간인구수","2012년05월_계_0~9세","2012년05월_계_10~19세","2012년05월_계_20~29세","2012년05월_계_30~39세","2012년05월_계_40~49세","2012년05월_계_50~59세","2012년05월_계_60~69세","2012년05월_계_70~79세","2012년05월_계_80~89세","2012년05월_계_90~99세","2012년05월_계_100세 이상"
"전국  (0000000000)","50,819,380","50,819,380","4,656,213","6,589,798","6,663,577","8,227,615","8,858,481","7,608,899","4,282,671","2,861,858","932,532","125,712","12,024"
"서울특별시  (1100000000)","10,237,054","10,237,054","829,607","1,180,296","1,512,876","1,824,532","1,745,308","1,562,194","907,521","496,790","150,569","23,659","3,702"
"부산광역시  (2600000000)","3,543,688","3,543,688","264,380","420,506","473,198","533,786","590,878","621,481","365,364","205,713","60,264","7,002","1,116"
"대구광역시  (2700000000)","2,507,022","2,507,022","215,108","345,122","329,107","383,651","453,442","389,609","214,068","132,870","39,113","4,545","387"
"인천광역시  (2800000000)","2,818,348","2,818,348","265,542","375,639","388,415","469,314","519,381","427,839","202,632","122,017","41,325","5,766","478"
"광주광역시  (2900000000)","1,466,464","1,466,464","149,812","227,321","199,043","242,026","253,583","192,166","110,416","66,826","22,035","2,975","261"
"대전광역시  (3000000000)","1,521,659","1,521,659","152,288","215,451","210,487","253,054","267,249","220,640","110,192","67,154","21,985","2,935","224"
"울산광역시  (3100000000)","1,140,673","1,140,673","112,588","166,591","151,358","186,057","218,523","176,341","76,493","38,750","12,340","1,543","89"
"경기도  (4100000000)","11,998,173","11,998,173","1,251,606","1,646,256","1,553,568","2,079,904","2,241,499","1,670,942","821,821","534,805","171,613","23,969","2,190"
"강원도  (4200000000)","1,537,673","1,537,673","130,339","196,197","181,886","211,176","254,085","251,611","148,264","118,679","39,322","5,654","460"
"충청북도  (4300000000)","1,566,183","1,566,183","146,457","207,268","195,155","233,643","262,074","236,777","134,500","109,575","35,699","4,741","294"
"충청남도  (4400000000)","2,112,849","2,112,849","204,678","265,282","253,916","323,278","337,465","301,887","193,622","166,768","57,962","7,437","554"
"전라북도  (4500000000)","1,873,141","1,873,141","166,555","250,827","222,356","260,374","299,246","273,860","187,727","151,818","52,954","6,924","500"
"전라남도  (4600000000)","1,910,689","1,910,689","161,683","244,076","207,342","244,466","300,019","280,525","211,436","186,101","65,945","8,511","585"
"경상북도  (4700000000)","2,694,930","2,694,930","226,299","323,275","322,028","380,838","436,871","424,495","270,816","222,921","76,881","9,979","527"
"경상남도  (4800000000)","3,311,574","3,311,574","319,050","442,009","396,014","515,158","576,323","498,929","278,923","205,012","72,119","7,556","481"
"제주특별자치도  (5000000000)","579,260","579,260","60,221","83,682","66,828","86,358","102,535","79,603","48,876","36,059","12,406","2,516","176"
