"행정구역","2024년04월_계_총인구수","2024년04월_계_연령구간인구수","2024년04월_계_0~9세","2024년04월_계_10~19세","2024년04월_계_20~29세","2024년04월_계_30~39세","2024년04월_계_40~49세","2024년04월_계_50~59세","2024년04월_계_60~69세","2024년04월_계_70~79세","2024년04월_계_80~89세","2024년04월_계_90~99세","2024년04월_계_100세 이상"
"전국  (0000000000)","51,285,153","51,285,153","3,259,937","4,634,906","6,110,713","6,573,833","7,847,315","8,726,337","7,713,462","4,022,944","2,074,262","312,668","8,776"
"서울특별시  (1100000000)","9,378,269","9,378,269","502,083","731,176","1,345,398","1,429,039","1,407,189","1,497,051","1,323,231","747,791","346,723","47,085","1,503"
"부산광역시  (2600000000)","3,284,947","3,284,947","189,986","263,058","370,874","389,467","479,849","541,104","562,481","325,200","144,497","17,988","443"
"대구광역시  (2700000000)","2,368,670","2,368,670","147,411","212,696","276,301","280,390","351,733","420,183","369,956","197,593","99,059","13,082","266"
"인천광역시  (2800000000)","3,008,484","3,008,484","199,976","271,930","360,037","416,418","479,211","517,818","449,099","201,774","96,292","15,437","492"
"광주광역시  (2900000000)","1,414,862","1,414,862","97,121","146,430","187,340","173,385","224,992","242,635","186,969","99,979","48,683","7,125","203"
"대전광역시  (3000000000)","1,441,272","1,441,272","94,665","137,121","197,688","188,386","217,284","244,359","203,871","100,749","49,555","7,376","218"
"울산광역시  (3100000000)","1,101,059","1,101,059","76,781","109,050","120,503","136,317","176,235","204,576","171,808","73,386","28,459","3,857","87"
"세종특별자치시  (3600000000)","387,726","387,726","42,795","51,145","37,365","59,017","77,254","55,542","37,809","16,852","8,341","1,566","40"
"경기도  (4100000000)","13,648,156","13,648,156","970,596","1,317,378","1,661,407","1,882,433","2,240,377","2,350,861","1,863,454","863,125","430,814","65,769","1,942"
"강원특별자치도  (5100000000)","1,523,661","1,523,661","89,050","128,063","160,485","157,955","205,342","262,506","277,500","143,818","85,463","13,062","417"
"충청북도  (4300000000)","1,590,854","1,590,854","100,966","143,719","178,470","187,226","228,237","273,378","260,271","130,527","76,065","11,710","285"
"충청남도  (4400000000)","2,133,828","2,133,828","140,861","201,982","223,516","251,052","322,087","353,184","329,082","180,437","111,540","19,587","500"
"전북특별자치도  (5200000000)","1,748,047","1,748,047","99,736","162,727","186,710","172,154","241,121","303,017","286,726","173,407","104,388","17,573","488"
"전라남도  (4600000000)","1,797,199","1,797,199","105,130","157,332","174,288","168,457","237,837","311,361","308,238","190,588","123,299","20,073","596"
"경상북도  (4700000000)","2,546,120","2,546,120","147,475","216,649","242,875","257,421","351,917","445,036","453,097","255,879","151,333","23,860","578"
"경상남도  (4800000000)","3,239,224","3,239,224","205,302","314,351","315,171","347,048","499,277","584,233","534,653","273,722","142,676","22,347","444"
"제주특별자치도  (5000000000)","672,775","672,775","50,003","70,099","72,285","77,668","107,373","119,493","95,217","48,117","27,075","5,171","274"
