"행정구역","2015년01월_계_총인구수","2015년01월_계_연령구간인구수","2015년01월_계_0~9세","2015년01월_계_10~19세","2015년01월_계_20~29세","2015년01월_계_30~39세","2015년01월_계_40~49세","2015년01월_계_50~59세","2015년01월_계_60~69세","2015년01월_계_70~79세","2015년01월_계_80~89세","2015년01월_계_90~99세","2015년01월_계_100세 이상"
"전국  (0000000000)","51,342,881","51,342,881","4,587,034","5,963,736","6,635,579","7,795,491","8,943,181","8,217,775","4,741,806","3,150,148","1,136,280","156,671","15,180"
"서울특별시  (1100000000)","10,104,515","10,104,515","792,353","1,039,405","1,455,881","1,711,731","1,731,908","1,602,192","987,402","571,169","179,180","28,570","4,724"
"부산광역시  (2600000000)","3,517,898","3,517,898","263,747","365,123","455,687","503,003","576,949","628,752","404,630","236,220","73,516","8,856","1,415"
"대구광역시  (2700000000)","2,492,658","2,492,658","208,324","305,475","323,766","351,921","446,314","415,504","237,304","148,693","49,190","5,656","511"
"인천광역시  (2800000000)","2,904,876","2,904,876","269,998","338,504","398,128","460,586","521,778","483,080","235,323","138,925","50,406","7,517","631"
"광주광역시  (2900000000)","1,476,891","1,476,891","144,939","206,910","197,694","227,405","260,740","213,103","120,489","75,151","26,476","3,677","307"
"대전광역시  (3000000000)","1,531,287","1,531,287","148,286","195,258","209,904","236,980","271,789","237,693","125,374","75,084","26,942","3,715","262"
"울산광역시  (3100000000)","1,167,232","1,167,232","114,937","147,332","156,331","182,315","216,456","196,480","91,394","44,931","15,005","1,920","131"
"세종특별자치시  (3600000000)","161,716","161,716","20,509","18,037","17,986","28,963","28,033","21,123","12,589","9,717","4,155","571","33"
"경기도  (4100000000)","12,366,711","12,366,711","1,242,727","1,528,317","1,608,280","1,987,086","2,307,441","1,899,611","945,724","601,018","213,049","30,662","2,796"
"강원도  (4200000000)","1,543,640","1,543,640","124,196","177,970","181,556","193,755","253,005","267,339","161,656","130,204","46,330","7,069","560"
"충청북도  (4300000000)","1,578,531","1,578,531","142,568","188,001","193,485","220,076","265,950","255,394","147,690","115,274","44,101","5,591","401"
"충청남도  (4400000000)","2,063,050","2,063,050","195,944","236,516","241,725","300,571","334,193","314,151","197,894","163,406","69,130","8,894","626"
"전라북도  (4500000000)","1,871,018","1,871,018","160,959","227,515","217,286","238,520","303,501","292,757","199,290","156,925","65,122","8,538","605"
"전라남도  (4600000000)","1,904,220","1,904,220","156,946","219,662","203,664","227,388","296,428","304,069","215,398","192,124","77,248","10,582","711"
"경상북도  (4700000000)","2,699,275","2,699,275","222,599","289,659","311,768","354,785","434,274","451,346","294,442","234,472","93,391","11,836","703"
"경상남도  (4800000000)","3,351,038","3,351,038","316,225","401,029","391,406","485,616","586,167","542,938","311,695","218,371","87,125","9,905","561"
"제주특별자치도  (5000000000)","608,325","608,325","61,777","79,023","71,032","84,790","108,255","92,243","53,512","38,464","15,914","3,112","203"
