"행정구역","2023년08월_계_총인구수","2023년08월_계_연령구간인구수","2023년08월_계_0~9세","2023년08월_계_10~19세","2023년08월_계_20~29세","2023년08월_계_30~39세","2023년08월_계_40~49세","2023년08월_계_50~59세","2023년08월_계_60~69세","2023년08월_계_70~79세","2023년08월_계_80~89세","2023년08월_계_90~99세","2023년08월_계_100세 이상"
"전국  (0000000000)","51,377,213","51,377,213","3,398,415","4,673,674","6,265,976","6,587,136","7,977,613","8,634,255","7,589,676","3,918,796","2,030,118","292,625","8,929"
"서울특별시  (1100000000)","9,409,466","9,409,466","523,404","740,523","1,370,980","1,428,070","1,429,564","1,490,045","1,315,579","730,478","334,941","44,365","1,517"
"부산광역시  (2600000000)","3,302,740","3,302,740","198,657","264,486","383,672","392,981","488,432","539,375","561,694","316,061","140,082","16,854","446"
"대구광역시  (2700000000)","2,378,464","2,378,464","152,853","215,510","286,581","280,170","359,616","418,224","363,958","193,370","95,886","12,036","260"
"인천광역시  (2800000000)","2,985,152","2,985,152","204,094","272,235","367,246","409,654","480,869","511,512","436,589","194,751","93,178","14,509","515"
"광주광역시  (2900000000)","1,423,810","1,423,810","102,152","148,476","193,607","175,013","229,740","239,193","183,021","97,778","48,006","6,607","217"
"대전광역시  (3000000000)","1,444,837","1,444,837","98,660","138,792","201,280","187,921","222,760","240,943","201,321","97,866","48,175","6,908","211"
"울산광역시  (3100000000)","1,104,448","1,104,448","80,992","109,385","123,888","137,818","179,168","203,763","168,140","69,938","27,674","3,605","77"
"세종특별자치시  (3600000000)","385,953","385,953","44,517","50,214","37,834","59,894","77,329","53,308","36,956","16,235","8,164","1,455","47"
"경기도  (4100000000)","13,624,964","13,624,964","1,007,256","1,327,479","1,699,010","1,879,098","2,267,822","2,313,797","1,813,864","835,228","418,038","61,435","1,937"
"강원특별자치도  (5100000000)","1,531,390","1,531,390","92,627","130,115","165,494","159,041","211,352","261,177","274,533","140,742","83,494","12,410","405"
"충청북도  (4300000000)","1,594,337","1,594,337","105,246","144,931","183,810","187,274","232,944","269,811","257,270","126,806","75,126","10,834","285"
"충청남도  (4400000000)","2,127,077","2,127,077","146,347","202,186","227,188","251,176","325,325","345,299","322,985","177,226","110,641","18,191","513"
"전라북도  (4500000000)","1,759,815","1,759,815","105,071","165,084","193,000","173,804","248,220","299,078","283,662","170,387","104,440","16,556","513"
"전라남도  (4600000000)","1,808,339","1,808,339","110,033","159,453","179,774","170,406","243,319","310,119","302,696","188,545","124,431","18,938","625"
"경상북도  (4700000000)","2,561,623","2,561,623","156,073","217,999","250,880","261,976","361,105","443,073","447,544","250,340","149,829","22,210","594"
"경상남도  (4800000000)","3,258,309","3,258,309","217,789","316,351","326,657","354,283","510,248","577,487","527,328","265,458","141,329","20,927","452"
"제주특별자치도  (5000000000)","676,489","676,489","52,644","70,455","75,075","78,557","109,800","118,051","92,536","47,587","26,684","4,785","315"
