"행정구역","2014년04월_계_총인구수","2014년04월_계_연령구간인구수","2014년04월_계_0~9세","2014년04월_계_10~19세","2014년04월_계_20~29세","2014년04월_계_30~39세","2014년04월_계_40~49세","2014년04월_계_50~59세","2014년04월_계_60~69세","2014년04월_계_70~79세","2014년04월_계_80~89세","2014년04월_계_90~99세","2014년04월_계_100세 이상"
"전국  (0000000000)","51,202,130","51,202,130","4,602,436","6,143,272","6,588,738","7,938,484","8,950,196","8,109,121","4,530,250","3,105,909","1,067,815","151,652","14,257"
"서울특별시  (1100000000)","10,137,313","10,137,313","801,918","1,077,796","1,459,605","1,747,852","1,741,069","1,600,937","950,607","556,273","168,916","27,915","4,425"
"부산광역시  (2600000000)","3,523,386","3,523,386","263,116","380,683","456,085","512,798","580,047","633,561","388,768","229,401","69,127","8,470","1,330"
"대구광역시  (2700000000)","2,499,880","2,499,880","209,762","317,241","322,469","362,923","449,865","411,113","227,497","147,090","46,057","5,385","478"
"인천광역시  (2800000000)","2,889,258","2,889,258","269,604","349,207","394,515","466,691","524,003","472,282","221,924","136,044","47,316","7,085","587"
"광주광역시  (2900000000)","1,471,850","1,471,850","145,918","212,829","195,718","232,224","259,042","208,408","115,555","73,355","24,846","3,667","288"
"대전광역시  (3000000000)","1,535,367","1,535,367","150,637","201,891","209,364","243,485","273,428","234,922","118,483","73,883","25,451","3,576","247"
"울산광역시  (3100000000)","1,159,234","1,159,234","114,042","152,579","153,523","184,004","217,502","191,939","85,912","43,676","14,092","1,845","120"
"세종특별자치시  (3600000000)","128,200","128,200","14,323","14,292","14,469","20,569","21,704","18,306","10,997","9,266","3,717","516","41"
"경기도  (4100000000)","12,276,751","12,276,751","1,246,495","1,563,763","1,584,329","2,019,435","2,300,985","1,848,698","893,433","588,547","199,146","29,326","2,594"
"강원도  (4200000000)","1,541,556","1,541,556","125,631","184,033","179,107","198,763","253,560","265,995","154,622","128,572","43,947","6,792","534"
"충청북도  (4300000000)","1,574,548","1,574,548","143,852","193,482","191,951","224,700","265,885","251,378","141,007","115,282","41,206","5,435","370"
"충청남도  (4400000000)","2,053,837","2,053,837","196,638","241,897","240,308","304,992","334,006","308,441","189,129","164,373","64,884","8,573","596"
"전라북도  (4500000000)","1,871,174","1,871,174","162,453","234,109","216,269","245,342","303,352","290,731","191,333","157,660","60,919","8,418","588"
"전라남도  (4600000000)","1,907,343","1,907,343","157,802","227,055","202,219","232,825","299,246","301,161","209,839","192,578","73,458","10,482","678"
"경상북도  (4700000000)","2,697,438","2,697,438","223,066","299,442","311,851","362,366","435,626","446,498","282,415","235,933","87,998","11,581","662"
"경상남도  (4800000000)","3,336,980","3,336,980","316,162","412,416","388,100","494,944","584,132","535,279","297,853","216,038","82,114","9,421","521"
"제주특별자치도  (5000000000)","598,015","598,015","61,017","80,557","68,856","84,571","106,744","89,472","50,876","37,938","14,621","3,165","198"
