"행정구역","2019년12월_계_총인구수","2019년12월_계_연령구간인구수","2019년12월_계_0~9세","2019년12월_계_10~19세","2019년12월_계_20~29세","2019년12월_계_30~39세","2019년12월_계_40~49세","2019년12월_계_50~59세","2019년12월_계_60~69세","2019년12월_계_70~79세","2019년12월_계_80~89세","2019년12월_계_90~99세","2019년12월_계_100세 이상"
"전국  (0000000000)","51,849,861","51,849,861","4,166,914","4,959,010","6,810,356","7,071,024","8,383,230","8,667,377","6,310,651","3,596,044","1,633,336","231,759","20,160"
"서울특별시  (1100000000)","9,729,107","9,729,107","662,693","819,571","1,456,623","1,509,959","1,560,983","1,539,968","1,189,802","684,087","259,487","39,690","6,244"
"부산광역시  (2600000000)","3,413,841","3,413,841","243,321","283,240","436,149","435,710","517,782","583,099","507,247","284,110","107,326","14,067","1,790"
"대구광역시  (2700000000)","2,438,031","2,438,031","188,312","237,198","323,641","305,986","393,387","428,249","308,797","170,112","73,058","8,613","678"
"인천광역시  (2800000000)","2,957,026","2,957,026","242,400","283,251","407,608","421,189","489,961","516,594","339,270","171,138","73,339","11,393","883"
"광주광역시  (2900000000)","1,456,468","1,456,468","126,519","164,431","207,448","192,943","244,566","233,280","153,369","90,695","37,474","5,344","399"
"대전광역시  (3000000000)","1,474,870","1,474,870","121,829","153,179","212,629","200,480","242,481","243,869","168,307","87,513","38,853","5,397","333"
"울산광역시  (3100000000)","1,148,019","1,148,019","104,371","116,733","149,137","159,743","190,771","211,359","134,651","56,946","21,222","2,928","158"
"세종특별자치시  (3600000000)","340,575","340,575","47,249","40,037","36,340","61,464","64,472","42,480","27,208","13,445","6,764","1,063","53"
"경기도  (4100000000)","13,239,666","13,239,666","1,184,990","1,355,462","1,770,695","1,925,827","2,290,198","2,198,828","1,399,372","737,272","325,340","47,768","3,914"
"강원도  (4200000000)","1,541,502","1,541,502","109,556","143,799","181,102","170,669","228,292","270,588","223,088","135,991","67,330","10,293","794"
"충청북도  (4300000000)","1,600,007","1,600,007","129,285","154,357","200,205","200,080","243,597","274,429","207,296","118,902","62,856","8,466","534"
"충청남도  (4400000000)","2,123,709","2,123,709","181,907","208,186","245,737","279,253","328,355","341,504","261,164","166,601","96,991","13,146","865"
"전라북도  (4500000000)","1,818,917","1,818,917","137,083","182,472","213,865","197,979","274,445","303,635","242,850","164,877","88,415","12,492","804"
"전라남도  (4600000000)","1,868,745","1,868,745","139,429","175,262","204,910","195,424","266,036","318,048","257,341","192,430","104,585","14,485","795"
"경상북도  (4700000000)","2,665,836","2,665,836","200,184","235,748","294,550","306,807","391,533","465,268","386,456","237,963","129,177","17,223","927"
"경상남도  (4800000000)","3,362,553","3,362,553","285,500","333,957","387,562","422,681","543,280","585,420","430,008","239,382","118,395","15,649","719"
"제주특별자치도  (5000000000)","670,989","670,989","62,286","72,127","82,155","84,830","113,091","110,759","74,425","44,580","22,724","3,742","270"
