"행정구역","2009년02월_계_총인구수","2009년02월_계_연령구간인구수","2009년02월_계_0~9세","2009년02월_계_10~19세","2009년02월_계_20~29세","2009년02월_계_30~39세","2009년02월_계_40~49세","2009년02월_계_50~59세","2009년02월_계_60~69세","2009년02월_계_70~79세","2009년02월_계_80~89세","2009년02월_계_90~99세","2009년02월_계_100세 이상"
"전국  (0000000000)","49,577,741","49,577,741","5,060,988","6,798,303","7,185,550","8,467,312","8,701,629","6,195,684","3,977,590","2,363,569","738,977","85,683","2,456"
"서울특별시  (1100000000)","10,221,170","10,221,170","925,624","1,268,809","1,691,889","1,895,440","1,728,987","1,352,646","833,810","388,064","120,540","14,924","437"
"부산광역시  (2600000000)","3,562,040","3,562,040","293,591","462,465","543,076","549,321","625,213","544,200","329,443","163,428","46,804","4,376","123"
"대구광역시  (2700000000)","2,494,446","2,494,446","242,214","366,484","361,354","407,357","457,924","323,592","194,183","107,623","30,544","3,080","91"
"인천광역시  (2800000000)","2,693,408","2,693,408","279,935","393,390","400,567","468,095","512,304","324,425","179,367","99,355","32,181","3,685","104"
"광주광역시  (2900000000)","1,424,862","1,424,862","164,684","228,551","214,919","243,931","242,855","157,040","99,481","53,881","17,296","2,158","66"
"대전광역시  (3000000000)","1,481,851","1,481,851","164,040","221,888","225,228","259,512","262,192","176,452","98,101","54,799","17,482","2,100","57"
"울산광역시  (3100000000)","1,112,502","1,112,502","122,914","176,192","159,668","192,321","218,551","137,018","63,605","31,079","10,049","1,088","17"
"경기도  (4100000000)","11,314,204","11,314,204","1,320,806","1,632,266","1,581,065","2,115,228","2,100,403","1,247,016","740,231","428,580","132,638","15,535","436"
"강원도  (4200000000)","1,507,016","1,507,016","146,806","197,508","195,203","224,503","258,203","200,693","150,520","97,092","32,185","4,176","127"
"충청북도  (4300000000)","1,520,084","1,520,084","157,111","211,084","209,698","238,190","258,904","188,153","131,137","93,236","28,928","3,555","88"
"충청남도  (4400000000)","2,019,521","2,019,521","211,602","261,335","271,266","316,631","327,291","246,252","186,716","147,185","45,688","5,409","146"
"전라북도  (4500000000)","1,854,545","1,854,545","185,322","256,624","243,695","272,657","298,889","234,485","182,410","131,931","43,297","5,060","175"
"전라남도  (4600000000)","1,916,665","1,916,665","183,855","250,777","231,905","260,642","303,912","243,518","218,785","164,639","52,315","6,104","213"
"경상북도  (4700000000)","2,669,866","2,669,866","252,422","336,546","353,715","399,530","444,076","355,439","263,527","193,623","63,338","7,477","173"
"경상남도  (4800000000)","3,225,016","3,225,016","344,094","452,434","429,510","532,494","566,775","400,806","259,297","178,541","55,900","5,031","134"
"제주특별자치도  (5000000000)","560,545","560,545","65,968","81,950","72,792","91,460","95,150","63,949","46,977","30,513","9,792","1,925","69"
