"행정구역","2018년04월_계_총인구수","2018년04월_계_연령구간인구수","2018년04월_계_0~9세","2018년04월_계_10~19세","2018년04월_계_20~29세","2018년04월_계_30~39세","2018년04월_계_40~49세","2018년04월_계_50~59세","2018년04월_계_60~69세","2018년04월_계_70~79세","2018년04월_계_80~89세","2018년04월_계_90~99세","2018년04월_계_100세 이상"
"전국  (0000000000)","51,790,131","51,790,131","4,385,756","5,238,058","6,815,039","7,326,878","8,639,619","8,538,965","5,748,649","3,419,164","1,460,391","199,373","18,239"
"서울특별시  (1100000000)","9,830,452","9,830,452","713,128","880,994","1,451,485","1,567,335","1,629,762","1,552,693","1,119,857","645,302","229,671","34,585","5,640"
"부산광역시  (2600000000)","3,460,707","3,460,707","256,113","305,020","449,753","463,006","539,116","597,372","477,501","264,337","94,805","12,052","1,632"
"대구광역시  (2700000000)","2,471,136","2,471,136","198,887","256,890","332,570","322,006","415,241","427,702","285,444","159,819","64,564","7,389","624"
"인천광역시  (2800000000)","2,952,476","2,952,476","257,186","298,253","410,316","437,330","503,357","510,113","300,676","159,508","65,296","9,635","806"
"광주광역시  (2900000000)","1,460,972","1,460,972","134,081","176,547","204,197","203,270","251,844","227,608","140,230","84,592","33,636","4,617","350"
"대전광역시  (3000000000)","1,496,123","1,496,123","132,463","165,037","213,550","212,644","255,548","240,420","154,359","82,411","34,616","4,763","312"
"울산광역시  (3100000000)","1,161,303","1,161,303","111,019","124,192","155,853","169,257","199,378","208,845","119,573","51,555","18,979","2,501","151"
"세종특별자치시  (3600000000)","295,041","295,041","42,423","34,229","31,650","55,230","54,967","35,415","22,253","12,018","5,987","819","50"
"경기도  (4100000000)","12,941,604","12,941,604","1,219,948","1,399,969","1,731,771","1,937,086","2,308,564","2,102,580","1,223,596","688,889","285,593","40,137","3,471"
"강원도  (4200000000)","1,545,452","1,545,452","115,095","154,535","183,689","178,149","238,870","271,201","198,569","135,992","59,638","9,012","702"
"충청북도  (4300000000)","1,595,164","1,595,164","135,780","163,404","199,563","206,811","253,400","268,524","186,228","116,879","56,827","7,258","490"
"충청남도  (4400000000)","2,120,666","2,120,666","192,303","216,845","247,802","291,108","335,611","333,073","240,885","162,345","88,589","11,329","776"
"전라북도  (4500000000)","1,847,089","1,847,089","148,207","196,305","218,438","212,644","289,097","301,785","226,578","161,580","80,896","10,836","723"
"전라남도  (4600000000)","1,890,412","1,890,412","148,918","188,429","206,045","209,264","279,193","317,969","239,528","191,564","96,235","12,496","771"
"경상북도  (4700000000)","2,682,897","2,682,897","212,222","250,467","302,289","324,870","409,130","463,677","355,673","231,572","116,839","15,337","821"
"경상남도  (4800000000)","3,377,126","3,377,126","303,734","352,409","395,699","449,242","561,660","573,825","390,820","227,965","107,771","13,331","670"
"제주특별자치도  (5000000000)","661,511","661,511","64,249","74,533","80,369","87,626","114,881","106,163","66,879","42,836","20,449","3,276","250"
