"행정구역","2008년09월_계_총인구수","2008년09월_계_연령구간인구수","2008년09월_계_0~9세","2008년09월_계_10~19세","2008년09월_계_20~29세","2008년09월_계_30~39세","2008년09월_계_40~49세","2008년09월_계_50~59세","2008년09월_계_60~69세","2008년09월_계_70~79세","2008년09월_계_80~89세","2008년09월_계_90~99세","2008년09월_계_100세 이상"
"전국  (0000000000)","49,469,003","49,469,003","5,133,513","6,831,827","7,250,013","8,515,206","8,645,916","6,051,243","3,941,152","2,302,274","712,598","82,970","2,291"
"서울특별시  (1100000000)","10,198,705","10,198,705","936,362","1,279,100","1,712,220","1,896,435","1,720,596","1,327,451","820,466","375,118","116,092","14,462","403"
"부산광역시  (2600000000)","3,570,292","3,570,292","298,854","469,065","551,752","553,467","628,355","536,164","324,990","158,448","44,838","4,244","115"
"대구광역시  (2700000000)","2,493,335","2,493,335","246,022","369,257","365,367","411,446","455,862","317,545","190,840","104,614","29,275","3,028","79"
"인천광역시  (2800000000)","2,689,531","2,689,531","284,356","396,638","402,479","472,274","510,802","314,148","177,441","96,843","30,919","3,542","89"
"광주광역시  (2900000000)","1,420,770","1,420,770","167,122","228,501","217,390","244,655","240,061","153,666","98,016","52,428","16,771","2,095","65"
"대전광역시  (3000000000)","1,479,824","1,479,824","166,562","223,135","227,805","261,517","259,925","172,084","96,465","53,261","17,039","1,978","53"
"울산광역시  (3100000000)","1,109,295","1,109,295","124,715","177,428","160,355","194,173","217,023","132,760","62,024","30,130","9,623","1,050","14"
"경기도  (4100000000)","11,244,759","11,244,759","1,335,650","1,629,972","1,584,397","2,126,341","2,074,091","1,203,275","732,003","416,398","127,394","14,835","403"
"강원도  (4200000000)","1,507,200","1,507,200","149,766","198,405","197,042","226,965","258,871","194,928","151,354","94,492","31,220","4,040","117"
"충청북도  (4300000000)","1,516,960","1,516,960","159,620","211,711","211,993","240,158","256,870","183,077","130,890","91,243","27,874","3,440","84"
"충청남도  (4400000000)","2,012,612","2,012,612","214,018","261,902","273,453","317,286","324,276","241,596","186,415","144,292","43,976","5,264","134"
"전라북도  (4500000000)","1,854,997","1,854,997","188,771","258,116","246,290","274,918","296,667","230,696","182,941","129,490","42,011","4,927","170"
"전라남도  (4600000000)","1,921,215","1,921,215","188,359","252,422","234,829","262,971","303,350","240,337","219,968","161,877","50,843","6,035","224"
"경상북도  (4700000000)","2,674,221","2,674,221","257,576","340,129","358,175","404,429","442,794","349,700","263,050","189,438","61,566","7,203","161"
"경상남도  (4800000000)","3,214,815","3,214,815","348,532","454,225","432,842","535,483","561,925","390,998","257,656","174,503","53,618","4,913","120"
"제주특별자치도  (5000000000)","560,472","560,472","67,228","81,821","73,624","92,688","94,448","62,818","46,633","29,699","9,539","1,914","60"
