"행정구역","2018년03월_계_총인구수","2018년03월_계_연령구간인구수","2018년03월_계_0~9세","2018년03월_계_10~19세","2018년03월_계_20~29세","2018년03월_계_30~39세","2018년03월_계_40~49세","2018년03월_계_50~59세","2018년03월_계_60~69세","2018년03월_계_70~79세","2018년03월_계_80~89세","2018년03월_계_90~99세","2018년03월_계_100세 이상"
"전국  (0000000000)","51,784,669","51,784,669","4,395,946","5,254,227","6,804,652","7,335,625","8,654,062","8,532,961","5,728,894","3,411,521","1,450,743","197,905","18,133"
"서울특별시  (1100000000)","9,838,892","9,838,892","715,982","885,227","1,449,491","1,570,167","1,634,166","1,554,026","1,117,905","643,620","228,319","34,387","5,602"
"부산광역시  (2600000000)","3,463,103","3,463,103","256,634","306,411","449,836","463,772","540,428","598,253","476,563","263,352","94,256","11,971","1,627"
"대구광역시  (2700000000)","2,472,175","2,472,175","199,495","257,833","332,316","322,350","416,350","427,488","284,967","159,327","64,120","7,306","623"
"인천광역시  (2800000000)","2,951,442","2,951,442","257,711","299,001","409,882","437,883","503,890","509,749","299,143","158,931","64,878","9,574","800"
"광주광역시  (2900000000)","1,462,033","1,462,033","134,444","177,348","203,848","203,962","252,116","227,575","139,934","84,474","33,404","4,576","352"
"대전광역시  (3000000000)","1,497,572","1,497,572","133,088","165,682","213,405","213,228","256,343","240,255","154,003","82,203","34,327","4,724","314"
"울산광역시  (3100000000)","1,162,074","1,162,074","111,327","124,763","155,940","169,539","199,919","208,727","119,071","51,317","18,835","2,487","149"
"세종특별자치시  (3600000000)","291,182","291,182","41,835","33,829","31,191","54,362","54,398","34,909","21,930","11,949","5,907","821","51"
"경기도  (4100000000)","12,925,761","12,925,761","1,221,511","1,402,575","1,726,832","1,936,424","2,310,173","2,098,231","1,216,586","686,695","283,390","39,899","3,445"
"강원도  (4200000000)","1,546,152","1,546,152","115,402","155,129","183,847","178,640","239,624","270,985","197,783","135,921","59,145","8,979","697"
"충청북도  (4300000000)","1,594,708","1,594,708","136,107","163,917","199,002","207,189","253,869","268,203","185,373","116,943","56,431","7,186","488"
"충청남도  (4400000000)","2,119,468","2,119,468","192,774","217,182","247,261","291,517","335,972","332,564","239,984","162,209","87,994","11,240","771"
"전라북도  (4500000000)","1,848,066","1,848,066","148,709","196,953","218,337","213,300","289,587","301,530","226,087","161,503","80,594","10,749","717"
"전라남도  (4600000000)","1,890,423","1,890,423","149,239","189,034","205,660","209,865","279,527","317,773","238,864","191,907","95,397","12,398","759"
"경상북도  (4700000000)","2,683,661","2,683,661","212,831","251,277","302,256","325,501","410,280","463,343","354,830","231,257","116,122","15,143","821"
"경상남도  (4800000000)","3,377,516","3,377,516","304,630","353,415","395,457","450,341","562,616","573,408","389,315","227,171","107,280","13,213","670"
"제주특별자치도  (5000000000)","660,441","660,441","64,227","74,651","80,091","87,585","114,804","105,942","66,556","42,742","20,344","3,252","247"
