"행정구역","2011년11월_계_총인구수","2011년11월_계_연령구간인구수","2011년11월_계_0~9세","2011년11월_계_10~19세","2011년11월_계_20~29세","2011년11월_계_30~39세","2011년11월_계_40~49세","2011년11월_계_50~59세","2011년11월_계_60~69세","2011년11월_계_70~79세","2011년11월_계_80~89세","2011년11월_계_90~99세","2011년11월_계_100세 이상"
"전국  (0000000000)","50,717,719","50,717,719","4,679,698","6,700,184","6,735,347","8,254,009","8,842,516","7,510,285","4,214,729","2,756,630","894,919","117,816","11,586"
"서울특별시  (1100000000)","10,257,741","10,257,741","837,849","1,208,263","1,534,520","1,834,537","1,744,443","1,558,964","894,425","473,135","145,523","22,505","3,577"
"부산광역시  (2600000000)","3,553,997","3,553,997","265,696","431,625","482,278","536,820","596,397","620,146","358,342","197,528","57,538","6,552","1,075"
"대구광역시  (2700000000)","2,508,935","2,508,935","216,738","352,679","333,214","387,098","455,101","385,195","209,434","127,759","37,084","4,260","373"
"인천광역시  (2800000000)","2,798,762","2,798,762","264,692","382,618","388,513","467,635","518,749","417,335","196,777","116,942","39,724","5,322","455"
"광주광역시  (2900000000)","1,464,516","1,464,516","151,246","230,836","201,866","241,964","251,563","189,804","109,103","63,881","21,136","2,855","262"
"대전광역시  (3000000000)","1,514,979","1,514,979","152,270","218,382","212,130","252,647","266,999","216,351","107,915","64,103","21,213","2,760","209"
"울산광역시  (3100000000)","1,134,904","1,134,904","112,578","170,201","151,503","185,615","218,715","172,094","73,704","37,122","11,853","1,433","86"
"경기도  (4100000000)","11,920,340","11,920,340","1,255,184","1,663,785","1,556,381","2,086,298","2,224,270","1,630,556","801,062","513,576","164,781","22,349","2,098"
"강원도  (4200000000)","1,535,771","1,535,771","132,220","197,871","183,818","213,272","254,930","249,938","145,277","114,493","38,171","5,352","429"
"충청북도  (4300000000)","1,562,374","1,562,374","147,142","210,480","198,050","233,234","262,661","233,538","132,133","106,136","34,296","4,420","284"
"충청남도  (4400000000)","2,098,469","2,098,469","203,891","267,662","256,969","319,982","335,802","296,525","193,207","162,044","54,905","6,941","541"
"전라북도  (4500000000)","1,874,181","1,874,181","168,357","254,745","226,748","261,695","298,008","271,332","189,712","145,576","51,089","6,439","480"
"전라남도  (4600000000)","1,913,002","1,913,002","163,360","247,743","211,137","245,810","299,380","278,856","213,231","181,407","63,601","7,895","582"
"경상북도  (4700000000)","2,696,596","2,696,596","228,160","329,492","328,225","383,372","437,928","420,449","268,522","216,973","73,588","9,375","512"
"경상남도  (4800000000)","3,307,201","3,307,201","320,111","449,495","402,423","517,504","576,319","491,215","273,481","200,640","68,545","7,021","447"
"제주특별자치도  (5000000000)","575,951","575,951","60,204","84,307","67,572","86,526","101,251","77,987","48,404","35,315","11,872","2,337","176"
