"행정구역","2016년08월_계_총인구수","2016년08월_계_연령구간인구수","2016년08월_계_0~9세","2016년08월_계_10~19세","2016년08월_계_20~29세","2016년08월_계_30~39세","2016년08월_계_40~49세","2016년08월_계_50~59세","2016년08월_계_60~69세","2016년08월_계_70~79세","2016년08월_계_80~89세","2016년08월_계_90~99세","2016년08월_계_100세 이상"
"전국  (0000000000)","51,649,552","51,649,552","4,584,589","5,560,838","6,732,540","7,586,710","8,811,217","8,398,687","5,284,007","3,209,957","1,291,027","172,792","17,188"
"서울특별시  (1100000000)","9,971,111","9,971,111","770,120","951,512","1,448,168","1,639,332","1,684,789","1,577,632","1,066,148","595,073","202,274","30,716","5,347"
"부산광역시  (2600000000)","3,507,205","3,507,205","268,088","332,082","455,920","488,866","560,869","614,765","448,014","243,602","83,353","10,087","1,559"
"대구광역시  (2700000000)","2,485,537","2,485,537","207,495","279,137","329,234","337,000","432,983","421,902","265,073","149,339","56,536","6,261","577"
"인천광역시  (2800000000)","2,938,902","2,938,902","270,885","315,503","404,941","452,893","513,264","500,567","268,805","145,402","57,586","8,313","743"
"광주광역시  (2900000000)","1,472,432","1,472,432","142,099","190,649","201,117","216,833","256,782","221,524","131,170","78,121","29,739","4,050","348"
"대전광역시  (3000000000)","1,516,165","1,516,165","142,954","178,840","212,578","224,937","265,049","238,924","140,699","77,158","30,683","4,027","316"
"울산광역시  (3100000000)","1,173,005","1,173,005","116,313","134,977","158,585","178,741","208,126","204,241","106,279","46,580","16,864","2,162","137"
"세종특별자치시  (3600000000)","234,510","234,510","33,704","26,152","25,455","44,581","42,387","28,265","17,478","10,704","5,078","660","46"
"경기도  (4100000000)","12,649,894","12,649,894","1,251,981","1,456,345","1,669,532","1,959,035","2,308,125","2,005,051","1,084,262","630,717","247,135","34,493","3,218"
"강원도  (4200000000)","1,548,844","1,548,844","122,044","165,752","183,371","186,848","247,465","271,241","178,915","132,523","52,075","7,973","637"
"충청북도  (4300000000)","1,588,025","1,588,025","141,821","174,266","197,180","213,914","260,208","263,197","166,131","114,111","50,478","6,254","465"
"충청남도  (4400000000)","2,088,268","2,088,268","197,396","224,435","243,968","295,321","334,841","321,661","222,101","158,855","79,204","9,766","720"
"전라북도  (4500000000)","1,865,232","1,865,232","158,271","210,649","218,266","227,835","297,198","298,191","216,153","155,122","73,802","9,055","690"
"전라남도  (4600000000)","1,902,883","1,902,883","157,339","202,838","204,759","221,028","287,568","313,132","228,618","189,530","86,045","11,272","754"
"경상북도  (4700000000)","2,701,293","2,701,293","223,331","268,492","308,212","342,506","423,824","459,902","329,679","226,178","105,196","13,177","796"
"경상남도  (4800000000)","3,369,074","3,369,074","316,452","372,957","395,593","470,269","575,690","558,879","353,685","216,710","96,794","11,427","618"
"제주특별자치도  (5000000000)","637,172","637,172","64,296","76,252","75,661","86,771","112,049","99,613","60,797","40,232","18,185","3,099","217"
