"행정구역","2010년09월_계_총인구수","2010년09월_계_연령구간인구수","2010년09월_계_0~9세","2010년09월_계_10~19세","2010년09월_계_20~29세","2010년09월_계_30~39세","2010년09월_계_40~49세","2010년09월_계_50~59세","2010년09월_계_60~69세","2010년09월_계_70~79세","2010년09월_계_80~89세","2010년09월_계_90~99세","2010년09월_계_100세 이상"
"전국  (0000000000)","50,001,273","50,001,273","4,783,819","6,806,140","6,886,887","8,324,803","8,734,431","6,844,594","4,126,544","2,565,868","827,564","97,830","2,793"
"서울특별시  (1100000000)","10,186,556","10,186,556","866,148","1,245,883","1,595,323","1,859,019","1,719,252","1,448,055","872,861","428,833","133,497","17,176","509"
"부산광역시  (2600000000)","3,532,335","3,532,335","272,449","447,771","505,250","538,170","603,494","580,644","346,092","181,000","52,366","4,965","134"
"대구광역시  (2700000000)","2,492,042","2,492,042","224,723","361,032","343,905","394,131","454,674","354,193","203,248","118,574","33,898","3,570","94"
"인천광역시  (2800000000)","2,728,709","2,728,709","265,288","390,311","389,867","461,712","512,362","369,991","190,413","107,978","36,370","4,302","115"
"광주광역시  (2900000000)","1,443,391","1,443,391","155,288","232,492","205,879","243,339","245,379","174,477","105,439","58,700","19,855","2,468","75"
"대전광역시  (3000000000)","1,490,950","1,490,950","154,661","221,583","215,821","253,655","263,473","195,817","104,532","59,407","19,592","2,339","70"
"울산광역시  (3100000000)","1,117,166","1,117,166","114,361","174,909","152,828","186,299","218,401","155,027","68,977","34,151","10,947","1,241","25"
"경기도  (4100000000)","11,639,429","11,639,429","1,272,580","1,671,198","1,561,608","2,100,763","2,167,553","1,442,268","781,366","472,359","150,966","18,257","511"
"강원도  (4200000000)","1,515,439","1,515,439","136,998","199,277","186,302","217,233","255,776","225,646","147,565","106,085","35,720","4,691","146"
"충청북도  (4300000000)","1,535,488","1,535,488","149,514","211,953","201,192","233,595","261,995","209,603","131,437","99,907","32,367","3,824","101"
"충청남도  (4400000000)","2,056,078","2,056,078","205,271","267,476","261,372","318,091","330,764","269,306","191,165","155,307","51,088","6,064","174"
"전라북도  (4500000000)","1,856,390","1,856,390","173,469","257,052","231,480","266,449","295,471","252,200","187,536","139,221","47,627","5,695","190"
"전라남도  (4600000000)","1,906,515","1,906,515","169,534","251,394","217,291","252,600","298,035","261,698","215,236","173,443","60,060","6,994","230"
"경상북도  (4700000000)","2,669,396","2,669,396","233,894","334,794","336,516","386,926","438,678","387,808","265,698","207,382","69,149","8,356","195"
"경상남도  (4800000000)","3,265,690","3,265,690","327,692","454,988","413,147","524,264","571,703","446,903","267,396","190,674","62,944","5,843","136"
"제주특별자치도  (5000000000)","565,699","565,699","61,949","84,027","69,106","88,557","97,421","70,958","47,583","32,847","11,118","2,045","88"
