"행정구역","2017년11월_계_총인구수","2017년11월_계_연령구간인구수","2017년11월_계_0~9세","2017년11월_계_10~19세","2017년11월_계_20~29세","2017년11월_계_30~39세","2017년11월_계_40~49세","2017년11월_계_50~59세","2017년11월_계_60~69세","2017년11월_계_70~79세","2017년11월_계_80~89세","2017년11월_계_90~99세","2017년11월_계_100세 이상"
"전국  (0000000000)","51,774,649","51,774,649","4,445,186","5,322,873","6,802,789","7,399,171","8,704,089","8,477,646","5,634,365","3,371,199","1,408,716","190,827","17,788"
"서울특별시  (1100000000)","9,870,167","9,870,167","731,478","898,857","1,448,077","1,587,401","1,650,013","1,554,193","1,106,783","633,460","221,236","33,180","5,489"
"부산광역시  (2600000000)","3,474,534","3,474,534","259,403","311,678","452,047","470,746","545,842","599,964","471,419","258,899","91,486","11,438","1,612"
"대구광역시  (2700000000)","2,476,557","2,476,557","201,565","262,804","332,326","325,706","421,489","424,344","281,984","156,740","61,950","7,035","614"
"인천광역시  (2800000000)","2,948,241","2,948,241","260,801","302,404","409,063","441,685","506,447","506,430","292,097","156,308","62,961","9,256","789"
"광주광역시  (2900000000)","1,466,328","1,466,328","136,285","180,790","204,093","206,899","253,645","225,652","138,328","83,458","32,341","4,490","347"
"대전광역시  (3000000000)","1,504,307","1,504,307","135,764","168,836","214,334","216,728","259,100","238,941","151,390","81,091","33,308","4,498","317"
"울산광역시  (3100000000)","1,165,317","1,165,317","112,700","127,337","156,994","171,904","201,807","207,328","116,249","50,138","18,301","2,405","154"
"세종특별자치시  (3600000000)","276,879","276,879","39,800","31,644","29,705","51,985","51,418","33,303","20,840","11,657","5,711","767","49"
"경기도  (4100000000)","12,858,161","12,858,161","1,227,621","1,415,137","1,716,240","1,939,137","2,311,765","2,071,709","1,185,263","675,281","274,295","38,365","3,348"
"강원도  (4200000000)","1,549,344","1,549,344","117,040","157,506","185,264","180,761","242,410","270,761","193,392","135,473","57,336","8,712","689"
"충청북도  (4300000000)","1,594,005","1,594,005","137,471","166,329","199,468","208,652","255,748","266,562","181,160","116,274","54,920","6,944","477"
"충청남도  (4400000000)","2,115,586","2,115,586","194,302","218,958","247,898","293,296","336,612","329,322","236,061","161,873","85,656","10,863","745"
"전라북도  (4500000000)","1,853,886","1,853,886","151,060","200,584","219,532","217,072","291,207","299,472","224,278","160,821","78,853","10,300","707"
"전라남도  (4600000000)","1,894,426","1,894,426","151,609","192,104","206,107","212,832","281,302","315,704","236,627","192,734","92,603","12,063","741"
"경상북도  (4700000000)","2,691,878","2,691,878","216,041","255,246","305,161","330,676","414,267","461,107","350,947","230,017","112,951","14,650","815"
"경상남도  (4800000000)","3,379,020","3,379,020","308,123","357,710","397,012","456,277","566,695","568,378","381,922","224,710","104,876","12,663","654"
"제주특별자치도  (5000000000)","656,013","656,013","64,123","74,949","79,468","87,414","114,322","104,476","65,625","42,265","19,932","3,198","241"
