"행정구역","2018년11월_계_총인구수","2018년11월_계_연령구간인구수","2018년11월_계_0~9세","2018년11월_계_10~19세","2018년11월_계_20~29세","2018년11월_계_30~39세","2018년11월_계_40~49세","2018년11월_계_50~59세","2018년11월_계_60~69세","2018년11월_계_70~79세","2018년11월_계_80~89세","2018년11월_계_90~99세","2018년11월_계_100세 이상"
"전국  (0000000000)","51,824,477","51,824,477","4,313,209","5,147,471","6,824,414","7,280,389","8,505,020","8,608,564","5,923,379","3,489,101","1,506,437","207,780","18,713"
"서울특별시  (1100000000)","9,774,088","9,774,088","692,788","858,939","1,450,459","1,551,350","1,595,014","1,547,755","1,139,833","658,942","237,132","36,056","5,820"
"부산광역시  (2600000000)","3,444,540","3,444,540","252,064","297,323","445,940","455,981","528,469","593,999","486,737","271,946","97,848","12,579","1,654"
"대구광역시  (2700000000)","2,464,002","2,464,002","195,444","250,684","331,730","318,715","405,541","431,303","291,793","163,801","66,623","7,738","630"
"인천광역시  (2800000000)","2,953,844","2,953,844","251,882","293,168","409,679","434,135","495,645","513,817","312,993","163,945","67,676","10,081","823"
"광주광역시  (2900000000)","1,461,009","1,461,009","131,611","172,626","206,325","201,164","247,100","230,888","144,713","86,774","34,718","4,718","372"
"대전광역시  (3000000000)","1,491,716","1,491,716","129,073","161,166","214,267","209,936","250,412","242,800","158,464","84,502","35,809","4,968","319"
"울산광역시  (3100000000)","1,156,260","1,156,260","108,712","121,923","153,757","166,546","195,060","210,293","124,136","53,565","19,525","2,583","160"
"세종특별자치시  (3600000000)","312,103","312,103","44,237","36,431","33,687","58,115","57,909","38,149","24,017","12,474","6,163","868","53"
"경기도  (4100000000)","13,061,074","13,061,074","1,211,085","1,388,166","1,746,713","1,948,430","2,292,844","2,141,270","1,281,227","708,059","297,431","42,262","3,587"
"강원도  (4200000000)","1,543,556","1,543,556","113,088","150,732","182,901","175,838","234,731","271,649","206,066","136,551","61,902","9,386","712"
"충청북도  (4300000000)","1,598,184","1,598,184","133,782","160,270","200,551","205,865","249,017","271,036","193,028","118,219","58,385","7,517","514"
"충청남도  (4400000000)","2,125,409","2,125,409","189,498","214,142","247,951","289,473","331,974","337,595","247,109","164,092","90,936","11,861","778"
"전라북도  (4500000000)","1,838,049","1,838,049","144,447","191,482","217,846","208,754","281,966","304,084","231,545","162,843","83,035","11,306","741"
"전라남도  (4600000000)","1,881,518","1,881,518","145,627","183,975","205,928","205,043","271,987","319,327","245,327","192,406","98,285","12,844","769"
"경상북도  (4700000000)","2,677,014","2,677,014","208,293","245,791","300,208","320,411","400,452","467,376","364,031","234,467","119,304","15,822","859"
"경상남도  (4800000000)","3,375,047","3,375,047","297,714","346,825","394,737","442,847","553,300","578,970","402,998","232,731","110,381","13,869","675"
"제주특별자치도  (5000000000)","667,064","667,064","63,864","73,828","81,735","87,786","113,599","108,253","69,362","43,784","21,284","3,322","247"
