"행정구역","2022년01월_계_총인구수","2022년01월_계_연령구간인구수","2022년01월_계_0~9세","2022년01월_계_10~19세","2022년01월_계_20~29세","2022년01월_계_30~39세","2022년01월_계_40~49세","2022년01월_계_50~59세","2022년01월_계_60~69세","2022년01월_계_70~79세","2022년01월_계_80~89세","2022년01월_계_90~99세","2022년01월_계_100세 이상"
"전국  (0000000000)","51,632,473","51,632,473","3,736,642","4,706,002","6,632,711","6,704,271","8,166,823","8,635,055","7,196,303","3,724,894","1,853,024","268,595","8,153"
"서울특별시  (1100000000)","9,505,926","9,505,926","579,752","755,023","1,417,381","1,437,257","1,479,859","1,506,967","1,289,751","697,619","298,447","42,187","1,683"
"부산광역시  (2600000000)","3,348,874","3,348,874","218,508","266,044","413,562","404,079","502,239","553,860","550,275","299,101","125,129","15,679","398"
"대구광역시  (2700000000)","2,383,858","2,383,858","166,878","218,203","307,600","283,895","372,019","419,200","343,237","178,675","83,566","10,329","256"
"인천광역시  (2800000000)","2,949,150","2,949,150","216,101","270,999","389,666","401,271","481,412","510,714","401,653","180,022","83,710","13,175","427"
"광주광역시  (2900000000)","1,441,636","1,441,636","113,235","152,100","206,209","180,707","236,343","236,162","172,597","94,918","43,059","6,127","179"
"대전광역시  (3000000000)","1,451,272","1,451,272","107,005","141,840","208,606","189,122","230,741","239,766","191,487","92,668","43,623","6,238","176"
"울산광역시  (3100000000)","1,121,100","1,121,100","91,302","109,883","137,071","144,220","183,909","206,897","156,695","63,321","24,402","3,332","68"
"세종특별자치시  (3600000000)","374,377","374,377","47,184","46,215","38,756","61,774","73,505","49,355","33,752","14,865","7,620","1,321","30"
"경기도  (4100000000)","13,571,450","13,571,450","1,094,137","1,320,900","1,792,402","1,896,339","2,297,643","2,277,250","1,680,561","776,181","378,177","56,052","1,808"
"강원도  (4200000000)","1,538,660","1,538,660","100,505","133,499","174,890","162,481","219,292","264,230","261,472","132,946","77,213","11,771","361"
"충청북도  (4300000000)","1,597,097","1,597,097","116,095","146,271","193,766","189,901","237,485","270,465","242,741","120,708","69,628","9,758","279"
"충청남도  (4400000000)","2,118,638","2,118,638","161,404","200,681","237,598","258,236","325,701","340,368","301,137","172,190","105,036","15,859","428"
"전라북도  (4500000000)","1,785,392","1,785,392","118,607","169,870","205,645","181,328","259,345","298,811","269,124","169,603","97,569","15,071","419"
"전라남도  (4600000000)","1,832,604","1,832,604","122,760","163,086","193,307","177,670","252,307","312,537","285,642","191,066","116,244","17,515","470"
"경상북도  (4700000000)","2,624,310","2,624,310","177,029","221,748","274,525","277,797","376,817","453,992","434,455","244,696","141,907","20,778","566"
"경상남도  (4800000000)","3,311,438","3,311,438","248,434","319,361","361,045","377,533","526,978","579,300","496,540","250,416","132,324","19,100","407"
"제주특별자치도  (5000000000)","676,691","676,691","57,706","70,279","80,682","80,661","111,228","115,181","85,184","45,899","25,370","4,303","198"
