"행정구역","2010년11월_계_총인구수","2010년11월_계_연령구간인구수","2010년11월_계_0~9세","2010년11월_계_10~19세","2010년11월_계_20~29세","2010년11월_계_30~39세","2010년11월_계_40~49세","2010년11월_계_50~59세","2010년11월_계_60~69세","2010년11월_계_70~79세","2010년11월_계_80~89세","2010년11월_계_90~99세","2010년11월_계_100세 이상"
"전국  (0000000000)","50,495,462","50,495,462","4,765,567","6,825,659","6,878,161","8,381,153","8,853,664","7,028,413","4,188,045","2,606,367","847,942","109,359","11,132"
"서울특별시  (1100000000)","10,319,500","10,319,500","861,247","1,249,172","1,589,558","1,873,372","1,752,165","1,492,820","894,482","441,853","139,971","21,355","3,505"
"부산광역시  (2600000000)","3,570,381","3,570,381","271,174","447,823","502,463","543,585","611,525","595,744","351,896","184,880","54,185","6,063","1,043"
"대구광역시  (2700000000)","2,512,684","2,512,684","223,284","361,478","342,545","396,626","460,358","363,253","205,822","120,337","34,674","3,954","353"
"인천광역시  (2800000000)","2,756,076","2,756,076","264,196","391,049","390,321","465,202","519,181","380,686","193,290","109,560","37,341","4,834","416"
"광주광역시  (2900000000)","1,454,784","1,454,784","154,675","233,242","205,730","244,585","248,303","178,655","107,051","59,451","20,191","2,640","261"
"대전광역시  (3000000000)","1,503,563","1,503,563","154,198","222,127","215,547","255,313","266,806","200,718","105,964","60,233","19,952","2,527","178"
"울산광역시  (3100000000)","1,125,152","1,125,152","113,892","175,069","152,510","187,223","220,118","158,863","70,128","34,740","11,195","1,321","93"
"경기도  (4100000000)","11,766,189","11,766,189","1,270,501","1,679,321","1,565,599","2,115,014","2,198,427","1,486,372","793,080","480,362","155,077","20,445","1,991"
"강원도  (4200000000)","1,529,839","1,529,839","136,411","199,577","186,644","218,713","258,472","231,376","148,788","107,911","36,467","5,070","410"
"충청북도  (4300000000)","1,547,720","1,547,720","149,170","212,715","201,104","235,070","264,809","214,245","132,505","100,979","32,764","4,090","269"
"충청남도  (4400000000)","2,073,679","2,073,679","204,961","268,305","261,761","320,547","334,585","275,073","193,134","156,451","51,856","6,493","513"
"전라북도  (4500000000)","1,869,026","1,869,026","172,694","257,606","231,066","267,745","298,132","257,310","189,379","140,205","48,362","6,069","458"
"전라남도  (4600000000)","1,918,263","1,918,263","168,392","252,130","216,749","253,500","300,819","266,782","216,816","174,410","60,730","7,351","584"
"경상북도  (4700000000)","2,688,459","2,688,459","233,006","335,463","336,091","389,000","442,990","396,066","267,589","209,082","69,933","8,767","472"
"경상남도  (4800000000)","3,289,029","3,289,029","326,214","456,065","411,613","526,824","577,919","457,398","269,875","192,535","63,915","6,261","410"
"제주특별자치도  (5000000000)","571,118","571,118","61,552","84,517","68,860","88,834","99,055","73,052","48,246","33,378","11,329","2,119","176"
