"행정구역","2021년08월_계_총인구수","2021년08월_계_연령구간인구수","2021년08월_계_0~9세","2021년08월_계_10~19세","2021년08월_계_20~29세","2021년08월_계_30~39세","2021년08월_계_40~49세","2021년08월_계_50~59세","2021년08월_계_60~69세","2021년08월_계_70~79세","2021년08월_계_80~89세","2021년08월_계_90~99세","2021년08월_계_100세 이상"
"전국  (0000000000)","51,669,716","51,669,716","3,827,185","4,733,729","6,721,376","6,753,189","8,192,793","8,598,568","7,072,000","3,703,046","1,799,074","257,821","10,935"
"서울특별시  (1100000000)","9,550,227","9,550,227","596,448","763,356","1,439,293","1,446,242","1,493,290","1,505,336","1,277,991","696,313","288,376","41,066","2,516"
"부산광역시  (2600000000)","3,359,527","3,359,527","223,790","267,212","421,122","408,986","504,235","556,023","546,088","295,340","120,959","15,020","752"
"대구광역시  (2700000000)","2,393,626","2,393,626","171,117","220,036","314,020","286,886","375,350","419,481","339,189","176,352","81,008","9,813","374"
"인천광역시  (2800000000)","2,938,429","2,938,429","220,236","271,571","393,256","400,549","480,219","508,757","391,192","178,487","80,986","12,627","549"
"광주광역시  (2900000000)","1,441,970","1,441,970","115,509","153,624","207,467","182,218","236,974","234,286","169,907","94,129","41,623","5,995","238"
"대전광역시  (3000000000)","1,454,679","1,454,679","109,542","143,384","210,407","190,417","232,653","239,536","188,339","91,868","42,321","6,000","212"
"울산광역시  (3100000000)","1,124,459","1,124,459","93,908","110,407","139,883","146,836","184,554","206,621","153,461","61,923","23,627","3,154","85"
"세종특별자치시  (3600000000)","365,309","365,309","46,951","44,563","38,185","61,164","71,243","47,168","32,723","14,593","7,423","1,259","37"
"경기도  (4100000000)","13,530,519","13,530,519","1,115,729","1,327,046","1,809,234","1,898,766","2,295,088","2,254,613","1,637,036","771,128","365,787","53,757","2,335"
"강원도  (4200000000)","1,536,270","1,536,270","102,340","134,698","176,503","162,968","220,045","263,947","255,310","133,479","75,073","11,437","470"
"충청북도  (4300000000)","1,597,179","1,597,179","119,045","147,072","196,158","191,827","237,631","269,862","237,954","119,892","68,024","9,396","318"
"충청남도  (4400000000)","2,118,183","2,118,183","166,048","201,255","239,796","261,608","325,856","338,059","295,834","171,587","102,674","14,953","513"
"전라북도  (4500000000)","1,792,476","1,792,476","122,405","171,386","209,061","184,140","261,996","298,043","265,736","170,813","93,996","14,369","531"
"전라남도  (4600000000)","1,838,353","1,838,353","126,566","164,135","196,634","180,509","254,139","311,930","281,851","191,117","113,947","16,911","614"
"경상북도  (4700000000)","2,630,254","2,630,254","182,105","223,048","279,578","282,760","378,164","453,874","428,519","242,423","139,389","19,735","659"
"경상남도  (4800000000)","3,322,373","3,322,373","256,482","320,646","369,145","386,080","529,780","576,850","487,653","247,965","129,064","18,187","521"
"제주특별자치도  (5000000000)","675,883","675,883","58,964","70,290","81,634","81,233","111,576","114,182","83,217","45,637","24,797","4,142","211"
