"행정구역","2016년11월_계_총인구수","2016년11월_계_연령구간인구수","2016년11월_계_0~9세","2016년11월_계_10~19세","2016년11월_계_20~29세","2016년11월_계_30~39세","2016년11월_계_40~49세","2016년11월_계_50~59세","2016년11월_계_60~69세","2016년11월_계_70~79세","2016년11월_계_80~89세","2016년11월_계_90~99세","2016년11월_계_100세 이상"
"전국  (0000000000)","51,687,682","51,687,682","4,570,380","5,501,612","6,751,641","7,557,813","8,798,021","8,412,800","5,354,130","3,234,272","1,314,485","175,051","17,477"
"서울특별시  (1100000000)","9,943,333","9,943,333","763,485","938,421","1,444,919","1,628,185","1,679,478","1,570,995","1,074,277","601,083","206,035","31,011","5,444"
"부산광역시  (2600000000)","3,501,671","3,501,671","267,512","327,027","455,519","485,749","558,941","611,284","452,829","246,056","84,991","10,189","1,574"
"대구광역시  (2700000000)","2,485,535","2,485,535","207,080","275,447","330,147","334,992","432,014","422,091","269,153","150,183","57,503","6,334","591"
"인천광역시  (2800000000)","2,942,613","2,942,613","269,931","312,485","406,214","451,418","512,487","501,793","273,041","147,148","58,869","8,477","750"
"광주광역시  (2900000000)","1,471,384","1,471,384","141,260","188,503","201,929","214,599","256,339","222,669","132,391","79,141","30,098","4,100","355"
"대전광역시  (3000000000)","1,515,394","1,515,394","142,311","176,781","212,894","223,803","264,546","238,751","142,964","77,695","31,258","4,079","312"
"울산광역시  (3100000000)","1,172,891","1,172,891","116,094","133,303","158,751","177,963","207,046","204,923","108,180","47,226","17,089","2,179","137"
"세종특별자치시  (3600000000)","240,560","240,560","34,597","26,842","26,055","45,735","43,628","29,093","17,942","10,772","5,173","674","49"
"경기도  (4100000000)","12,699,920","12,699,920","1,251,171","1,444,235","1,681,325","1,958,894","2,311,023","2,019,253","1,104,166","638,385","252,961","35,219","3,288"
"강원도  (4200000000)","1,550,209","1,550,209","121,569","163,972","184,590","185,982","246,466","271,430","181,437","132,794","53,278","8,042","649"
"충청북도  (4300000000)","1,590,537","1,590,537","141,569","172,410","197,845","213,224","259,838","264,048","169,160","114,251","51,407","6,311","474"
"충청남도  (4400000000)","2,093,838","2,093,838","197,160","223,001","245,160","295,158","335,379","323,122","224,800","158,960","80,410","9,955","733"
"전라북도  (4500000000)","1,864,475","1,864,475","157,484","208,299","219,019","226,644","295,695","298,596","218,055","155,918","74,859","9,203","703"
"전라남도  (4600000000)","1,902,260","1,902,260","156,850","200,445","205,472","219,893","286,282","313,939","230,421","190,077","86,819","11,306","756"
"경상북도  (4700000000)","2,700,843","2,700,843","222,604","265,675","308,341","340,818","422,005","459,971","334,698","225,882","106,737","13,308","804"
"경상남도  (4800000000)","3,371,731","3,371,731","315,460","368,951","397,073","467,947","574,555","560,177","358,909","218,025","98,418","11,585","631"
"제주특별자치도  (5000000000)","640,488","640,488","64,243","75,815","76,388","86,809","112,299","100,665","61,707","40,676","18,580","3,079","227"
