"행정구역","2013년12월_계_총인구수","2013년12월_계_연령구간인구수","2013년12월_계_0~9세","2013년12월_계_10~19세","2013년12월_계_20~29세","2013년12월_계_30~39세","2013년12월_계_40~49세","2013년12월_계_50~59세","2013년12월_계_60~69세","2013년12월_계_70~79세","2013년12월_계_80~89세","2013년12월_계_90~99세","2013년12월_계_100세 이상"
"전국  (0000000000)","51,141,463","51,141,463","4,623,934","6,229,715","6,589,529","8,015,414","8,919,961","8,025,256","4,472,556","3,072,800","1,031,618","146,887","13,793"
"서울특별시  (1100000000)","10,143,645","10,143,645","808,737","1,095,810","1,459,843","1,763,451","1,738,953","1,593,805","940,935","546,449","164,308","27,088","4,266"
"부산광역시  (2600000000)","3,527,635","3,527,635","263,925","387,505","458,642","518,059","580,809","632,551","383,668","226,273","66,741","8,163","1,299"
"대구광역시  (2700000000)","2,501,588","2,501,588","211,105","322,745","322,547","367,519","450,744","407,002","225,269","144,760","44,205","5,232","460"
"인천광역시  (2800000000)","2,879,782","2,879,782","270,008","354,189","393,569","469,574","522,922","464,821","217,506","133,830","45,954","6,834","575"
"광주광역시  (2900000000)","1,472,910","1,472,910","146,975","216,073","196,390","234,845","257,153","206,201","114,825","72,727","23,885","3,566","270"
"대전광역시  (3000000000)","1,532,811","1,532,811","151,389","204,521","208,751","245,953","271,990","232,754","116,550","72,656","24,554","3,458","235"
"울산광역시  (3100000000)","1,156,480","1,156,480","113,736","155,655","153,164","184,933","217,577","189,014","83,925","42,997","13,602","1,768","109"
"세종특별자치시  (3600000000)","122,153","122,153","13,360","13,540","13,884","19,594","20,109","17,753","10,731","9,106","3,542","494","40"
"경기도  (4100000000)","12,234,630","12,234,630","1,251,576","1,580,802","1,576,139","2,039,007","2,288,932","1,816,573","877,916","580,385","192,383","28,395","2,522"
"강원도  (4200000000)","1,542,263","1,542,263","126,868","185,598","180,364","202,244","253,169","264,144","153,150","127,008","42,723","6,472","523"
"충청북도  (4300000000)","1,572,732","1,572,732","144,585","196,043","192,553","227,068","264,661","249,069","139,039","114,404","39,676","5,279","355"
"충청남도  (4400000000)","2,047,631","2,047,631","196,979","244,451","240,680","306,780","331,271","305,002","187,634","163,655","62,325","8,275","579"
"전라북도  (4500000000)","1,872,965","1,872,965","163,559","238,091","217,630","248,955","301,219","288,725","189,514","157,541","58,921","8,228","582"
"전라남도  (4600000000)","1,907,172","1,907,172","159,089","230,502","203,211","235,164","297,576","297,793","208,811","193,402","70,734","10,219","671"
"경상북도  (4700000000)","2,699,440","2,699,440","224,312","304,539","314,302","367,719","435,125","442,666","279,847","234,474","84,593","11,235","628"
"경상남도  (4800000000)","3,333,820","3,333,820","317,065","418,456","389,509","499,756","582,410","529,511","292,689","215,473","79,480","8,982","489"
"제주특별자치도  (5000000000)","593,806","593,806","60,666","81,195","68,351","84,793","105,341","87,872","50,547","37,660","13,992","3,199","190"
