"행정구역","2014년11월_계_총인구수","2014년11월_계_연령구간인구수","2014년11월_계_0~9세","2014년11월_계_10~19세","2014년11월_계_20~29세","2014년11월_계_30~39세","2014년11월_계_40~49세","2014년11월_계_50~59세","2014년11월_계_60~69세","2014년11월_계_70~79세","2014년11월_계_80~89세","2014년11월_계_90~99세","2014년11월_계_100세 이상"
"전국  (0000000000)","51,314,683","51,314,683","4,589,238","6,011,335","6,634,251","7,835,978","8,935,468","8,195,075","4,681,595","3,148,486","1,113,548","154,767","14,942"
"서울특별시  (1100000000)","10,112,156","10,112,156","794,686","1,049,411","1,459,118","1,720,687","1,732,022","1,602,712","976,382","568,489","175,687","28,318","4,644"
"부산광역시  (2600000000)","3,522,643","3,522,643","263,634","368,612","457,285","506,956","577,587","630,956","400,038","235,370","72,140","8,664","1,401"
"대구광역시  (2700000000)","2,493,857","2,493,857","208,480","308,613","324,142","354,488","446,425","414,705","234,241","148,584","48,117","5,559","503"
"인천광역시  (2800000000)","2,900,996","2,900,996","269,735","341,098","397,973","462,578","521,629","480,471","231,533","138,570","49,415","7,378","616"
"광주광역시  (2900000000)","1,478,204","1,478,204","145,249","208,571","198,247","229,148","260,370","212,532","119,133","74,960","26,025","3,671","298"
"대전광역시  (3000000000)","1,534,041","1,534,041","148,882","197,262","210,444","239,344","272,063","237,025","123,626","74,996","26,463","3,678","258"
"울산광역시  (3100000000)","1,166,229","1,166,229","114,662","148,825","155,988","182,937","216,741","195,612","89,959","44,766","14,732","1,879","128"
"세종특별자치시  (3600000000)","148,151","148,151","18,138","16,305","16,401","25,655","25,221","20,185","12,051","9,600","4,018","542","35"
"경기도  (4100000000)","12,348,078","12,348,078","1,243,296","1,539,545","1,604,290","1,996,550","2,303,770","1,888,357","931,196","599,288","208,808","30,237","2,741"
"강원도  (4200000000)","1,542,604","1,542,604","124,595","179,678","179,926","195,140","252,869","267,469","159,830","130,089","45,465","6,992","551"
"충청북도  (4300000000)","1,579,037","1,579,037","143,105","189,420","193,924","221,940","266,124","254,011","145,933","115,729","42,949","5,499","403"
"충청남도  (4400000000)","2,060,971","2,060,971","196,037","238,081","241,677","301,987","333,847","312,318","195,575","164,215","67,833","8,782","619"
"전라북도  (4500000000)","1,871,725","1,871,725","161,448","229,038","217,487","240,429","303,353","292,241","197,075","157,695","63,870","8,487","602"
"전라남도  (4600000000)","1,902,916","1,902,916","156,942","221,355","203,111","227,935","296,414","303,262","213,660","193,040","75,933","10,557","707"
"경상북도  (4700000000)","2,699,686","2,699,686","222,562","292,110","312,552","357,144","434,251","450,582","290,935","235,878","91,231","11,762","679"
"경상남도  (4800000000)","3,347,317","3,347,317","316,183","404,041","391,095","488,372","584,984","540,775","307,586","218,726","85,360","9,642","553"
"제주특별자치도  (5000000000)","606,072","606,072","61,604","79,370","70,591","84,688","107,798","91,862","52,842","38,491","15,502","3,120","204"
