"행정구역","2014년02월_계_총인구수","2014년02월_계_연령구간인구수","2014년02월_계_0~9세","2014년02월_계_10~19세","2014년02월_계_20~29세","2014년02월_계_30~39세","2014년02월_계_40~49세","2014년02월_계_50~59세","2014년02월_계_60~69세","2014년02월_계_70~79세","2014년02월_계_80~89세","2014년02월_계_90~99세","2014년02월_계_100세 이상"
"전국  (0000000000)","51,171,176","51,171,176","4,612,738","6,179,745","6,565,665","7,997,623","8,947,469","8,064,020","4,504,544","3,084,753","1,051,028","149,510","14,081"
"서울특별시  (1100000000)","10,144,173","10,144,173","804,779","1,086,964","1,453,811","1,761,434","1,742,911","1,598,033","946,599","550,911","166,844","27,542","4,345"
"부산광역시  (2600000000)","3,527,439","3,527,439","263,796","384,181","456,424","516,466","581,926","632,779","386,469","227,626","68,118","8,336","1,318"
"대구광역시  (2700000000)","2,500,778","2,500,778","210,562","319,741","321,898","365,765","451,007","408,419","226,654","145,665","45,269","5,327","471"
"인천광역시  (2800000000)","2,884,824","2,884,824","269,719","351,550","392,883","469,172","524,209","468,461","219,803","134,836","46,647","6,954","590"
"광주광역시  (2900000000)","1,473,327","1,473,327","146,391","214,088","195,827","234,748","258,308","207,438","115,320","72,928","24,353","3,646","280"
"대전광역시  (3000000000)","1,534,335","1,534,335","151,008","202,957","208,477","245,417","273,273","233,741","117,520","73,144","25,047","3,507","244"
"울산광역시  (3100000000)","1,157,627","1,157,627","113,904","153,973","152,700","184,940","217,914","190,196","84,993","43,195","13,885","1,809","118"
"세종특별자치시  (3600000000)","125,944","125,944","14,021","14,071","14,168","20,268","21,180","18,031","10,863","9,171","3,628","503","40"
"경기도  (4100000000)","12,256,617","12,256,617","1,249,472","1,570,465","1,574,126","2,034,691","2,297,596","1,832,543","886,554","583,748","195,947","28,898","2,577"
"강원도  (4200000000)","1,539,343","1,539,343","126,162","183,511","178,633","200,773","253,452","264,661","154,013","127,580","43,355","6,678","525"
"충청북도  (4300000000)","1,572,923","1,572,923","144,132","194,338","191,550","226,196","265,769","250,059","140,037","114,665","40,467","5,349","361"
"충청남도  (4400000000)","2,049,750","2,049,750","196,790","242,655","239,302","306,617","332,939","306,720","188,383","163,641","63,678","8,439","586"
"전라북도  (4500000000)","1,871,267","1,871,267","162,887","235,739","216,008","248,125","302,414","289,368","190,435","157,354","59,993","8,358","586"
"전라남도  (4600000000)","1,905,198","1,905,198","158,186","228,052","201,768","234,763","298,247","299,072","209,532","192,611","71,966","10,322","679"
"경상북도  (4700000000)","2,697,306","2,697,306","223,546","301,632","311,930","365,680","435,887","443,927","281,513","234,590","86,511","11,437","653"
"경상남도  (4800000000)","3,334,412","3,334,412","316,469","415,051","387,639","497,739","584,418","531,932","295,098","215,333","80,993","9,230","510"
"제주특별자치도  (5000000000)","595,913","595,913","60,914","80,777","68,521","84,829","106,019","88,640","50,758","37,755","14,327","3,175","198"
