"행정구역","2008년02월_계_총인구수","2008년02월_계_연령구간인구수","2008년02월_계_0~9세","2008년02월_계_10~19세","2008년02월_계_20~29세","2008년02월_계_30~39세","2008년02월_계_40~49세","2008년02월_계_50~59세","2008년02월_계_60~69세","2008년02월_계_70~79세","2008년02월_계_80~89세","2008년02월_계_90~99세","2008년02월_계_100세 이상"
"전국  (0000000000)","49,329,973","49,329,973","5,235,847","6,788,754","7,308,944","8,656,588","8,571,637","5,889,117","3,876,788","2,231,692","687,958","80,416","2,232"
"서울특별시  (1100000000)","10,212,056","10,212,056","957,641","1,281,081","1,725,914","1,927,957","1,720,572","1,304,458","805,438","362,177","112,395","14,019","404"
"부산광역시  (2600000000)","3,585,593","3,585,593","307,958","471,219","562,188","565,722","632,703","527,670","317,006","153,918","43,019","4,084","106"
"대구광역시  (2700000000)","2,495,863","2,495,863","252,794","368,377","370,149","421,739","451,464","312,136","186,742","101,373","28,056","2,954","79"
"인천광역시  (2800000000)","2,672,234","2,672,234","289,063","395,165","402,123","478,205","506,955","301,522","172,598","93,347","29,778","3,392","86"
"광주광역시  (2900000000)","1,416,514","1,416,514","171,205","225,823","219,135","248,871","237,202","149,121","96,172","50,586","16,271","2,066","62"
"대전광역시  (3000000000)","1,477,556","1,477,556","169,955","221,490","230,472","266,503","257,143","167,469","94,525","51,487","16,487","1,974","51"
"울산광역시  (3100000000)","1,102,917","1,102,917","127,155","176,096","160,139","197,734","214,775","127,771","59,834","29,104","9,266","1,028","15"
"경기도  (4100000000)","11,138,154","11,138,154","1,354,516","1,607,242","1,585,534","2,153,231","2,037,598","1,149,555","713,669","400,101","122,118","14,225","365"
"강원도  (4200000000)","1,503,656","1,503,656","153,393","196,924","199,888","231,284","257,099","188,439","151,006","91,104","30,483","3,920","116"
"충청북도  (4300000000)","1,508,528","1,508,528","162,198","209,798","212,819","243,700","253,888","176,748","130,190","88,689","27,115","3,304","79"
"충청남도  (4400000000)","2,000,342","2,000,342","216,542","258,571","276,412","320,471","319,282","235,478","185,396","140,649","42,262","5,136","143"
"전라북도  (4500000000)","1,857,498","1,857,498","193,787","256,245","250,880","280,620","294,029","227,165","182,438","126,807","40,554","4,790","183"
"전라남도  (4600000000)","1,925,942","1,925,942","193,170","250,851","239,866","269,048","301,696","236,865","221,503","157,591","49,248","5,894","210"
"경상북도  (4700000000)","2,676,624","2,676,624","263,302","339,603","364,180","413,650","438,645","343,745","261,374","185,198","59,858","6,917","152"
"경상남도  (4800000000)","3,197,477","3,197,477","354,537","449,506","434,621","543,023","555,429","379,875","252,833","170,973","51,702","4,856","122"
"제주특별자치도  (5000000000)","559,019","559,019","68,631","80,763","74,624","94,830","93,157","61,100","46,064","28,588","9,346","1,857","59"
