"행정구역","2011년09월_계_총인구수","2011년09월_계_연령구간인구수","2011년09월_계_0~9세","2011년09월_계_10~19세","2011년09월_계_20~29세","2011년09월_계_30~39세","2011년09월_계_40~49세","2011년09월_계_50~59세","2011년09월_계_60~69세","2011년09월_계_70~79세","2011년09월_계_80~89세","2011년09월_계_90~99세","2011년09월_계_100세 이상"
"전국  (0000000000)","50,681,829","50,681,829","4,689,945","6,733,883","6,749,327","8,271,132","8,822,814","7,458,989","4,209,325","2,732,886","885,843","116,292","11,393"
"서울특별시  (1100000000)","10,271,880","10,271,880","841,078","1,217,096","1,543,091","1,841,279","1,742,404","1,553,389","895,112","468,308","144,291","22,303","3,529"
"부산광역시  (2600000000)","3,556,565","3,556,565","266,403","435,333","484,664","537,814","597,279","618,270","356,860","195,605","56,832","6,450","1,055"
"대구광역시  (2700000000)","2,509,609","2,509,609","217,434","354,962","334,326","388,501","454,715","383,168","208,696","126,633","36,619","4,190","365"
"인천광역시  (2800000000)","2,790,226","2,790,226","264,151","384,381","388,106","466,405","517,444","412,914","196,309","115,588","39,244","5,240","444"
"광주광역시  (2900000000)","1,463,432","1,463,432","151,827","231,671","202,297","242,301","250,907","188,495","108,785","63,094","20,990","2,806","259"
"대전광역시  (3000000000)","1,512,557","1,512,557","152,382","219,147","212,315","253,035","266,087","214,728","107,502","63,455","20,999","2,705","202"
"울산광역시  (3100000000)","1,132,910","1,132,910","112,708","171,188","151,318","185,665","218,208","170,710","73,163","36,739","11,714","1,412","85"
"경기도  (4100000000)","11,898,590","11,898,590","1,257,101","1,671,718","1,556,243","2,090,038","2,215,331","1,613,063","799,948","508,165","162,879","22,044","2,060"
"강원도  (4200000000)","1,533,638","1,533,638","132,554","198,491","183,745","213,655","254,742","247,653","145,822","113,480","37,795","5,277","424"
"충청북도  (4300000000)","1,559,572","1,559,572","147,280","211,043","198,267","233,424","262,053","231,502","131,900","105,481","33,959","4,381","282"
"충청남도  (4400000000)","2,094,358","2,094,358","203,756","268,383","257,011","320,217","334,248","294,813","192,947","161,291","54,342","6,825","525"
"전라북도  (4500000000)","1,873,956","1,873,956","169,020","255,558","227,109","262,801","297,574","270,106","189,885","144,636","50,440","6,359","468"
"전라남도  (4600000000)","1,912,151","1,912,151","163,895","248,422","211,168","246,687","299,196","277,409","213,205","180,511","63,227","7,860","571"
"경상북도  (4700000000)","2,693,707","2,693,707","228,944","330,747","328,838","383,559","437,429","417,888","267,852","215,766","72,930","9,245","509"
"경상남도  (4800000000)","3,303,549","3,303,549","321,002","451,249","403,236","518,915","574,118","487,732","272,968","199,146","67,828","6,913","442"
"제주특별자치도  (5000000000)","575,129","575,129","60,410","84,494","67,593","86,836","101,079","77,149","48,371","34,988","11,754","2,282","173"
