"행정구역","2020년06월_계_총인구수","2020년06월_계_연령구간인구수","2020년06월_계_0~9세","2020년06월_계_10~19세","2020년06월_계_20~29세","2020년06월_계_30~39세","2020년06월_계_40~49세","2020년06월_계_50~59세","2020년06월_계_60~69세","2020년06월_계_70~79세","2020년06월_계_80~89세","2020년06월_계_90~99세","2020년06월_계_100세 이상"
"전국  (0000000000)","51,839,408","51,839,408","4,075,794","4,861,506","6,803,579","6,972,185","8,342,267","8,652,260","6,523,322","3,658,049","1,686,109","243,203","21,134"
"서울특별시  (1100000000)","9,720,846","9,720,846","646,238","800,377","1,465,500","1,496,864","1,547,624","1,532,341","1,217,518","697,099","269,405","41,346","6,534"
"부산광역시  (2600000000)","3,404,423","3,404,423","238,364","276,766","434,376","427,542","514,737","575,757","518,401","290,106","111,821","14,705","1,848"
"대구광역시  (2700000000)","2,427,954","2,427,954","183,631","230,453","322,265","300,366","387,880","427,621","316,981","173,456","75,574","9,024","703"
"인천광역시  (2800000000)","2,947,217","2,947,217","235,526","277,423","404,099","412,813","486,833","513,748","353,459","175,105","75,394","11,889","928"
"광주광역시  (2900000000)","1,455,048","1,455,048","123,413","160,383","208,765","189,436","243,727","233,826","158,721","91,879","38,816","5,663","419"
"대전광역시  (3000000000)","1,471,040","1,471,040","118,539","149,539","212,938","197,697","240,090","242,755","173,812","89,871","39,740","5,712","347"
"울산광역시  (3100000000)","1,142,190","1,142,190","101,761","113,822","146,741","156,012","189,274","210,714","139,985","58,616","22,068","3,032","165"
"세종특별자치시  (3600000000)","345,341","345,341","47,105","41,077","36,098","60,923","66,382","43,369","28,419","13,859","6,908","1,145","56"
"경기도  (4100000000)","13,338,020","13,338,020","1,166,941","1,340,623","1,791,260","1,914,790","2,295,521","2,217,025","1,466,163","754,497","336,956","50,079","4,165"
"강원도  (4200000000)","1,539,282","1,539,282","107,641","139,764","179,041","168,403","225,843","268,566","232,937","135,719","69,687","10,854","827"
"충청북도  (4300000000)","1,597,593","1,597,593","126,469","151,063","198,496","197,029","242,150","273,957","214,966","119,630","64,406","8,869","558"
"충청남도  (4400000000)","2,119,771","2,119,771","177,486","204,588","242,601","273,346","328,774","339,822","269,787","169,700","98,983","13,779","905"
"전라북도  (4500000000)","1,808,802","1,808,802","132,723","177,739","211,553","193,014","271,605","301,169","248,891","167,779","90,368","13,121","840"
"전라남도  (4600000000)","1,854,618","1,854,618","135,676","169,972","200,707","190,059","262,465","315,014","264,683","191,712","107,957","15,538","835"
"경상북도  (4700000000)","2,646,493","2,646,493","194,959","229,448","286,407","298,316","386,803","461,830","396,465","240,489","132,774","18,046","956"
"경상남도  (4800000000)","3,349,454","3,349,454","277,878","327,569","381,057","411,941","539,898","583,173","445,112","243,549","121,988","16,512","777"
"제주특별자치도  (5000000000)","671,316","671,316","61,444","70,900","81,675","83,634","112,661","111,573","77,022","44,983","23,264","3,889","271"
