"행정구역","2016년12월_계_총인구수","2016년12월_계_연령구간인구수","2016년12월_계_0~9세","2016년12월_계_10~19세","2016년12월_계_20~29세","2016년12월_계_30~39세","2016년12월_계_40~49세","2016년12월_계_50~59세","2016년12월_계_60~69세","2016년12월_계_70~79세","2016년12월_계_80~89세","2016년12월_계_90~99세","2016년12월_계_100세 이상"
"전국  (0000000000)","51,696,216","51,696,216","4,566,168","5,481,038","6,758,428","7,534,140","8,797,053","8,424,661","5,376,421","3,239,119","1,325,294","176,332","17,562"
"서울특별시  (1100000000)","9,930,616","9,930,616","761,314","934,205","1,442,701","1,620,974","1,678,172","1,570,037","1,076,270","602,541","207,716","31,211","5,475"
"부산광역시  (2600000000)","3,498,529","3,498,529","267,087","325,210","455,199","483,516","558,328","610,400","454,451","246,583","85,833","10,337","1,585"
"대구광역시  (2700000000)","2,484,557","2,484,557","207,036","274,127","329,927","333,768","431,822","422,215","270,182","150,535","57,934","6,420","591"
"인천광역시  (2800000000)","2,943,069","2,943,069","269,510","311,493","406,622","450,143","512,174","502,587","274,298","147,609","59,356","8,523","754"
"광주광역시  (2900000000)","1,469,214","1,469,214","140,957","187,604","201,402","213,395","255,953","222,914","132,868","79,294","30,370","4,102","355"
"대전광역시  (3000000000)","1,514,370","1,514,370","142,076","175,916","212,796","222,879","264,265","239,111","143,650","77,775","31,484","4,110","308"
"울산광역시  (3100000000)","1,172,304","1,172,304","115,921","132,712","158,704","177,144","206,835","205,095","108,980","47,361","17,214","2,200","138"
"세종특별자치시  (3600000000)","243,048","243,048","34,911","27,125","26,523","45,951","44,188","29,440","18,159","10,793","5,219","690","49"
"경기도  (4100000000)","12,716,780","12,716,780","1,251,110","1,439,515","1,687,250","1,955,946","2,312,530","2,025,958","1,110,220","640,149","255,340","35,457","3,305"
"강원도  (4200000000)","1,550,806","1,550,806","121,381","163,401","184,869","185,407","246,372","271,727","182,332","132,782","53,788","8,091","656"
"충청북도  (4300000000)","1,591,625","1,591,625","141,545","171,795","198,134","212,590","259,637","264,834","170,236","114,117","51,888","6,378","471"
"충청남도  (4400000000)","2,096,727","2,096,727","197,206","222,359","246,298","294,535","335,721","324,122","225,825","158,809","81,086","10,028","738"
"전라북도  (4500000000)","1,864,791","1,864,791","157,372","207,621","219,336","225,651","295,584","299,275","218,693","155,956","75,319","9,287","697"
"전라남도  (4600000000)","1,903,914","1,903,914","156,736","199,894","206,423","219,492","286,240","314,488","231,176","189,990","87,370","11,346","759"
"경상북도  (4700000000)","2,700,398","2,700,398","222,272","264,658","308,303","339,593","421,947","460,007","336,251","225,768","107,402","13,386","811"
"경상남도  (4800000000)","3,373,871","3,373,871","315,476","367,662","397,368","466,247","574,855","561,503","360,856","218,363","99,237","11,665","639"
"제주특별자치도  (5000000000)","641,597","641,597","64,258","75,741","76,573","86,909","112,430","100,948","61,974","40,694","18,738","3,101","231"
