"행정구역","2011년04월_계_총인구수","2011년04월_계_연령구간인구수","2011년04월_계_0~9세","2011년04월_계_10~19세","2011년04월_계_20~29세","2011년04월_계_30~39세","2011년04월_계_40~49세","2011년04월_계_50~59세","2011년04월_계_60~69세","2011년04월_계_70~79세","2011년04월_계_80~89세","2011년04월_계_90~99세","2011년04월_계_100세 이상"
"전국  (0000000000)","50,594,424","50,594,424","4,713,970","6,787,433","6,804,870","8,333,095","8,817,078","7,268,819","4,198,616","2,673,723","871,658","113,602","11,560"
"서울특별시  (1100000000)","10,301,829","10,301,829","848,475","1,234,343","1,566,094","1,858,676","1,744,698","1,527,737","896,798","456,234","142,967","22,114","3,693"
"부산광역시  (2600000000)","3,563,042","3,563,042","268,066","442,167","492,423","540,882","602,140","608,792","354,265","191,020","55,855","6,339","1,093"
"대구광역시  (2700000000)","2,510,773","2,510,773","219,703","358,823","337,188","392,621","456,553","374,629","207,077","123,825","35,972","4,019","363"
"인천광역시  (2800000000)","2,772,131","2,772,131","263,292","388,180","388,644","465,463","517,288","397,921","194,758","112,672","38,398","5,065","450"
"광주광역시  (2900000000)","1,458,814","1,458,814","153,064","232,721","203,447","243,883","249,328","183,505","107,895","61,246","20,729","2,725","271"
"대전광역시  (3000000000)","1,507,751","1,507,751","152,798","220,892","213,720","254,193","265,302","208,827","106,644","61,926","20,607","2,655","187"
"울산광역시  (3100000000)","1,129,038","1,129,038","113,044","173,035","151,702","186,656","218,457","165,585","71,664","35,892","11,540","1,370","93"
"경기도  (4100000000)","11,841,400","11,841,400","1,261,878","1,676,790","1,561,519","2,105,887","2,204,184","1,556,023","797,556","494,308","159,733","21,463","2,059"
"강원도  (4200000000)","1,531,721","1,531,721","133,844","200,495","184,980","215,949","255,367","239,932","147,288","111,006","37,242","5,197","421"
"충청북도  (4300000000)","1,554,195","1,554,195","147,760","212,419","199,628","234,519","261,758","224,605","132,118","103,323","33,552","4,234","279"
"충청남도  (4400000000)","2,083,893","2,083,893","203,705","268,911","259,100","320,709","332,827","286,694","192,471","158,971","53,312","6,671","522"
"전라북도  (4500000000)","1,868,846","1,868,846","169,912","256,499","227,788","265,465","296,710","264,323","189,527","142,379","49,487","6,294","462"
"전라남도  (4600000000)","1,913,918","1,913,918","165,074","250,762","213,081","250,562","299,399","272,494","214,419","177,457","62,427","7,670","573"
"경상북도  (4700000000)","2,688,469","2,688,469","229,973","332,931","331,186","385,947","439,012","408,444","266,459","213,114","71,888","9,021","494"
"경상남도  (4800000000)","3,295,686","3,295,686","322,509","453,803","406,408","523,403","574,339","474,355","271,301","196,222","66,299","6,626","421"
"제주특별자치도  (5000000000)","572,918","572,918","60,873","84,662","67,962","88,280","99,716","74,953","48,376","34,128","11,650","2,139","179"
