"행정구역","2012년09월_계_총인구수","2012년09월_계_연령구간인구수","2012년09월_계_0~9세","2012년09월_계_10~19세","2012년09월_계_20~29세","2012년09월_계_30~39세","2012년09월_계_40~49세","2012년09월_계_50~59세","2012년09월_계_60~69세","2012년09월_계_70~79세","2012년09월_계_80~89세","2012년09월_계_90~99세","2012년09월_계_100세 이상"
"전국  (0000000000)","50,891,223","50,891,223","4,658,611","6,517,725","6,640,850","8,196,987","8,849,950","7,695,382","4,320,907","2,921,142","947,842","129,409","12,418"
"서울특별시  (1100000000)","10,219,334","10,219,334","827,393","1,162,696","1,500,082","1,814,215","1,742,224","1,567,077","915,146","509,718","152,715","24,249","3,819"
"부산광역시  (2600000000)","3,540,802","3,540,802","264,631","413,338","470,005","531,751","586,806","624,848","369,194","210,562","61,321","7,187","1,159"
"대구광역시  (2700000000)","2,507,791","2,507,791","214,829","340,732","327,820","381,385","451,925","393,787","216,474","135,717","40,034","4,685","403"
"인천광역시  (2800000000)","2,831,729","2,831,729","267,504","371,043","388,807","470,441","518,943","435,494","205,922","124,949","42,204","5,919","503"
"광주광역시  (2900000000)","1,468,777","1,468,777","149,546","225,075","198,818","240,735","254,124","195,056","110,881","68,846","22,299","3,127","270"
"대전광역시  (3000000000)","1,522,880","1,522,880","151,925","212,916","210,056","252,072","266,896","223,323","111,315","68,725","22,431","2,999","222"
"울산광역시  (3100000000)","1,143,464","1,143,464","113,065","164,262","151,534","186,083","217,522","179,121","77,924","39,777","12,502","1,580","94"
"세종특별자치시  (3600000000)","108,027","108,027","11,034","12,182","12,251","17,125","16,854","16,029","10,139","8,765","3,192","419","37"
"경기도  (4100000000)","12,047,601","12,047,601","1,253,457","1,636,535","1,554,818","2,072,567","2,247,407","1,699,856","834,024","546,987","174,877","24,832","2,241"
"강원도  (4200000000)","1,538,934","1,538,934","129,974","193,696","181,240","210,014","253,525","253,805","149,735","120,961","39,751","5,765","468"
"충청북도  (4300000000)","1,563,323","1,563,323","145,979","204,562","194,030","232,618","260,559","238,935","134,639","110,850","36,046","4,810","295"
"충청남도  (4400000000)","2,023,534","2,023,534","196,315","252,111","241,935","309,293","323,004","291,305","184,817","160,658","56,286","7,272","538"
"전라북도  (4500000000)","1,873,134","1,873,134","166,315","248,005","221,411","258,353","298,718","277,129","187,548","154,093","53,892","7,149","521"
"전라남도  (4600000000)","1,909,212","1,909,212","161,256","240,878","206,488","242,628","298,906","283,490","210,007","189,654","66,494","8,794","617"
"경상북도  (4700000000)","2,695,316","2,695,316","226,293","319,187","320,206","378,651","435,002","428,713","272,359","226,253","77,862","10,228","562"
"경상남도  (4800000000)","3,315,343","3,315,343","318,813","437,344","394,460","513,005","574,394","506,265","281,553","207,856","73,385","7,784","484"
"제주특별자치도  (5000000000)","582,022","582,022","60,282","83,163","66,889","86,051","103,141","81,149","49,230","36,771","12,551","2,610","185"
