"행정구역","2015년08월_계_총인구수","2015년08월_계_연령구간인구수","2015년08월_계_0~9세","2015년08월_계_10~19세","2015년08월_계_20~29세","2015년08월_계_30~39세","2015년08월_계_40~49세","2015년08월_계_50~59세","2015년08월_계_60~69세","2015년08월_계_70~79세","2015년08월_계_80~89세","2015년08월_계_90~99세","2015년08월_계_100세 이상"
"전국  (0000000000)","51,465,228","51,465,228","4,598,845","5,813,684","6,674,530","7,704,625","8,901,858","8,268,119","4,940,739","3,195,528","1,189,039","162,434","15,827"
"서울특별시  (1100000000)","10,063,197","10,063,197","787,669","1,006,722","1,455,011","1,683,722","1,716,158","1,590,184","1,018,693","583,697","187,025","29,365","4,951"
"부산광역시  (2600000000)","3,517,907","3,517,907","266,385","353,296","456,401","497,652","572,658","621,802","421,191","241,038","76,757","9,271","1,456"
"대구광역시  (2700000000)","2,490,621","2,490,621","208,363","295,719","326,058","345,984","441,697","417,159","247,341","150,304","51,609","5,855","532"
"인천광역시  (2800000000)","2,918,982","2,918,982","271,455","329,473","400,966","456,998","518,765","489,390","248,205","142,312","52,946","7,801","671"
"광주광역시  (2900000000)","1,476,152","1,476,152","144,147","200,825","199,174","223,604","260,217","215,297","124,467","76,652","27,666","3,791","312"
"대전광역시  (3000000000)","1,524,025","1,524,025","146,311","188,771","211,082","231,651","268,608","237,941","130,815","76,554","28,210","3,814","268"
"울산광역시  (3100000000)","1,170,640","1,170,640","116,058","142,389","157,539","181,028","213,970","198,967","96,938","46,050","15,561","2,005","135"
"세종특별자치시  (3600000000)","194,173","194,173","26,881","21,772","21,083","36,069","34,365","24,268","14,405","10,179","4,506","613","32"
"경기도  (4100000000)","12,460,604","12,460,604","1,246,899","1,502,458","1,628,830","1,969,205","2,306,534","1,934,928","995,951","616,109","224,755","31,993","2,942"
"강원도  (4200000000)","1,547,646","1,547,646","123,808","173,926","183,624","190,755","251,950","267,867","167,285","132,317","48,170","7,358","586"
"충청북도  (4300000000)","1,581,792","1,581,792","142,392","182,692","195,089","217,335","263,955","258,070","153,809","115,895","46,229","5,900","426"
"충청남도  (4400000000)","2,071,333","2,071,333","196,988","231,868","241,955","297,752","333,018","317,713","206,690","162,913","72,584","9,196","656"
"전라북도  (4500000000)","1,869,025","1,869,025","160,296","221,355","217,342","234,243","301,827","293,604","206,236","156,566","68,274","8,664","618"
"전라남도  (4600000000)","1,903,609","1,903,609","157,790","213,184","203,495","225,014","293,838","305,903","219,782","192,542","80,496","10,820","745"
"경상북도  (4700000000)","2,699,955","2,699,955","223,183","281,319","310,892","349,216","431,159","453,991","306,014","233,615","97,437","12,412","717"
"경상남도  (4800000000)","3,357,120","3,357,120","317,434","390,062","393,328","479,023","582,909","546,891","326,673","219,588","90,141","10,503","568"
"제주특별자치도  (5000000000)","618,447","618,447","62,786","77,853","72,661","85,374","110,230","94,144","56,244","39,197","16,673","3,073","212"
