"행정구역","2023년11월_계_총인구수","2023년11월_계_연령구간인구수","2023년11월_계_0~9세","2023년11월_계_10~19세","2023년11월_계_20~29세","2023년11월_계_30~39세","2023년11월_계_40~49세","2023년11월_계_50~59세","2023년11월_계_60~69세","2023년11월_계_70~79세","2023년11월_계_80~89세","2023년11월_계_90~99세","2023년11월_계_100세 이상"
"전국  (0000000000)","51,337,076","51,337,076","3,348,028","4,657,280","6,216,570","6,577,438","7,943,217","8,667,125","7,627,753","3,951,748","2,042,810","296,554","8,553"
"서울특별시  (1100000000)","9,390,925","9,390,925","515,889","734,848","1,359,785","1,427,199","1,423,608","1,492,186","1,316,772","736,040","338,291","44,863","1,444"
"부산광역시  (2600000000)","3,295,496","3,295,496","195,342","263,690","379,140","391,307","485,914","540,436","561,739","318,914","141,495","17,082","437"
"대구광역시  (2700000000)","2,376,044","2,376,044","150,966","214,420","283,769","280,110","357,242","419,564","365,961","194,773","96,692","12,290","257"
"인천광역시  (2800000000)","2,993,492","2,993,492","202,583","272,109","364,667","411,795","481,166","514,134","440,679","196,923","94,213","14,725","498"
"광주광역시  (2900000000)","1,420,822","1,420,822","100,404","147,774","191,743","174,472","228,044","240,090","184,481","98,736","48,187","6,684","207"
"대전광역시  (3000000000)","1,443,106","1,443,106","97,131","138,224","199,855","187,998","221,236","242,173","201,979","98,801","48,455","7,045","209"
"울산광역시  (3100000000)","1,103,752","1,103,752","79,489","109,488","122,788","137,197","178,531","204,292","169,171","71,082","27,967","3,666","81"
"세종특별자치시  (3600000000)","386,256","386,256","43,737","50,618","37,779","59,391","77,317","54,025","37,212","16,415","8,227","1,492","43"
"경기도  (4100000000)","13,628,135","13,628,135","993,742","1,322,170","1,686,522","1,878,288","2,261,673","2,326,697","1,828,974","843,799","421,983","62,427","1,860"
"강원특별자치도  (5100000000)","1,528,635","1,528,635","91,318","129,385","164,058","158,561","209,703","261,827","275,357","141,506","84,001","12,521","398"
"충청북도  (4300000000)","1,594,038","1,594,038","103,777","144,623","182,460","187,733","231,566","271,272","258,026","127,998","75,279","11,044","260"
"충청남도  (4400000000)","2,129,591","2,129,591","144,423","202,243","225,914","251,306","324,790","348,177","324,835","178,238","110,707","18,464","494"
"전라북도  (4500000000)","1,756,183","1,756,183","103,064","164,489","191,645","173,175","246,070","300,000","284,785","171,427","104,303","16,747","478"
"전라남도  (4600000000)","1,804,875","1,804,875","108,181","159,085","178,608","169,532","241,449","309,890","304,969","189,481","124,032","19,043","605"
"경상북도  (4700000000)","2,556,262","2,556,262","152,852","217,494","249,284","259,827","358,524","443,677","449,517","251,998","150,127","22,409","553"
"경상남도  (4800000000)","3,253,619","3,253,619","213,445","316,075","324,160","351,353","507,309","580,371","529,490","267,830","142,029","21,120","437"
"제주특별자치도  (5000000000)","675,845","675,845","51,685","70,545","74,393","78,194","109,075","118,314","93,806","47,787","26,822","4,932","292"
