"행정구역","2013년06월_계_총인구수","2013년06월_계_연령구간인구수","2013년06월_계_0~9세","2013년06월_계_10~19세","2013년06월_계_20~29세","2013년06월_계_30~39세","2013년06월_계_40~49세","2013년06월_계_50~59세","2013년06월_계_60~69세","2013년06월_계_70~79세","2013년06월_계_80~89세","2013년06월_계_90~99세","2013년06월_계_100세 이상"
"전국  (0000000000)","51,047,880","51,047,880","4,643,772","6,332,666","6,601,008","8,091,467","8,848,380","7,944,759","4,396,028","3,036,625","993,809","146,138","13,228"
"서울특별시  (1100000000)","10,176,560","10,176,560","817,274","1,118,465","1,478,775","1,783,573","1,733,066","1,590,970","928,405","535,996","159,085","26,868","4,083"
"부산광역시  (2600000000)","3,534,500","3,534,500","264,757","397,161","462,831","524,026","579,356","633,446","377,212","222,007","64,321","8,143","1,240"
"대구광역시  (2700000000)","2,503,728","2,503,728","212,896","329,157","324,084","373,085","448,409","403,538","222,040","142,407","42,574","5,098","440"
"인천광역시  (2800000000)","2,861,722","2,861,722","269,521","360,112","391,965","469,740","518,681","456,803","212,248","131,252","44,160","6,693","547"
"광주광역시  (2900000000)","1,471,867","1,471,867","148,268","219,201","196,911","237,896","255,552","202,906","112,488","71,719","23,072","3,591","263"
"대전광역시  (3000000000)","1,529,655","1,529,655","151,969","207,443","209,404","248,696","268,409","230,779","114,146","71,611","23,558","3,408","232"
"울산광역시  (3100000000)","1,152,039","1,152,039","113,740","158,580","152,502","185,582","216,685","186,449","81,302","42,269","13,080","1,750","100"
"세종특별자치시  (3600000000)","117,012","117,012","12,587","13,178","13,040","18,721","18,835","17,219","10,434","9,054","3,416","489","39"
"경기도  (4100000000)","12,167,575","12,167,575","1,254,761","1,601,211","1,566,141","2,054,132","2,262,697","1,784,793","858,406","570,776","184,247","28,001","2,410"
"강원도  (4200000000)","1,539,767","1,539,767","127,848","189,191","179,775","205,107","251,128","262,091","150,897","125,480","41,415","6,328","507"
"충청북도  (4300000000)","1,568,860","1,568,860","145,302","199,056","192,136","229,783","261,408","246,961","136,343","114,140","38,071","5,327","333"
"충청남도  (4400000000)","2,038,322","2,038,322","196,853","247,331","240,316","308,479","325,816","301,773","185,464","163,663","59,749","8,308","570"
"전라북도  (4500000000)","1,871,545","1,871,545","164,457","241,708","217,761","252,640","298,956","286,028","186,964","157,664","56,521","8,288","558"
"전라남도  (4600000000)","1,906,575","1,906,575","159,990","234,122","203,023","238,089","297,485","293,113","207,001","193,877","68,883","10,353","639"
"경상북도  (4700000000)","2,696,833","2,696,833","225,261","309,793","315,162","372,082","433,071","438,439","275,722","233,524","81,895","11,279","605"
"경상남도  (4800000000)","3,322,702","3,322,702","317,811","425,091","389,746","504,485","574,687","523,949","287,070","213,850","76,603","8,936","474"
"제주특별자치도  (5000000000)","588,618","588,618","60,477","81,866","67,436","85,351","104,139","85,502","49,886","37,336","13,159","3,278","188"
