"행정구역","2012년03월_계_총인구수","2012년03월_계_연령구간인구수","2012년03월_계_0~9세","2012년03월_계_10~19세","2012년03월_계_20~29세","2012년03월_계_30~39세","2012년03월_계_40~49세","2012년03월_계_50~59세","2012년03월_계_60~69세","2012년03월_계_70~79세","2012년03월_계_80~89세","2012년03월_계_90~99세","2012년03월_계_100세 이상"
"전국  (0000000000)","50,783,029","50,783,029","4,659,228","6,619,479","6,676,564","8,243,764","8,847,724","7,600,984","4,247,423","2,830,438","922,640","122,930","11,855"
"서울특별시  (1100000000)","10,245,782","10,245,782","831,535","1,188,773","1,518,650","1,829,030","1,744,440","1,566,654","900,797","489,658","149,300","23,276","3,669"
"부산광역시  (2600000000)","3,547,141","3,547,141","264,651","423,870","475,222","535,435","591,989","622,687","362,605","203,256","59,484","6,847","1,095"
"대구광역시  (2700000000)","2,507,586","2,507,586","215,320","347,488","329,819","385,148","453,701","388,908","212,353","131,364","38,664","4,442","379"
"인천광역시  (2800000000)","2,811,410","2,811,410","264,845","377,737","387,908","469,031","518,531","426,015","199,841","120,450","40,921","5,661","470"
"광주광역시  (2900000000)","1,466,810","1,466,810","150,269","228,433","199,734","242,409","253,344","191,895","109,898","65,897","21,742","2,928","261"
"대전광역시  (3000000000)","1,519,490","1,519,490","152,249","216,191","210,657","253,435","266,846","219,835","109,169","66,267","21,756","2,866","219"
"울산광역시  (3100000000)","1,137,918","1,137,918","112,295","167,514","150,964","185,849","218,539","175,353","75,365","38,243","12,205","1,499","92"
"경기도  (4100000000)","11,972,408","11,972,408","1,251,867","1,649,159","1,552,998","2,083,685","2,234,080","1,665,407","811,392","528,432","169,717","23,518","2,153"
"강원도  (4200000000)","1,536,525","1,536,525","130,808","196,827","182,219","211,952","253,964","252,466","146,047","117,237","39,038","5,516","451"
"충청북도  (4300000000)","1,564,283","1,564,283","146,526","208,029","195,530","233,787","261,961","236,297","133,496","108,406","35,303","4,655","293"
"충청남도  (4400000000)","2,108,537","2,108,537","204,593","266,002","254,144","323,001","336,695","300,909","192,738","165,601","57,067","7,243","544"
"전라북도  (4500000000)","1,873,678","1,873,678","166,885","251,874","223,340","261,299","299,055","273,841","187,108","150,607","52,504","6,667","498"
"전라남도  (4600000000)","1,910,746","1,910,746","161,891","244,888","208,351","245,218","299,766","280,296","211,805","184,302","65,451","8,205","573"
"경상북도  (4700000000)","2,694,822","2,694,822","226,559","324,912","323,297","382,038","437,025","423,915","269,773","221,059","75,925","9,791","528"
"경상남도  (4800000000)","3,308,081","3,308,081","318,822","443,893","396,789","516,163","575,647","497,429","276,402","203,803","71,275","7,401","457"
"제주특별자치도  (5000000000)","577,812","577,812","60,113","83,889","66,942","86,284","102,141","79,077","48,634","35,856","12,288","2,415","173"
