"행정구역","2022년02월_계_총인구수","2022년02월_계_연령구간인구수","2022년02월_계_0~9세","2022년02월_계_10~19세","2022년02월_계_20~29세","2022년02월_계_30~39세","2022년02월_계_40~49세","2022년02월_계_50~59세","2022년02월_계_60~69세","2022년02월_계_70~79세","2022년02월_계_80~89세","2022년02월_계_90~99세","2022년02월_계_100세 이상"
"전국  (0000000000)","51,625,561","51,625,561","3,718,850","4,702,667","6,606,751","6,681,507","8,172,801","8,630,063","7,228,356","3,736,880","1,868,333","271,030","8,323"
"서울특별시  (1100000000)","9,508,451","9,508,451","576,580","756,556","1,416,885","1,433,500","1,480,506","1,505,853","1,293,226","699,661","301,494","42,482","1,708"
"부산광역시  (2600000000)","3,347,396","3,347,396","217,588","265,987","412,039","402,632","502,454","552,477","551,598","300,226","126,147","15,834","414"
"대구광역시  (2700000000)","2,381,095","2,381,095","166,093","217,654","305,721","282,950","371,368","418,757","344,093","179,535","84,188","10,467","269"
"인천광역시  (2800000000)","2,950,978","2,950,978","215,555","270,735","387,975","400,916","482,160","510,326","404,347","180,875","84,405","13,255","429"
"광주광역시  (2900000000)","1,440,032","1,440,032","112,587","151,866","205,016","179,959","236,519","236,405","172,881","95,060","43,390","6,162","187"
"대전광역시  (3000000000)","1,450,862","1,450,862","106,653","141,530","208,066","188,583","230,847","239,393","192,322","92,944","44,038","6,309","177"
"울산광역시  (3100000000)","1,119,446","1,119,446","90,634","109,510","136,235","143,415","183,832","206,545","157,472","63,765","24,606","3,366","66"
"세종특별자치시  (3600000000)","376,399","376,399","47,287","46,592","38,800","61,681","74,241","49,680","34,089","14,951","7,714","1,334","30"
"경기도  (4100000000)","13,574,369","13,574,369","1,089,606","1,319,941","1,785,292","1,890,662","2,299,553","2,278,124","1,691,915","779,329","381,558","56,552","1,837"
"강원도  (4200000000)","1,539,051","1,539,051","100,237","133,200","174,159","162,135","219,402","263,717","262,803","133,342","77,827","11,853","376"
"충청북도  (4300000000)","1,597,022","1,597,022","115,585","146,116","192,915","189,227","237,906","269,770","243,932","121,252","70,169","9,865","285"
"충청남도  (4400000000)","2,118,912","2,118,912","160,513","200,729","236,521","256,994","326,695","339,766","302,880","172,445","105,866","16,064","439"
"전라북도  (4500000000)","1,783,923","1,783,923","117,799","169,413","204,490","180,229","259,683","298,755","270,070","169,328","98,573","15,168","415"
"전라남도  (4600000000)","1,831,451","1,831,451","122,178","162,480","192,073","176,911","252,476","312,764","286,471","190,991","116,943","17,678","486"
"경상북도  (4700000000)","2,622,026","2,622,026","175,763","221,419","272,507","276,184","376,758","453,588","435,909","245,485","142,828","21,009","576"
"경상남도  (4800000000)","3,307,005","3,307,005","246,552","318,672","357,854","374,980","526,981","578,657","498,831","251,630","133,142","19,288","418"
"제주특별자치도  (5000000000)","677,143","677,143","57,640","70,267","80,203","80,549","111,420","115,486","85,517","46,061","25,445","4,344","211"
