"행정구역","2012년07월_계_총인구수","2012년07월_계_연령구간인구수","2012년07월_계_0~9세","2012년07월_계_10~19세","2012년07월_계_20~29세","2012년07월_계_30~39세","2012년07월_계_40~49세","2012년07월_계_50~59세","2012년07월_계_60~69세","2012년07월_계_70~79세","2012년07월_계_80~89세","2012년07월_계_90~99세","2012년07월_계_100세 이상"
"전국  (0000000000)","50,851,082","50,851,082","4,656,348","6,556,226","6,649,223","8,218,465","8,857,561","7,642,341","4,306,185","2,888,605","936,777","127,171","12,180"
"서울특별시  (1100000000)","10,227,761","10,227,761","828,606","1,171,765","1,505,445","1,821,073","1,744,750","1,562,553","912,197","502,554","151,162","23,903","3,753"
"부산광역시  (2600000000)","3,542,218","3,542,218","264,516","417,202","471,453","533,116","589,050","623,038","367,097","208,016","60,532","7,060","1,138"
"대구광역시  (2700000000)","2,506,969","2,506,969","214,772","343,207","328,342","382,878","452,441","391,490","215,310","134,150","39,396","4,583","400"
"인천광역시  (2800000000)","2,824,150","2,824,150","266,230","373,538","388,334","470,117","519,203","430,923","204,495","123,382","41,594","5,844","490"
"광주광역시  (2900000000)","1,467,030","1,467,030","149,612","226,051","199,004","241,426","253,850","193,181","110,761","67,760","22,074","3,049","262"
"대전광역시  (3000000000)","1,522,581","1,522,581","152,240","214,282","210,204","252,886","267,252","221,710","110,807","67,887","22,135","2,957","221"
"울산광역시  (3100000000)","1,141,483","1,141,483","112,662","165,451","151,510","186,017","218,009","177,489","77,157","39,185","12,372","1,540","91"
"세종특별자치시  (3600000000)","103,127","103,127","9,893","11,512","12,005","15,919","15,943","15,635","10,040","8,609","3,137","398","36"
"경기도  (4100000000)","12,021,422","12,021,422","1,252,094","1,642,445","1,552,794","2,077,400","2,245,891","1,681,872","829,386","540,271","172,734","24,319","2,216"
"강원도  (4200000000)","1,538,198","1,538,198","130,134","195,048","181,372","210,778","253,834","252,314","149,339","119,769","39,466","5,686","458"
"충청북도  (4300000000)","1,561,493","1,561,493","146,003","205,555","194,134","232,954","260,890","236,970","134,463","109,860","35,627","4,742","295"
"충청남도  (4400000000)","2,021,776","2,021,776","196,132","253,517","242,563","309,476","323,279","289,209","184,889","159,658","55,383","7,148","522"
"전라북도  (4500000000)","1,872,830","1,872,830","166,407","249,477","221,917","259,442","299,201","274,953","187,903","152,663","53,329","7,028","510"
"전라남도  (4600000000)","1,910,298","1,910,298","161,515","242,526","207,009","243,875","299,617","281,669","211,141","187,758","65,969","8,630","589"
"경상북도  (4700000000)","2,695,263","2,695,263","226,332","321,371","321,136","380,027","436,129","426,327","271,975","224,375","76,984","10,071","536"
"경상남도  (4800000000)","3,313,689","3,313,689","318,894","439,834","395,156","514,821","575,322","502,596","280,153","206,337","72,446","7,647","483"
"제주특별자치도  (5000000000)","580,794","580,794","60,306","83,445","66,845","86,260","102,900","80,412","49,072","36,371","12,437","2,566","180"
