"행정구역","2011년12월_계_총인구수","2011년12월_계_연령구간인구수","2011년12월_계_0~9세","2011년12월_계_10~19세","2011년12월_계_20~29세","2011년12월_계_30~39세","2011년12월_계_40~49세","2011년12월_계_50~59세","2011년12월_계_60~69세","2011년12월_계_70~79세","2011년12월_계_80~89세","2011년12월_계_90~99세","2011년12월_계_100세 이상"
"전국  (0000000000)","50,734,284","50,734,284","4,675,849","6,681,125","6,727,416","8,254,786","8,846,683","7,528,146","4,216,872","2,771,176","901,906","118,691","11,634"
"서울특별시  (1100000000)","10,249,679","10,249,679","836,648","1,203,517","1,529,819","1,831,942","1,744,590","1,560,094","894,338","476,034","146,509","22,602","3,586"
"부산광역시  (2600000000)","3,550,963","3,550,963","265,322","429,500","480,582","536,575","595,353","620,296","358,954","198,688","58,010","6,605","1,078"
"대구광역시  (2700000000)","2,507,271","2,507,271","216,314","351,152","332,377","386,634","454,496","385,865","209,852","128,487","37,419","4,301","374"
"인천광역시  (2800000000)","2,801,274","2,801,274","264,688","381,516","388,487","468,166","518,975","419,005","196,964","117,689","39,924","5,401","459"
"광주광역시  (2900000000)","1,463,464","1,463,464","150,813","230,162","201,043","241,669","251,849","190,127","109,185","64,247","21,257","2,850","262"
"대전광역시  (3000000000)","1,515,603","1,515,603","152,202","217,848","211,866","252,784","266,938","217,028","108,035","64,554","21,360","2,774","214"
"울산광역시  (3100000000)","1,135,494","1,135,494","112,420","169,565","151,519","185,666","218,681","172,750","74,061","37,336","11,959","1,450","87"
"경기도  (4100000000)","11,937,415","11,937,415","1,255,168","1,660,148","1,558,886","2,088,455","2,227,890","1,637,339","802,130","516,586","166,184","22,514","2,115"
"강원도  (4200000000)","1,536,448","1,536,448","132,030","197,384","183,798","213,295","255,010","250,600","145,091","115,060","38,376","5,375","429"
"충청북도  (4300000000)","1,562,903","1,562,903","147,046","209,997","197,522","233,527","262,692","234,051","132,254","106,523","34,550","4,453","288"
"충청남도  (4400000000)","2,101,284","2,101,284","203,983","267,457","256,970","320,742","336,357","297,088","192,886","162,811","55,455","6,992","543"
"전라북도  (4500000000)","1,874,031","1,874,031","168,041","254,189","226,278","261,406","298,134","271,911","188,964","146,619","51,527","6,481","481"
"전라남도  (4600000000)","1,914,339","1,914,339","163,188","247,484","211,125","245,852","299,581","279,550","213,039","182,009","63,986","7,946","579"
"경상북도  (4700000000)","2,699,195","2,699,195","228,029","328,739","328,074","383,977","438,250","421,404","268,870","217,695","74,158","9,481","518"
"경상남도  (4800000000)","3,308,765","3,308,765","319,852","448,239","401,522","517,772","576,519","492,810","273,854","201,414","69,231","7,103","449"
"제주특별자치도  (5000000000)","576,156","576,156","60,105","84,228","67,548","86,324","101,368","78,228","48,395","35,424","12,001","2,363","172"
