"행정구역","2016년10월_계_총인구수","2016년10월_계_연령구간인구수","2016년10월_계_0~9세","2016년10월_계_10~19세","2016년10월_계_20~29세","2016년10월_계_30~39세","2016년10월_계_40~49세","2016년10월_계_50~59세","2016년10월_계_60~69세","2016년10월_계_70~79세","2016년10월_계_80~89세","2016년10월_계_90~99세","2016년10월_계_100세 이상"
"전국  (0000000000)","51,677,054","51,677,054","4,575,391","5,519,802","6,748,384","7,570,099","8,795,490","8,408,528","5,331,633","3,229,523","1,306,354","174,437","17,413"
"서울특별시  (1100000000)","9,954,791","9,954,791","765,964","942,620","1,446,707","1,632,960","1,680,343","1,573,336","1,071,842","599,905","204,696","31,007","5,411"
"부산광역시  (2600000000)","3,503,789","3,503,789","267,745","328,490","455,887","487,137","559,154","612,345","451,348","245,590","84,382","10,143","1,568"
"대구광역시  (2700000000)","2,485,484","2,485,484","207,088","276,545","330,202","335,652","431,872","422,059","267,974","150,040","57,148","6,313","591"
"인천광역시  (2800000000)","2,941,793","2,941,793","270,281","313,281","406,140","452,136","512,331","501,563","271,718","146,727","58,451","8,415","750"
"광주광역시  (2900000000)","1,471,911","1,471,911","141,430","189,203","201,895","215,321","256,465","222,322","131,951","78,859","29,999","4,111","355"
"대전광역시  (3000000000)","1,515,787","1,515,787","142,546","177,368","212,968","224,352","264,465","238,843","142,185","77,611","31,073","4,059","317"
"울산광역시  (3100000000)","1,173,178","1,173,178","116,225","133,859","158,750","178,394","207,205","204,754","107,598","47,082","17,013","2,161","137"
"세종특별자치시  (3600000000)","238,533","238,533","34,321","26,557","25,858","45,382","43,237","28,732","17,822","10,775","5,137","663","49"
"경기도  (4100000000)","12,683,730","12,683,730","1,251,487","1,448,441","1,677,739","1,959,486","2,308,302","2,014,756","1,097,761","636,454","251,051","34,976","3,277"
"강원도  (4200000000)","1,550,021","1,550,021","121,690","164,638","184,418","186,326","246,632","271,441","180,594","132,768","52,840","8,029","645"
"충청북도  (4300000000)","1,589,268","1,589,268","141,619","173,014","197,604","213,468","259,612","263,777","168,107","114,286","51,025","6,285","471"
"충청남도  (4400000000)","2,091,626","2,091,626","197,235","223,389","244,805","295,303","334,711","322,608","223,926","158,996","80,046","9,883","724"
"전라북도  (4500000000)","1,864,043","1,864,043","157,719","208,870","218,699","227,002","295,830","298,412","217,381","155,803","74,464","9,165","698"
"전라남도  (4600000000)","1,902,022","1,902,022","157,045","201,085","205,164","220,115","286,626","313,572","229,720","190,044","86,590","11,302","759"
"경상북도  (4700000000)","2,700,957","2,700,957","222,895","266,408","308,443","341,372","422,290","459,891","333,267","226,080","106,226","13,277","808"
"경상남도  (4800000000)","3,370,815","3,370,815","315,870","370,110","396,938","468,957","574,217","559,755","357,044","217,963","97,770","11,562","629"
"제주특별자치도  (5000000000)","639,306","639,306","64,231","75,924","76,167","86,736","112,198","100,362","61,395","40,540","18,443","3,086","224"
