city,year,inc_rate
강원도,2008,
강원도,2009,0.0028470576537460435
강원도,2010,0.011202548797980105
강원도,2011,0.004333848863067313
강원도,2012,0.0014201587037114827
강원도,2013,0.002361191449536282
강원도,2014,0.001412858896310265
강원도,2015,0.0032795015934556915
강원도,2016,0.0008383311595236975
강원도,2017,-0.0004281644512595939
강원도,2018,-0.004573774531623553
강원도,2019,-0.0010045027646508053
강원도,2020,0.0008679846020309689
강원도,2021,-0.0028181794612532896
강원도,2022,-0.0012960743377281592
강원도,2023,-0.005656369224040669
경기도,2008,
경기도,2009,0.014908082205658646
경기도,2010,0.028446304341566364
경기도,2011,0.01279357223808475
경기도,2012,0.013058438531289962
경기도,2013,0.011686720058769806
경기도,2014,0.010069777345126152
경기도,2015,0.013333732540421694
경기도,2016,0.01550587792988134
경기도,2017,0.012354935762040498
경기도,2018,0.01578838416811701
경기도,2019,0.012427246205653386
경기도,2020,0.014150508026411046
경기도,2021,0.010310259600533778
경기도,2022,0.0017678735316557503
경기도,2023,0.0030456754925445306
경상남도,2008,
경상남도,2009,0.007726830901742643
경상남도,2010,0.012417789067422857
경상남도,2011,0.005539826946126647
경상남도,2012,0.003188198617913418
경상남도,2013,0.0043701801034792265
경상남도,2014,0.004930380164495984
경상남도,2015,0.004311609527269056
경상남도,2016,0.002725055591847436
경상남도,2017,0.0019363514491217426
경상남도,2018,-0.0018979979907727262
경상남도,2019,-0.0033891643953682937
경상남도,2020,-0.006642869272246443
경상남도,2021,-0.007793807346590742
경상남도,2022,-0.010165401246702399
경상남도,2023,-0.00894225349665434
경상북도,2008,
경상북도,2009,-0.0015164938811060846
경상북도,2010,0.007507464766153937
경상북도,2011,0.0034480579348084017
경상북도,2012,-0.0003119448576335282
경상북도,2013,0.000402838323970256
경상북도,2014,0.0005015855140324543
경상북도,2015,0.0007523713396875298
경상북도,2016,-0.0008983190186864221
경상북도,2017,-0.0032187847865389196
경상북도,2018,-0.005526235034584048
경상북도,2019,-0.004107468868972286
경상북도,2020,-0.009908336446803223
경상북도,2021,-0.004854471926050485
경상북도,2022,-0.009943238601558102
경상북도,2023,-0.01775356355643476
광주광역시,2008,
광주광역시,2009,0.007688187687934667
광주광역시,2010,0.014645238693116847
광주광역시,2011,0.00606887221270469
광주광역시,2012,0.0039304007478147
광주광역시,2013,0.0025142661119943455
광주광역시,2014,0.0020191321940918883
광주광역시,2015,-0.002496808692282082
광주광역시,2016,-0.002027579152003245
광주광역시,2017,-0.003705382605937557
광주광역시,2018,-0.0030291644179072374
광주광역시,2019,-0.0019652773590180805
