시도별,경제활동별,항목,2007 년,2008 년,2009 년,2010 년,2011 년,2012 년,2013 년,2014 년,2015 년,2016 년,2017 년,2018 년,2019 년,2020 년,2021 년,2022 년
강원도,　교육 서비스업,실질,2836525,2905214,2996629,3024319,3100712,3167994,3232104,3269925,3286316,3313775,3393402,3498630,3472079,3387126,3518114,3446523
강원도,　교육 서비스업,실질기여도,0.08,0.2,0.28,0.08,0.22,0.19,0.17,0.1,0.04,0.07,0.19,0.24,-0.06,-0.19,0.29,-0.15
강원도,　보건업 및 사회복지 서비스업,명목,1047905,1144478,1278986,1379737,1445482,1563667,1677559,1810678,1880702,1993172,2134568,2281292,2498515,2614690,2777789,2964262
강원도,　보건업 및 사회복지 서비스업,실질,1211685,1264907,1352055,1428622,1498849,1608427,1727488,1844930,1880702,1966079,2052100,2169715,2363277,2418562,2548499,2715881
강원도,　보건업 및 사회복지 서비스업,실질기여도,0.29,0.17,0.27,0.24,0.21,0.32,0.33,0.31,0.09,0.21,0.2,0.27,0.43,0.12,0.29,0.36
강원도,　문화 및 기타서비스업,명목,1432484,1570516,1603154,1670093,1707256,1796083,1890888,1882187,1831414,1996293,1989213,2169755,2280346,1855325,2146182,2393380
강원도,　문화 및 기타서비스업,실질,2067776,2166148,2151666,2168252,2069706,2056719,2069435,1955985,1831414,1936845,1881458,1982937,2040981,1611270,1861208,2037303
강원도,　문화 및 기타서비스업,실질기여도,0.46,0.25,-0.04,0.04,-0.24,-0.03,0.03,-0.29,-0.31,0.26,-0.13,0.24,0.14,-0.98,0.59,0.4
충청북도,지역내총생산(시장가격),명목,32758094,33762843,35601751,40324269,43343230,45510059,47737291,50081510,55191633,59671234,65312366,69636876,69419635,69583769,75289387,79423941
충청북도,지역내총생산(시장가격),실질,38575637,37908674,40008263,43503412,46066868,47647389,49519653,51596699,55191633,58380533,61953139,65830010,66927772,65926194,70448338,73629729
충청북도,지역내총생산(시장가격),실질기여도,6.63,-1.73,5.54,8.74,5.89,3.43,3.93,4.19,6.97,5.78,6.12,6.26,1.67,-1.5,6.86,4.52
충청북도,순생산물세,명목,2632312,2864458,2995290,3153475,3149367,3416838,3432425,3568359,4228616,4836321,5117372,5335274,5393014,5441250,5582580,6114312
충청북도,순생산물세,실질,2869296,2844933,3001233,3140010,3237297,3469562,3548124,3677144,4228616,4687745,4806278,4916425,5001140,4924170,4782949,5098030
