,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
전국,0.0393628271838943,-0.0380806084773976,-0.0042330603179744,-0.0115480486011136,0.0436927466184426,0.0548716482709352,0.0040316932325978,-0.0558078670798133,0.0186148078998422,0.0040703671240598,0.0378954423826427,-0.0596511731879404,0.0547262938140349,-0.0153151106007396
서울특별시,-0.121836118677759,-0.0588643623041389,-0.0530164012699136,0.1572976633931595,-0.135620580346257,-0.0389187603319773,-0.2344387500513669,-0.004629061611762,0.0160600699000803,0.1444876626051705,-0.0451002128806014,-0.0973120604607169,0.1281850927667074,-0.1467087828616455
부산광역시,-0.0292775277871243,-0.0525486890874022,0.1689869949282194,-0.0823362274725931,-0.1198939232273603,0.0419079838053555,-0.1781147472677384,-0.0427297307446769,-0.002236070165528,-0.1318876392566687,-0.1132646729801583,0.0589922288592026,0.1659002066668757,-0.1574879207068868
대구광역시,0.0712908873339897,-0.0872744680499842,-0.0406930478188526,-0.0340736271885172,-0.0228035704991411,-0.0262385235587454,-0.0050458778323236,0.0361462341946123,0.0246053853296193,-0.1479254320668004,-0.0323617220082499,-0.1476169167118082,-0.0122036583344078,-0.0246249382278622
인천광역시,-0.0595355708416047,-0.158143279303337,-0.029920659910514,-0.0171669004207574,0.0041261324439587,0.099318656152803,-0.0777836875503253,-0.000785007950208,0.0182296990175683,0.0138447669772587,0.1019499277804525,-0.0485685593981782,0.0368304687413201,-0.168863361979669
광주광역시,0.0713478784971821,-0.0792381917362772,-0.0478877564730043,-0.0398540499133169,-0.0068445694849776,0.0921294632475742,0.0745952781918017,-0.118437169756941,-0.0269243081617501,-0.0751403412988395,-0.0402782087473795,-0.2767626903453225,0.12089889110595,0.1830235114444411
대전광역시,-0.0653043316852567,-0.1444458486035638,0.0614897657733699,-0.0606313613231551,-0.1113556524315402,-0.0881834635168603,-0.0135548068635901,-0.0190097961344982,0.0126578862139694,-0.0590336078462727,-0.0039370078740157,-0.0227201637899167,0.1173766294227187,0.1173636789750534
울산광역시,0.0900415641699889,-0.1368651581094676,0.054886530486077,-0.065229202659227,0.0948851242799859,0.0931816690625166,-0.1200231348862079,-0.0206664351794438,0.0043370076546602,-0.0653604659959149,-0.081438014299204,-0.050812858884173,0.137112620487986,0.0164773113817267
세종특별자치시,,,,,,0.1768878574353911,-0.1452644070972548,0.0900079860947995,0.1174895966517739,-0.1795665104001508,-0.1524198518735179,-0.130296531834652,0.0891364113028938,-0.0859789736650359
경기도,0.0355764393733668,-0.0563704771137048,-0.0190826479789503,-0.0315114167929744,0.1203128098804133,0.1060988656024983,-0.0266199119174579,-0.0919459346023031,-0.0178389989920745,0.0183365418354499,0.0375929975655071,-0.0658220508963269,0.0356728341816112,-0.0280674093749688
강원도,0.1181408473704004,-0.0031692784124509,-0.0179639921018369,-0.0243217553662814,0.0075208699071953,0.1578883527238068,0.0452083570197645,-0.0230279970739399,0.0227651415516101,-0.0358876819947869,0.0728968561751537,-0.0318202352945501,0.0303431049811717,0.0185985784549496
충청북도,0.154124355742071,-0.0650640445076983,0.0345369299153626,0.0058809302902957,-0.0070226654105801,-0.0217066273247439,0.0980560083802843,-0.0602819584492784,0.016263713403726,-0.0215918739484477,0.0162114387912111,-0.1065133725339434,0.046587646106234,0.0344672457542871
충청남도,0.0223366531370712,-0.0312557784990655,-0.0161444215520565,0.0149565863493705,-0.0010343009686181,0.1337074989268418,0.009078303509987,-0.0963385355476738,-0.001300095968841,-0.0098237952234075,0.0523128656535498,-0.0632095726178737,0.1062584157688373,-0.057270082838535
전라북도,0.0834324996537207,-0.0951485241798382,0.0527415060199703,-0.0848103260140161,0.1200997457261852,0.0436666892462278,0.0026826291783987,-0.0844514820377277,0.0289666198688511,-0.0125707214956681,0.0309743142329106,-0.0797507770492547,0.0442075153176662,0.0216503556106324
전라남도,0.0103252795336834,-0.0018666550113423,-0.0045092042959378,-0.0381489688620375,0.0746960620508849,0.0125720620001794,-0.0050290920900347,-0.0082934305775688,0.0276056512644331,0.0475683383859368,0.0353314817571432,-0.0425980434537084,0.0713564481020301,-0.0211665847457392
경상북도,-0.0112289055209489,-0.0018588277972848,-0.0207301234606537,0.0631794131025542,0.0069474057995178,0.0353174814030274,0.0536475584174285,-0.0924617198850812,0.0237441585908291,0.0191091970104055,0.0665878106353139,-0.0592738729719384,0.0787593105667876,-0.0392223459391045
경상남도,-0.008139685305418,-0.0333218785193438,-0.0406223968448757,-0.0384847475997605,0.0498994799789085,0.068083963556913,-0.0116595050138031,-0.0404964714472599,0.0383461031031153,0.0824304448212924,0.0484169962615457,-0.0837217831768382,-0.0125492571867485,0.0272613481675034
제주특별자치도,0.2323771643501004,-0.0569637232030557,-0.0094761528854343,0.0151471721246965,0.0159341828154777,-0.0466650851019279,-0.0363389916577211,0.0579317733769042,0.0321736557531238,-0.125455548064291,-0.0137650630723235,0.0317603159444634,0.0049140903983879,0.0212889534901072
