city,year,population_growth,total_gdp_growth,primary_industry_growth,secondary_industry_growth,tertiary_industry_growth
전국,2009,0.0046987540483904,0.0098918612638592,0.0393628271838943,-0.010278528615493,0.0231650851670024
전국,2010,0.0149181049338955,0.0699952615264938,-0.0380806084773976,0.1635387432334543,0.04534592912307
전국,2011,0.0043277267689592,0.0362565878950715,-0.0042330603179744,0.0522531469889577,0.0379176435922814
전국,2012,0.0042178184676855,0.0233935550151842,-0.0115480486011136,0.0140432129808423,0.0328563886691315
전국,2013,0.0037919048559684,0.0311147985027029,0.0436927466184426,0.0306205757440549,0.0352524266550489
전국,2014,0.0036458284347478,0.0313673917737176,0.0548716482709352,0.0317426675330936,0.0303058628006314
전국,2015,0.0039242193273538,0.0278935561641475,0.0040316932325978,0.0167271434874693,0.0304364243244887
전국,2016,0.0032385046359415,0.0294418016962403,-0.0558078670798133,0.0232147306654779,0.0284539787779753
전국,2017,0.0015925343549323,0.0311101911415534,0.0186148078998422,0.0371457434585427,0.0245607563498428
전국,2018,0.0009176580940553,0.0290100063321578,0.0040703671240598,0.0329339246806072,0.037186969873596
전국,2019,0.0004592670262657,0.0222121185153643,0.0378954423826427,0.011311438276724,0.033792089194907
전국,2020,-0.0004018911448961,-0.0064408554239535,-0.0596511731879404,-0.0107740994980564,-0.006681196524264
전국,2021,-0.0036700286632839,0.0432252530656565,0.0547262938140349,0.0705702202481544,0.0381630232777672
전국,2022,-0.0038686213696369,0.0261855213255706,-0.0153151106007396,0.0146503650483709,0.0410265087363928
서울특별시,2009,0.0007327837243,0.0149626930535495,-0.121836118677759,-0.028946796948059,0.0215036505493959
서울특별시,2010,0.0102115905270043,0.035343543181149,-0.0588643623041389,0.0944007645102618,0.0380400589474299
서울특별시,2011,-0.0060960703686626,0.031528987457738,-0.0530164012699136,0.0115796738439988,0.031289000761395
서울특별시,2012,-0.005303678290803,0.0139985647332678,0.1572976633931595,0.1157734503964751,0.0152582697526129
서울특별시,2013,-0.0050683068443769,0.0164984601817386,-0.135620580346257,-0.0509235805775298,0.0228946207768723
서울특별시,2014,-0.0039839722308894,0.015078235235596,-0.0389187603319773,0.0140371892277582,0.0130568139476319
서울특별시,2015,-0.0080223825383419,0.0292110788458885,-0.2344387500513669,-0.0220009800171441,0.0304624414176128
서울특별시,2016,-0.0091362349173298,0.0283963248490177,-0.004629061611762,-0.0362244583895251,0.0301365707749905
서울특별시,2017,-0.0073701369582712,0.0233933276861297,0.0160600699000803,-0.0431835344881305,0.0233005852706638
서울특별시,2018,-0.0093130803112293,0.0359902777375746,0.1444876626051705,-0.0178934632857558,0.0374630544790466
서울특별시,2019,-0.0037392391657962,0.0259824752606185,-0.0451002128806014,0.0077960330605011,0.0327578336104166
서울특별시,2020,-0.0062330489324456,0.0085632519731675,-0.0973120604607169,-0.0684065617133472,0.0010322800450177
서울특별시,2021,-0.0164459404879678,0.0336182210690432,0.1281850927667074,0.0525272118395669,0.0339258301597262
서울특별시,2022,-0.0085268792395949,0.0158872773213618,-0.1467087828616455,-0.0379808002688019,0.035247637214641
부산광역시,2009,-0.006044756502665,-0.0345865390961794,-0.0292775277871243,-0.131743072136327,-0.0013675819034875
부산광역시,2010,0.0070222380279025,0.0531487895653317,-0.0525486890874022,0.1799140150043296,0.0304739476538127
부산광역시,2011,-0.0047498395419166,0.0253453321197338,0.1689869949282194,0.0038679156979297,0.0255373634815254
부산광역시,2012,-0.0035142579632623,0.0264247615773591,-0.0823362274725931,0.013077148637171,0.0335006215266109
부산광역시,2013,-0.0030660022766811,0.016601219800655,-0.1198939232273603,0.0036010032933622,0.0260024922214185
부산광역시,2014,-0.0023341417125071,0.0423151382335018,0.0419079838053555,0.0476679589783326,0.0331880047715789
부산광역시,2015,-0.0015979992049783,0.0304382074088784,-0.1781147472677384,0.0639255174510249,0.0272362659797575
부산광역시,2016,-0.0043394899562493,0.0170859422290747,-0.0427297307446769,-0.0212064915462232,0.0191629313895849
부산광역시,2017,-0.0079679202316172,0.0157813875914185,-0.002236070165528,-0.0206653257522057,0.0265716015018633
부산광역시,2018,-0.0084134023193905,0.0169460153156104,-0.1318876392566687,-0.009198445978737,0.028213861222764
부산광역시,2019,-0.008023355251401,0.0254977579378494,-0.1132646729801583,0.0336067923529781,0.0289338043951703
부산광역시,2020,-0.006413596883979,-0.0352690632389706,0.0589922288592026,-0.0516408680891772,-0.0378188125413103
부산광역시,2021,-0.0122543224449918,0.0193876626200786,0.1659002066668757,0.012120554484357,0.0270942581655468
부산광역시,2022,-0.0097206883995247,0.0257269584126089,-0.1574879207068868,0.0345568488799756,0.0302996249852973
대구광역시,2009,-0.0011806361233734,-0.0278130194314363,0.0712908873339897,-0.0848705152758456,0.0179530581786995
대구광역시,2010,0.0087939461342181,0.0648264457503651,-0.0872744680499842,0.2427699440832738,0.0378967203475897
대구광역시,2011,-0.0017538090103977,0.0349682149896621,-0.0406930478188526,0.0559404139718597,0.0322343487589826
대구광역시,2012,-0.0006489127022966,0.0374577734584773,-0.0340736271885172,0.0606633481017737,0.0332414469454431
대구광역시,2013,-0.0016187455201137,0.0352249610078199,-0.0228035704991411,0.0397152757359833,0.0213613568345221
대구광역시,2014,-0.003327486380651,0.026372062967723,-0.0262385235587454,0.0107964062463377,0.0214144511039566
