city,year,primary_industry_growth,population_growth
전국,2009,0.0098918612638592,0.0046987540483904
전국,2010,0.0699952615264938,0.0149181049338955
전국,2011,0.0362565878950715,0.0043277267689592
전국,2012,0.0233935550151842,0.0042178184676855
전국,2013,0.0311147985027029,0.0037919048559684
전국,2014,0.0313673917737176,0.0036458284347478
전국,2015,0.0278935561641475,0.0039242193273538
전국,2016,0.0294418016962403,0.0032385046359415
전국,2017,0.0311101911415534,0.0015925343549323
전국,2018,0.0290100063321578,0.0009176580940553
전국,2019,0.0222121185153643,0.0004592670262657
전국,2020,-0.0064408554239535,-0.0004018911448961
전국,2021,0.0432252530656565,-0.0036700286632839
전국,2022,0.0261855213255706,-0.0038686213696369
서울특별시,2009,0.0149626930535495,0.0007327837243
서울특별시,2010,0.035343543181149,0.0102115905270043
서울특별시,2011,0.031528987457738,-0.0060960703686626
서울특별시,2012,0.0139985647332678,-0.005303678290803
서울특별시,2013,0.0164984601817386,-0.0050683068443769
서울특별시,2014,0.015078235235596,-0.0039839722308894
서울특별시,2015,0.0292110788458885,-0.0080223825383419
서울특별시,2016,0.0283963248490177,-0.0091362349173298
서울특별시,2017,0.0233933276861297,-0.0073701369582712
서울특별시,2018,0.0359902777375746,-0.0093130803112293
서울특별시,2019,0.0259824752606185,-0.0037392391657962
서울특별시,2020,0.0085632519731675,-0.0062330489324456
서울특별시,2021,0.0336182210690432,-0.0164459404879678
서울특별시,2022,0.0158872773213618,-0.0085268792395949
부산광역시,2009,-0.0345865390961794,-0.006044756502665
부산광역시,2010,0.0531487895653317,0.0070222380279025
부산광역시,2011,0.0253453321197338,-0.0047498395419166
부산광역시,2012,0.0264247615773591,-0.0035142579632623
부산광역시,2013,0.016601219800655,-0.0030660022766811
부산광역시,2014,0.0423151382335018,-0.0023341417125071
부산광역시,2015,0.0304382074088784,-0.0015979992049783
부산광역시,2016,0.0170859422290747,-0.0043394899562493
부산광역시,2017,0.0157813875914185,-0.0079679202316172
부산광역시,2018,0.0169460153156104,-0.0084134023193905
부산광역시,2019,0.0254977579378494,-0.008023355251401
부산광역시,2020,-0.0352690632389706,-0.006413596883979
부산광역시,2021,0.0193876626200786,-0.0122543224449918
부산광역시,2022,0.0257269584126089,-0.0097206883995247
대구광역시,2009,-0.0278130194314363,-0.0011806361233734
대구광역시,2010,0.0648264457503651,0.0087939461342181
대구광역시,2011,0.0349682149896621,-0.0017538090103977
대구광역시,2012,0.0374577734584773,-0.0006489127022966
대구광역시,2013,0.0352249610078199,-0.0016187455201137
대구광역시,2014,0.026372062967723,-0.003327486380651
대구광역시,2015,0.0296537912686722,-0.0021798734510264
대구광역시,2016,3.645169090593648e-05,-0.0013152029339636
대구광역시,2017,0.0173146360148643,-0.0037535866554883
대구광역시,2018,0.0235915849737451,-0.0054386843086564
