,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
전국,-0.010278528615493,0.1635387432334543,0.0522531469889577,0.0140432129808423,0.0306205757440549,0.0317426675330936,0.0167271434874693,0.0232147306654779,0.0371457434585427,0.0329339246806072,0.011311438276724,-0.0107740994980564,0.0705702202481544,0.0146503650483709
서울특별시,-0.028946796948059,0.0944007645102618,0.0115796738439988,0.1157734503964751,-0.0509235805775298,0.0140371892277582,-0.0220009800171441,-0.0362244583895251,-0.0431835344881305,-0.0178934632857558,0.0077960330605011,-0.0684065617133472,0.0525272118395669,-0.0379808002688019
부산광역시,-0.131743072136327,0.1799140150043296,0.0038679156979297,0.013077148637171,0.0036010032933622,0.0476679589783326,0.0639255174510249,-0.0212064915462232,-0.0206653257522057,-0.009198445978737,0.0336067923529781,-0.0516408680891772,0.012120554484357,0.0345568488799756
대구광역시,-0.0848705152758456,0.2427699440832738,0.0559404139718597,0.0606633481017737,0.0397152757359833,0.0107964062463377,0.0231191704853759,-0.0255334427970242,0.034390552141728,0.0397624492520984,-0.0521906279480551,-0.084194639049706,0.0959585175101589,0.0368327037109266
인천광역시,-0.1532367370063818,0.2334258916983598,0.0187889848148183,0.0178299006510613,0.0064864472951597,0.0353624823118301,0.0638692921540768,0.0217405727790063,0.0509944211644148,-0.0142205856044999,-0.0305532053767061,0.0194574797063737,0.0896207228607504,0.0342330796563483
광주광역시,-0.0776752580418236,0.4060592129779579,-0.0058028512029493,-0.0259700739632755,0.034372718143224,0.0435500185461033,0.0324389270735727,-0.0004881049287887,0.0368967085049807,0.0287115373218032,0.0203656728237464,0.0181608389360188,0.08861892627284,0.0032394530374031
대전광역시,-0.0084767633723843,0.1498571515908595,0.0075754990683634,0.0762073231409845,0.0345377461411533,0.0607514880820798,0.0911289022441868,0.0091178829471874,-0.0196762913181298,-0.0335804845048494,0.0417704565904271,0.0133539130604203,0.0498895227944866,0.0054301549954671
울산광역시,-0.0030752788515958,0.0246738685525351,0.1462523165344538,-0.0437602762255336,-0.0192520399449384,-0.0184053209462521,0.010965721270459,-0.0014517812974995,-0.0368334251191115,-0.0160655590673552,0.0294999015440764,-0.0848158932656858,0.0420457025012592,0.0258553554360829
세종특별자치시,,,,,,0.0631061942211468,-0.034680202548035,0.0034954749249469,-0.0195247968584436,-0.0048905303369046,0.0691101784525469,0.1320012211493022,0.098252199066805,0.0203852822036731
경기도,0.009292479636086,0.2171531581626431,0.0635454887215347,0.0437210482357237,0.0892050888443198,0.0425737244723036,0.0735594551521894,0.0486677318464947,0.1023440871300949,0.0862263820792146,0.0198892819812839,0.0439205566288911,0.0909426344185837,0.0189864460521156
강원도,-0.0442866781516808,0.1699157545861238,0.0390909050551149,-0.0202748045012397,0.0595632308000437,0.1002204511266702,0.0326443517394565,0.03816882381297,0.1019601402101157,0.0228407354758892,-0.0018545700435748,-0.0174855531346679,0.0254995122914725,0.0232652326226436
충청북도,0.086380234072698,0.1697545802260134,0.0868866899653844,0.032728152316555,0.0608421094573223,0.0640673551197992,0.1023349387848087,0.0629160492336691,0.1036159674499503,0.1002795716591382,0.0265364648875245,-0.0155267836969783,0.1202113301327367,0.0321015896399174
충청남도,0.0454727694975882,0.1731080106218447,0.1120129159231964,-0.0104649974251476,-0.0369437348986334,0.0236163365500683,-0.0184984028364143,0.0437716533640646,0.0922507336838338,0.0214383232453103,0.0070421192639098,0.0092783794382764,0.0698201994145493,0.029216382027446
전라북도,-0.0492928248171991,0.1838806320191219,0.0426475238125279,-0.0125365608186082,0.0548578759913336,0.0143413867384099,0.0121546942999102,-0.0526819190615666,0.0059798018495307,-0.001597877508969,-0.0276043278454808,-0.0417656687209874,0.0709120962045466,0.0005719286066681
전라남도,-0.1270806363394477,0.2672877012378962,-0.0409230992126439,-0.0154933393534558,0.0244098463559887,-0.0208263482948921,-0.0219928951421128,0.0240534964313741,0.0148771392835918,0.0061274835403073,-0.0083153795151668,-0.034938239112501,0.0517328093989184,-0.0299473519958821
경상북도,-0.0177598395024505,0.1021000882552882,0.0274821337949309,-0.0086063461421579,0.0506532400398336,0.1040686021530428,-0.1008530577852429,0.02563339034089,-0.0478500675085007,-0.0259642678932799,-0.0017147773779845,-0.0517515110830635,0.0544174836526025,-0.0243043559478991
경상남도,0.0730227984364459,0.1044598214204295,0.0144773314809476,0.0223348317487936,-0.0334573255866864,-0.0166965437532999,-0.0103357787904239,-0.0010167534822119,-0.0409225069306362,0.0088767531795572,0.0172163186393661,-0.0853850610206957,0.0130723925242313,0.028966351409952
제주특별자치도,0.0293310288735257,-0.1281715716255693,0.0465255612806239,-0.0022088060789008,0.065939339313024,0.0719974632653022,0.1828781980587062,0.0966482154379053,0.0941647922572581,-0.0352533302459011,-0.044275483004663,-0.046452185390178,0.0367082551141793,-0.0302470886947783
