,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
전국,0.0231650851670024,0.04534592912307,0.0379176435922814,0.0328563886691315,0.0352524266550489,0.0303058628006314,0.0304364243244887,0.0284539787779753,0.0245607563498428,0.037186969873596,0.033792089194907,-0.006681196524264,0.0381630232777672,0.0410265087363928
서울특별시,0.0215036505493959,0.0380400589474299,0.031289000761395,0.0152582697526129,0.0228946207768723,0.0130568139476319,0.0304624414176128,0.0301365707749905,0.0233005852706638,0.0374630544790466,0.0327578336104166,0.0010322800450177,0.0339258301597262,0.035247637214641
부산광역시,-0.0013675819034875,0.0304739476538127,0.0255373634815254,0.0335006215266109,0.0260024922214185,0.0331880047715789,0.0272362659797575,0.0191629313895849,0.0265716015018633,0.028213861222764,0.0289338043951703,-0.0378188125413103,0.0270942581655468,0.0302996249852973
대구광역시,0.0179530581786995,0.0378967203475897,0.0322343487589826,0.0332414469454431,0.0213613568345221,0.0214144511039566,0.0203843063464685,0.0019460458579203,0.0264022122289682,0.0304278166205127,0.0306593080315049,-0.0225135148783965,0.0269987657659664,0.0139788492336256
인천광역시,0.0262888039772273,0.0475718468684853,0.0285809108880625,0.0591235270642485,0.0456842449303747,0.045810951258516,0.0093207767559511,0.0184969887929737,0.0352022232603617,0.0461093035363939,0.0438945854101264,-0.078796969621865,0.0363782113336617,0.0815595668251165
광주광역시,0.0158019638109785,0.0415659908815637,0.0326166148270936,0.0330333940565821,0.0368369890833037,0.0402390115152404,0.0242992807808906,0.0394743028985369,0.023468309669351,0.03185920160898,0.0468083209499545,-0.0183458082396794,0.0334448819492452,0.0244874757915127
대전광역시,0.0409170652510058,0.0542148428592099,0.0415042481792431,0.0135121161228743,0.0115308951771706,0.0161350773944362,0.0203425428020942,0.0319426371239921,0.0159973631229488,0.020301184115997,0.030936160143238,0.0072268242668296,0.0237914015482694,0.0546591424198725
울산광역시,0.0031916366227995,0.0443828899184675,0.0459307857714175,0.064698346866729,0.0714070991410651,0.0526650968935427,0.0619156320981362,0.0068611949272063,-0.0025410446828306,0.0090004881535348,0.0124341083637913,-0.020247131952058,0.0308445426108321,0.0324267379120626
세종특별자치시,,,,,,0.419617123789906,0.222172581435444,0.0717643315501719,0.0866284111229114,0.097512563766235,0.1240575671135146,0.0748056424522334,0.0989079771878127,0.0526214022415569
경기도,0.0355475480285794,0.0657347848843596,0.0480595062916491,0.0548479931736489,0.0461904152777767,0.0483483193420641,0.0337226950382008,0.0306276119482826,0.0328101941549201,0.051801043971607,0.0311474922635572,0.0125072933315515,0.050462157901695,0.0497144997260687
강원도,0.0116322671071713,0.049596465409968,0.0297840207933464,0.0255157899979254,0.0379251305020733,0.023956229090555,0.0103577354794115,0.0263867381290097,0.0339560911067895,0.0381809022885462,0.0344841342671278,-0.031595169933452,0.054346433523144,0.0369511376825621
충청북도,0.0241175660300081,0.0488829066468727,0.0617402209251869,0.0401722677814595,0.0314148276676726,0.0346287461755316,0.0241284301469897,0.0368398799203233,0.0208774691323718,0.0215150789051774,0.0328670212953481,0.0007479444031035,0.0467304060097322,0.0379060544984617
충청남도,0.0383242911830017,0.0598997383673713,0.0403030339088288,0.0150131067995935,0.0290250383015362,0.0265923705411543,0.0357561147909479,0.0443747852579985,0.009483984181267,0.0266942647754846,0.0405879950261578,0.0117407570663348,0.0327697420539823,0.050347908030031
전라북도,0.0286918665980195,0.0410995905035791,0.0366901747705568,0.0308570273528103,0.0332151010464019,0.0262779927713989,0.0156532961983444,0.0298567778678731,0.0207682759878422,0.0285760068580356,0.0380640896200172,-0.0032092461193365,0.03284540335644,0.0273008006810191
전라남도,0.0152301578506914,0.0459194009635925,0.0260389522309236,0.0332214192339765,0.0367072172673319,0.0319135956482519,0.0391373183048653,0.0280427837584036,0.0204824997940773,0.0372464329585962,0.0468217683535667,0.0014599654267881,0.0325299150110904,0.0236343641163645
경상북도,0.0236163376966038,0.0402238307463251,0.0448722671515406,0.0377128021019295,0.0283329182257041,0.0373839533406594,0.0352419876675966,0.0416667072856908,0.014059646246731,0.0239878324492122,0.0249091245673305,-0.0130431672612376,0.0380504078786854,0.0479333229713088
경상남도,0.016969616992668,0.0313243192640952,0.0598560746259615,0.0492881748452407,0.0363753481334989,0.024432048519196,0.0306419645349731,0.0135338446601933,0.0091998986995573,0.0186368511633072,0.0352111398140209,-0.0230515747481486,0.034393872480757,0.0432365392832043
제주특별자치도,0.0390382598614884,0.0388116074305426,0.0722663188328778,0.0677389796243785,0.0546704272179114,0.081412748734412,0.0702035582930242,0.0588199335408843,0.0340312813686827,0.0529770292585367,0.0393580556947539,-0.0636241676032104,0.0347214259151442,0.0455945494129925
